Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
53.1,63617627,700,90882.3,107977.0,8880,505486,72042.1,cuMemcpyDtoHAsync_v2
19.0,22758170,3600,6321.7,6076.0,4164,20921,1576.9,cuGraphLaunch
11.2,13355037,3880,3442.0,3386.0,2362,16013,974.5,cuLaunchKernel
3.4,4027835,860,4683.5,4522.0,3691,19336,1061.5,cuMemcpyDtoDAsync_v2
3.2,3825306,1600,2390.8,2182.5,1815,17048,1031.1,cuMemcpyHtoDAsync_v2
2.8,3301502,1920,1719.5,1619.0,1352,13814,631.6,cuStreamWaitEvent
2.0,2415818,720,3355.3,3248.0,2623,15972,1020.6,cuLaunchKernelEx
1.5,1812598,700,2589.4,2500.0,1612,15135,957.9,cuStreamSynchronize
1.1,1331254,300,4437.5,4111.5,3387,35968,2144.9,cudaLaunchKernel
1.0,1144554,2220,515.6,466.0,371,12663,451.8,cuEventRecord
0.5,650495,5580,116.6,112.0,102,11598,154.4,cuCtxSetCurrent
0.5,622218,780,797.7,644.5,370,5073,547.4,cuMemAllocAsync
0.4,454147,780,582.2,535.0,438,2202,202.9,cuMemFreeAsync
0.3,380643,80,4758.0,4010.5,3499,9599,1630.9,cuMemsetD8Async
0.0,54002,300,180.0,169.5,129,446,46.4,cuKernelGetName
0.0,19907,1,19907.0,19907.0,19907,19907,0.0,cuCtxSynchronize
0.0,3303,1,3303.0,3303.0,3303,3303,0.0,cuProfilerStart
0.0,448,1,448.0,448.0,448,448,0.0,cuProfilerStop
