Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
75.5,17643107,13480,1308.8,1408.0,288,1536,271.9,[CUDA memset]
19.0,4436608,12544,353.7,320.0,288,1600,150.6,[CUDA memcpy Host-to-Device]
3.9,907367,1184,766.4,736.0,672,1408,92.2,[CUDA memcpy Device-to-Device]
1.6,382208,520,735.0,448.0,416,17920,2141.2,[CUDA memcpy Device-to-Host]
