# qwen4exp_real_gate	label=nvfp4-tp2	binary_sha256=abcd0971f810bd80d1928646007f7b165a256c2a04c2824d6e292d4dd438229e	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# ab-gufuse: fresh state + probe prefill per arm, 4 warmup steps excluded per arm
rep	arm	steps	mean_ms	median_ms	tok_per_s
0	gate_up_silu_chain	40	13.40	13.43	74.61
0	gu_silu_fused	40	13.13	13.14	76.15
1	gate_up_silu_chain	40	13.43	13.45	74.45
1	gu_silu_fused	40	13.08	13.08	76.44
2	gate_up_silu_chain	40	13.44	13.43	74.43
2	gu_silu_fused	40	13.11	13.13	76.25
3	gate_up_silu_chain	40	13.46	13.45	74.32
3	gu_silu_fused	40	13.07	13.06	76.49
4	gate_up_silu_chain	40	13.43	13.44	74.46
4	gu_silu_fused	40	13.12	13.12	76.22
# arm gate_up_silu_chain	mean_of_means_ms=13.43	min=13.40	max=13.46	tok_per_s=74.45
# arm gu_silu_fused	mean_of_means_ms=13.10	min=13.07	max=13.13	tok_per_s=76.31
# rep0_arm_chain_first_divergence	-1
# rep0_gate_up_silu_chain	248045,248046,198,248045,846,198,248045,248046,198,248045,74455,198,248068,198,760,1156,682,3106,328,248045,1,864,7701,310,381,264,3175,3817,466,10811,13,1061,5686,1040,424,1362,381,449,4621,310
# rep0_gu_silu_fused	248045,248046,198,248045,846,198,248045,248046,198,248045,74455,198,248068,198,760,1156,682,3106,328,248045,1,864,7701,310,381,264,3175,3817,466,10811,13,1061,5686,1040,424,1362,381,449,4621,310
