Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
52.6,69420198,700,99171.7,112229.5,10653,514095,80773.0,cuMemcpyDtoHAsync_v2
18.2,24062004,3600,6683.9,6271.5,4185,25527,2031.4,cuGraphLaunch
12.5,16503467,4980,3313.9,3254.0,2417,33460,943.1,cuLaunchKernel
3.0,4000939,860,4652.3,4494.0,3588,16648,1117.5,cuMemcpyDtoDAsync_v2
2.8,3716545,1600,2322.8,2140.0,1790,17203,821.5,cuMemcpyHtoDAsync_v2
2.6,3384257,780,4338.8,4150.5,3310,15341,949.6,cudaLaunchKernel
2.5,3266316,1920,1701.2,1610.0,1345,14778,602.7,cuStreamWaitEvent
1.8,2422046,720,3364.0,3270.5,2629,20715,1203.3,cuLaunchKernelEx
1.3,1752789,700,2504.0,2501.5,1623,12659,542.6,cuStreamSynchronize
1.0,1308759,2700,484.7,461.0,358,4259,118.0,cuEventRecord
0.5,662078,5580,118.7,112.0,100,11126,169.6,cuCtxSetCurrent
0.5,618726,780,793.2,644.5,379,5146,522.7,cuMemAllocAsync
0.4,464451,780,595.5,554.0,429,2155,192.9,cuMemFreeAsync
0.3,371831,80,4647.9,4027.5,3490,10646,1476.7,cuMemsetD8Async
0.1,121263,780,155.5,150.0,129,491,26.5,cuKernelGetName
0.0,21242,1,21242.0,21242.0,21242,21242,0.0,cuCtxSynchronize
0.0,3071,1,3071.0,3071.0,3071,3071,0.0,cuProfilerStart
0.0,435,1,435.0,435.0,435,435,0.0,cuProfilerStop
