Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
72.8,131473873,39080,3364.2,3324.0,2425,20181,797.8,cuLaunchKernel
8.0,14349199,700,20498.9,12935.5,8701,447588,50688.9,cuMemcpyDtoHAsync_v2
7.4,13297210,2960,4492.3,4365.5,3379,23829,1160.8,cuMemcpyDtoDAsync_v2
3.3,5970908,2560,2332.4,2212.5,1718,19420,892.8,cuMemcpyHtoDAsync_v2
2.2,4008889,1920,2088.0,1753.0,1308,12562,730.7,cuStreamWaitEvent
1.7,3147987,780,4035.9,3861.0,3306,20144,1054.3,cudaLaunchKernel
1.4,2498705,720,3470.4,3451.5,2703,14320,491.5,cuLaunchKernelEx
1.0,1756127,700,2508.8,2493.0,1589,12389,716.5,cuStreamSynchronize
0.7,1338934,2700,495.9,470.0,362,10130,227.6,cuEventRecord
0.6,1023775,8940,114.5,111.0,100,477,13.2,cuCtxSetCurrent
0.4,645377,780,827.4,668.0,377,16579,778.8,cuMemAllocAsync
0.3,460519,780,590.4,550.0,440,2076,185.9,cuMemFreeAsync
0.2,378731,80,4734.1,3968.5,3342,9371,1692.7,cuMemsetD8Async
0.1,120826,780,154.9,149.0,127,530,22.5,cuKernelGetName
0.0,6532,1,6532.0,6532.0,6532,6532,0.0,cuCtxSynchronize
0.0,3948,1,3948.0,3948.0,3948,3948,0.0,cuProfilerStart
0.0,466,1,466.0,466.0,466,466,0.0,cuProfilerStop
