# qwen4exp_real_gate	label=nvfp4	binary_sha256=1975413648e3d86ef5ff3ba53f2c1f1a6edf1e8d62d13cbb56f18e9227d8a38d	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# ab-gdnfuse: fresh state + probe prefill per arm, 4 warmup steps excluded per arm
rep	arm	steps	mean_ms	median_ms	tok_per_s
0	norm_gate_chain	40	16.64	16.64	60.11
0	norm_gate_fused	40	16.54	16.55	60.45
1	norm_gate_chain	40	16.59	16.62	60.28
1	norm_gate_fused	40	16.52	16.54	60.52
2	norm_gate_chain	40	16.58	16.60	60.31
2	norm_gate_fused	40	16.51	16.53	60.55
3	norm_gate_chain	40	16.82	16.85	59.44
3	norm_gate_fused	40	16.50	16.52	60.59
4	norm_gate_chain	40	16.64	16.66	60.09
4	norm_gate_fused	40	16.51	16.53	60.57
# arm norm_gate_chain	mean_of_means_ms=16.65	min=16.58	max=16.82	tok_per_s=60.04
# arm norm_gate_fused	mean_of_means_ms=16.52	min=16.50	max=16.54	tok_per_s=60.54
# rep0_arm_chain_first_divergence	-1
# rep0_norm_gate_chain	248045,248046,198,248045,846,198,248045,248046,198,248045,74455,198,248068,198,760,1156,682,3106,328,248045,1,864,7701,310,381,264,3175,3817,466,10811,13,1061,5686,1040,424,1362,381,449,4621,310
# rep0_norm_gate_fused	248045,248046,198,248045,846,198,248045,248046,198,248045,74455,198,248068,198,760,1156,682,3106,328,248045,1,864,7701,310,381,264,3175,3817,466,10811,13,1061,5686,1040,424,1362,381,449,4621,310
