# qwen4exp_real_gate	label=nvfp4	binary_sha256=078d0dfc511de07b1be8a304877c080daf2624ab981b7a9331dd16feaf5ad153	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# tp2-gate: single-card vs TP2, same fed tokens (single-card argmax chain)
step	fed	max_abs	max_rel	ref_absmax	top1_single	top1_tp2	match
0	271	7.868e-6	7.093e-6	1.364e1	248045	248045	true
1	248045	1.419e-5	1.363e-5	1.252e1	271	271	true
2	271	6.676e-6	6.318e-6	1.545e1	248045	248045	true
3	248045	1.955e-5	1.538e-5	1.458e1	271	271	true
4	271	1.574e-5	1.347e-5	1.824e1	248045	248045	true
5	248045	1.478e-5	1.162e-5	1.765e1	248046	248046	true
6	248046	1.907e-5	1.180e-5	2.547e1	198	198	true
7	198	9.090e-6	9.090e-6	3.001e1	248045	248045	true
8	248045	1.192e-5	8.464e-6	2.374e1	846	846	true
9	846	2.098e-5	2.027e-5	2.007e1	198	198	true
10	198	1.538e-5	1.514e-5	1.546e1	248045	248045	true
11	248045	3.469e-5	3.040e-5	1.632e1	248046	248046	true
12	248046	1.621e-5	1.371e-5	3.618e1	198	198	true
13	198	1.526e-5	1.049e-5	2.935e1	248045	248045	true
14	248045	1.657e-5	1.407e-5	1.836e1	74455	74455	true
15	74455	1.001e-5	8.583e-6	2.059e1	198	198	true
16	198	1.812e-5	1.752e-5	3.218e1	248068	248068	true
17	248068	4.578e-5	3.296e-5	2.495e1	198	198	true
18	198	2.217e-5	1.937e-5	2.164e1	760	760	true
19	760	1.478e-5	1.281e-5	2.171e1	1156	1156	true
20	1156	9.060e-6	9.000e-6	2.160e1	682	682	true
21	682	1.335e-5	8.637e-6	2.279e1	3106	3106	true
22	3106	1.335e-5	1.180e-5	2.183e1	328	328	true
23	328	1.824e-5	1.824e-5	1.969e1	248045	248045	true
# verdict	steps=24	argmax_matches=24	worst_abs=4.578e-5	worst_rel=3.296e-5	policy=max_rel<=0.01+argmax	pass=true
