# qwen4exp_real_gate	label=nvfp4	binary_sha256=ddcee98d4817a73f20aac44de7bb9a07be522acdf098d6df32eee3bd6fad1e0a	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# ab-graph: fresh state + probe prefill per arm, 4 warmup steps excluded per arm
rep	arm	steps	mean_ms	median_ms	tok_per_s
0	eager_ws	40	22.19	22.17	45.06
0	decode_graphs	40	21.99	21.97	45.48
1	eager_ws	40	22.21	22.21	45.02
1	decode_graphs	40	21.95	21.94	45.57
2	eager_ws	40	22.26	22.27	44.91
2	decode_graphs	40	21.95	21.96	45.55
3	eager_ws	40	22.22	22.21	45.01
3	decode_graphs	40	21.94	21.95	45.57
4	eager_ws	40	22.32	22.30	44.80
4	decode_graphs	40	21.96	21.93	45.54
# arm eager_ws	mean_of_means_ms=22.24	min=22.19	max=22.32	tok_per_s=44.96
# arm decode_graphs	mean_of_means_ms=21.96	min=21.94	max=21.99	tok_per_s=45.54
# rep0_arm_chain_first_divergence	-1
# rep0_eager_ws	198,760,1156,682,3106,728,264,1575,20654,93530,2319,471,264,11316,421,5435,1396,6321,314,279,26887,506,3140,2957,13,328,760,3841,13477,37550,33075,888,279,15217,5388,1149,271,1919,369,264
# rep0_decode_graphs	198,760,1156,682,3106,728,264,1575,20654,93530,2319,471,264,11316,421,5435,1396,6321,314,279,26887,506,3140,2957,13,328,760,3841,13477,37550,33075,888,279,15217,5388,1149,271,1919,369,264
