# qwen4exp_real_gate	label=nvfp4	binary_sha256=3e73cd75e72dfa95fff0d457ea9c342055c1d159e35698526f6ba335f88b3f1e	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# profile	steps=64	t_kv_start=94	profiled_wall_ms_per_token=115.63	attributed_ms_per_token=108.18	unprofiled_mean_ms_per_token=78.47
section	calls_per_token	total_ms	ms_per_token	pct_of_attributed
moe.dequant	480.0	1991.0	31.110	28.8
hyper.read	96.0	1920.7	30.011	27.7
moe.expert_gemms	480.0	1101.6	17.213	15.9
moe.idx_gather	480.0	509.1	7.955	7.4
gdn.proj	36.0	327.9	5.124	4.7
gdn.norm_gate_out	36.0	160.0	2.501	2.3
moe.shared	48.0	127.0	1.985	1.8
gdn.conv_scan	36.0	121.6	1.901	1.8
lm_head	1.0	106.9	1.671	1.5
hyper.write	96.0	105.3	1.646	1.5
qsa.proj	12.0	94.7	1.480	1.4
moe.router	48.0	93.5	1.460	1.3
qsa.sdpa	12.0	71.2	1.112	1.0
qsa.gate_wo	12.0	48.8	0.763	0.7
moe.reduce	48.0	42.1	0.658	0.6
qsa.idx_host	12.0	30.0	0.468	0.4
qsa.idx_proj	12.0	24.0	0.375	0.3
ple.key_gate	1.0	14.4	0.226	0.2
exit.mixer	1.0	8.6	0.134	0.1
ple.conv_write	1.0	7.7	0.120	0.1
qsa.mask_h2d	12.0	6.9	0.107	0.1
logits.dtoh	1.0	5.4	0.085	0.1
entry.embed	1.0	2.8	0.044	0.0
ple.host_ngram_gather	1.0	1.3	0.020	0.0
ple.h2d	1.0	0.6	0.010	0.0
