# qwen4exp_real_gate	label=nvfp4	binary_sha256=b872401cd15f9b846c69f08ae7dd8095247e40746005f772f19bc32f38f00f32	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# profile	steps=64	t_kv_start=94	profiled_wall_ms_per_token=58.24	attributed_ms_per_token=55.71	unprofiled_mean_ms_per_token=40.85
section	calls_per_token	total_ms	ms_per_token	pct_of_attributed
hyper.read	96.0	1904.6	29.759	53.4
moe.sel_grouped	48.0	338.2	5.284	9.5
gdn.proj	36.0	326.6	5.103	9.2
gdn.norm_gate_out	36.0	158.8	2.481	4.5
moe.shared	48.0	123.4	1.928	3.5
gdn.conv_scan	36.0	120.7	1.887	3.4
lm_head	1.0	106.9	1.670	3.0
hyper.write	96.0	104.7	1.635	2.9
qsa.proj	12.0	95.4	1.490	2.7
moe.router	48.0	93.0	1.453	2.6
qsa.sdpa	12.0	70.9	1.107	2.0
qsa.gate_wo	12.0	48.6	0.759	1.4
qsa.idx_proj	12.0	23.9	0.373	0.7
ple.key_gate	1.0	14.4	0.225	0.4
exit.mixer	1.0	8.5	0.132	0.2
ple.conv_write	1.0	7.8	0.122	0.2
qsa.mask_h2d	12.0	6.7	0.105	0.2
logits.dtoh	1.0	6.4	0.100	0.2
entry.embed	1.0	2.8	0.044	0.1
ple.host_ngram_gather	1.0	1.3	0.021	0.0
qsa.idx_host	12.0	1.3	0.021	0.0
ple.h2d	1.0	0.7	0.010	0.0
