Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
80.6,103691417,520,199406.6,279397.0,10191,1041917,147185.4,cuMemcpyDtoHAsync_v2
7.1,9126126,2728,3345.4,3260.0,2522,17532,914.1,cuLaunchKernel
4.7,6001998,672,8931.5,8603.0,6004,26133,2460.6,cuGraphLaunch
2.0,2553562,1024,2493.7,2361.0,1880,15054,824.0,cuMemcpyHtoDAsync_v2
1.8,2297967,552,4163.0,3866.5,3210,22872,1206.7,cudaLaunchKernel
1.3,1682479,344,4890.9,4633.5,3871,21433,1542.2,cuMemcpyDtoDAsync_v2
1.0,1335085,520,2567.5,2553.5,1691,7827,405.8,cuStreamSynchronize
0.8,1044522,296,3528.8,3432.5,2940,15540,799.8,cuLaunchKernelEx
0.2,303120,552,549.1,483.0,384,10380,456.9,cuEventRecord
0.2,232546,312,745.3,625.0,398,4564,477.1,cuMemAllocAsync
0.1,183612,312,588.5,540.5,438,2166,212.3,cuMemFreeAsync
0.1,164871,32,5152.2,4193.5,3543,10101,1919.7,cuMemsetD8Async
0.1,88331,552,160.0,154.0,133,665,33.8,cuKernelGetName
0.0,15443,1,15443.0,15443.0,15443,15443,0.0,cuCtxSynchronize
0.0,3586,1,3586.0,3586.0,3586,3586,0.0,cuProfilerStart
0.0,444,1,444.0,444.0,444,444,0.0,cuProfilerStop
