0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0 MiB, 33, 2415 MHz, 93.51 W
1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0 MiB, 34, 2325 MHz, 92.77 W
