# qwen4exp_real_gate	label=bf16	binary_sha256=4d87daf0c12bbfab55d700aeb63a7cc3bfd138d7a6ca2fec0e6b6e67592171b0	ckpt=/home/ubuntu/data/q48fn-bf16	host_bf16_banks=true	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# load_seconds=1013.3
# vram	post-load	0, 17075 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# probe_tokens=10	ids=[760, 3841, 13477, 37550, 33075, 888, 279, 15217, 5388, 13]
# prefill_seconds=3.17
# vram	post-prefill	0, 17203 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
record	rows	cols	max_abs	max_rel	mean_abs	ref_absmax
layer0	10	10240	4.879e-3	4.879e-3	6.042e-5	3.242e-1
layer1	10	10240	4.612e-3	4.612e-3	1.153e-4	4.551e-1
layer2	10	10240	8.511e-3	8.511e-3	1.971e-4	5.273e-1
layer3	10	10240	8.445e-3	8.445e-3	2.547e-4	5.039e-1
layer4	10	10240	8.063e-3	8.063e-3	3.213e-4	5.000e-1
layer5	10	10240	4.146e-2	1.538e-2	4.081e-4	3.047e0
layer6	10	10240	4.040e-2	1.505e-2	5.077e-4	3.078e0
layer7	10	10240	3.916e-2	1.583e-2	5.563e-4	3.047e0
layer8	10	10240	3.695e-2	1.564e-2	6.067e-4	3.062e0
layer9	10	10240	3.906e-2	1.617e-2	7.138e-4	3.062e0
layer10	10	10240	3.852e-2	1.590e-2	7.298e-4	3.125e0
layer11	10	10240	4.541e-2	1.549e-2	8.457e-4	3.016e0
layer12	10	10240	3.609e-2	1.603e-2	9.735e-4	2.953e0
layer13	10	10240	3.737e-2	1.531e-2	1.045e-3	2.984e0
layer14	10	10240	3.951e-2	1.734e-2	1.103e-3	3.016e0
layer15	10	10240	3.719e-2	1.664e-2	1.190e-3	2.953e0
layer16	10	10240	3.994e-2	1.911e-2	1.304e-3	2.938e0
layer17	10	10240	4.199e-2	2.069e-2	1.360e-3	2.969e0
layer18	10	10240	3.934e-2	2.604e-2	1.557e-3	2.969e0
layer19	10	10240	4.087e-2	2.519e-2	1.594e-3	3.000e0
layer20	10	10240	3.288e-2	2.723e-2	1.616e-3	2.938e0
layer21	10	10240	3.958e-2	3.293e-2	1.727e-3	2.969e0
layer22	10	10240	3.889e-2	3.229e-2	1.834e-3	2.969e0
layer23	10	10240	3.042e-2	2.954e-2	1.878e-3	2.969e0
layer24	10	10240	3.537e-2	3.537e-2	2.007e-3	3.828e0
layer25	10	10240	3.580e-2	3.144e-2	2.112e-3	3.859e0
layer26	10	10240	3.303e-2	3.303e-2	2.238e-3	5.062e0
layer27	10	10240	3.539e-2	3.539e-2	2.297e-3	4.750e0
layer28	10	10240	4.212e-2	4.212e-2	2.606e-3	4.531e0
layer29	10	10240	4.538e-2	4.538e-2	2.993e-3	4.469e0
layer30	10	10240	5.559e-2	5.559e-2	3.284e-3	4.438e0
layer31	10	10240	5.721e-2	5.721e-2	3.488e-3	4.281e0
layer32	10	10240	6.231e-2	6.231e-2	3.811e-3	3.891e0
layer33	10	10240	7.144e-2	7.144e-2	4.221e-3	3.844e0
layer34	10	10240	7.217e-2	7.217e-2	4.697e-3	3.828e0
layer35	10	10240	8.114e-2	8.114e-2	5.260e-3	3.859e0
layer36	10	10240	1.591e-1	1.591e-1	7.574e-3	6.844e0
layer37	10	10240	1.738e-1	1.738e-1	8.755e-3	7.094e0
layer38	10	10240	1.743e-1	1.743e-1	9.826e-3	7.094e0
layer39	10	10240	1.723e-1	1.723e-1	1.137e-2	7.188e0
layer40	10	10240	1.976e-1	1.976e-1	1.306e-2	7.219e0
layer41	10	10240	2.057e-1	2.057e-1	1.433e-2	7.125e0
layer42	10	10240	2.062e-1	2.062e-1	1.585e-2	7.156e0
layer43	10	10240	2.277e-1	2.277e-1	1.787e-2	7.188e0
layer44	10	10240	3.673e-1	3.673e-1	2.191e-2	1.162e1
layer45	10	10240	3.552e-1	3.552e-1	2.722e-2	1.169e1
layer46	10	10240	7.834e-1	5.336e-1	3.265e-2	1.350e1
layer47	10	10240	7.938e-1	5.879e-1	3.484e-2	2.575e1
exit_mixer	10	2560	1.097e1	4.236e0	2.538e-1	1.880e2
logits	10	248320	3.711e0	3.711e0	1.558e-1	1.950e1
logits_row	max_abs	max_rel	ref_absmax	golden_top1	our_top1	match
0	9.580e-2	8.931e-2	1.231e1	20438	20438	true
1	6.497e-1	5.065e-1	1.431e1	4087	4087	true
2	3.506e-1	3.256e-1	1.800e1	37550	37550	true
3	6.120e-1	5.568e-1	1.638e1	33075	33075	true
4	8.309e-1	8.309e-1	1.888e1	888	888	true
5	9.807e-1	8.596e-1	1.862e1	279	279	true
6	9.650e-1	9.650e-1	1.950e1	15217	15217	true
7	1.532e0	1.532e0	1.888e1	5388	5388	true
8	1.360e0	1.236e0	1.575e1	13	13	true
9	3.711e0	3.711e0	1.638e1	271	271	true
# logits_argmax_agreement	10/10
# probe_logits	/home/ubuntu/realgate/out/probe-logits-bf16.bin	rows=10	vocab=248320
# decode_timing	steps=16	mean_ms=571.5	median_ms=568.9	p90_ms=595.1	tok_per_s_untuned=1.75
# decode_continuation_ids	271,248045,271,248045,248046,198,248045,846,198,248046,198,248045,74455,198,248068,198,760
# vram	post-decode	0, 17203 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
