timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/19 21:58:47.051, 0, P8, 195 MHz, 405 MHz, 13.99 W, 25, 2 MiB, 0 %, 1, 16
2026/09/19 21:58:47.322, 0, P8, 195 MHz, 405 MHz, 13.99 W, 25, 2 MiB, 0 %, 1, 16
2026/09/19 21:58:47.573, 0, P8, 195 MHz, 405 MHz, 13.99 W, 25, 38 MiB, 0 %, 1, 16
2026/09/19 21:58:47.823, 0, P8, 195 MHz, 405 MHz, 13.99 W, 25, 608 MiB, 0 %, 1, 16
2026/09/19 21:58:48.073, 0, P1, 2602 MHz, 13801 MHz, 32.52 W, 27, 718 MiB, 4 %, 5, 16
2026/09/19 21:58:48.324, 0, P1, 2602 MHz, 13801 MHz, 32.52 W, 27, 718 MiB, 4 %, 5, 16
2026/09/19 21:58:48.574, 0, P1, 2955 MHz, 13801 MHz, 54.23 W, 29, 718 MiB, 48 %, 5, 16
2026/09/19 21:58:48.825, 0, P1, 2955 MHz, 13801 MHz, 54.23 W, 29, 718 MiB, 48 %, 5, 16
2026/09/19 21:58:49.075, 0, P1, 2955 MHz, 13801 MHz, 105.62 W, 29, 718 MiB, 48 %, 5, 16
2026/09/19 21:58:49.325, 0, P1, 2955 MHz, 13801 MHz, 105.62 W, 29, 718 MiB, 48 %, 5, 16
2026/09/19 21:58:49.576, 0, P1, 2955 MHz, 13801 MHz, 109.46 W, 29, 718 MiB, 48 %, 5, 16
2026/09/19 21:58:49.826, 0, P1, 2955 MHz, 13801 MHz, 109.46 W, 29, 718 MiB, 48 %, 5, 16
2026/09/19 21:58:50.077, 0, P1, 2955 MHz, 13801 MHz, 109.79 W, 30, 718 MiB, 43 %, 5, 16
2026/09/19 21:58:50.327, 0, P1, 2955 MHz, 13801 MHz, 109.79 W, 30, 718 MiB, 43 %, 5, 16
2026/09/19 21:58:50.578, 0, P1, 2955 MHz, 13801 MHz, 109.96 W, 30, 718 MiB, 44 %, 5, 16
2026/09/19 21:58:50.828, 0, P1, 2955 MHz, 13801 MHz, 109.96 W, 30, 718 MiB, 44 %, 5, 16
2026/09/19 21:58:51.078, 0, P1, 2955 MHz, 13801 MHz, 110.11 W, 30, 718 MiB, 44 %, 5, 16
2026/09/19 21:58:51.329, 0, P1, 2955 MHz, 13801 MHz, 110.11 W, 30, 718 MiB, 44 %, 5, 16
2026/09/19 21:58:51.579, 0, P1, 2955 MHz, 13801 MHz, 110.14 W, 30, 718 MiB, 43 %, 5, 16
2026/09/19 21:58:51.830, 0, P1, 2955 MHz, 13801 MHz, 110.14 W, 30, 718 MiB, 43 %, 5, 16
2026/09/19 21:58:52.080, 0, P1, 2955 MHz, 13801 MHz, 110.19 W, 30, 750 MiB, 45 %, 5, 16
2026/09/19 21:58:52.331, 0, P1, 2955 MHz, 13801 MHz, 110.19 W, 30, 750 MiB, 45 %, 5, 16
