  setup (plain): base usage={'prompt_tokens': 5120, 'completion_tokens': 1, 'total_tokens': 5121, 'prompt_tokens_details': {'cached_tokens': 0}, 'elapsed_s': 1.426343708} seed_lines=1 captures=0
  run  1 order 1 idle     tokens=160 p50=13.3 max=14.8 stall=1.5 two_tick=1.5 intruder=None captures=[] seeds=[] victim=None aborts=0 demote=[] errors=0
  run  2 order 1 plain    tokens=160 p50=13.3 max=103.0 stall=89.7 two_tick=92.0 intruder=(118.8, 5184, 5120) captures=[] seeds=[5184] victim=None aborts=0 demote=[] errors=0
  run  3 order 1 idle     tokens=160 p50=13.4 max=14.8 stall=1.5 two_tick=3.0 intruder=None captures=[] seeds=[] victim=None aborts=0 demote=[] errors=0
  run  4 order 1 plain    tokens=160 p50=13.3 max=103.0 stall=89.7 two_tick=92.0 intruder=(118.7, 5184, 5120) captures=[] seeds=[5184] victim=None aborts=0 demote=[] errors=0
  run  5 order 1 idle     tokens=160 p50=13.3 max=14.9 stall=1.5 two_tick=1.5 intruder=None captures=[] seeds=[] victim=None aborts=0 demote=[] errors=0
  run  6 order 1 plain    tokens=160 p50=13.4 max=103.1 stall=89.8 two_tick=92.0 intruder=(118.8, 5184, 5120) captures=[] seeds=[5184] victim=None aborts=0 demote=[] errors=0
  run  7 order 1 idle     tokens=160 p50=13.3 max=14.8 stall=1.5 two_tick=3.0 intruder=None captures=[] seeds=[] victim=None aborts=0 demote=[] errors=0
  run  8 order 1 plain    tokens=160 p50=13.4 max=103.3 stall=89.9 two_tick=92.1 intruder=(118.9, 5184, 5120) captures=[] seeds=[5184] victim=None aborts=0 demote=[] errors=0
  run  9 order 1 idle     tokens=160 p50=13.4 max=14.9 stall=1.5 two_tick=1.4 intruder=None captures=[] seeds=[] victim=None aborts=0 demote=[] errors=0
  run 10 order 1 plain    tokens=160 p50=13.4 max=103.3 stall=89.9 two_tick=92.2 intruder=(118.9, 5184, 5120) captures=[] seeds=[5184] victim=None aborts=0 demote=[] errors=0
  run 11 order 2 plain    tokens=160 p50=13.4 max=103.5 stall=90.1 two_tick=92.3 intruder=(119.2, 5184, 5120) captures=[] seeds=[5184] victim=None aborts=0 demote=[] errors=0
  run 12 order 2 idle     tokens=160 p50=13.4 max=14.8 stall=1.4 two_tick=1.3 intruder=None captures=[] seeds=[] victim=None aborts=0 demote=[] errors=0
  run 13 order 2 plain    tokens=160 p50=13.4 max=103.3 stall=89.9 two_tick=92.0 intruder=(118.9, 5184, 5120) captures=[] seeds=[5184] victim=None aborts=0 demote=[] errors=0
  run 14 order 2 idle     tokens=160 p50=13.4 max=14.8 stall=1.5 two_tick=1.4 intruder=None captures=[] seeds=[] victim=None aborts=0 demote=[] errors=0
  run 15 order 2 plain    tokens=160 p50=13.4 max=103.4 stall=90.1 two_tick=92.3 intruder=(119.1, 5184, 5120) captures=[] seeds=[5184] victim=None aborts=0 demote=[] errors=0
  run 16 order 2 idle     tokens=160 p50=13.4 max=14.8 stall=1.4 two_tick=1.4 intruder=None captures=[] seeds=[] victim=None aborts=0 demote=[] errors=0
  run 17 order 2 plain    tokens=160 p50=13.4 max=103.3 stall=89.9 two_tick=92.1 intruder=(118.9, 5184, 5120) captures=[] seeds=[5184] victim=None aborts=0 demote=[] errors=0
  run 18 order 2 idle     tokens=160 p50=13.4 max=14.8 stall=1.4 two_tick=2.9 intruder=None captures=[] seeds=[] victim=None aborts=0 demote=[] errors=0
  run 19 order 2 plain    tokens=160 p50=13.4 max=103.5 stall=90.1 two_tick=92.3 intruder=(119.1, 5184, 5120) captures=[] seeds=[5184] victim=None aborts=0 demote=[] errors=0
  run 20 order 2 idle     tokens=160 p50=13.4 max=14.8 stall=1.4 two_tick=1.4 intruder=None captures=[] seeds=[] victim=None aborts=0 demote=[] errors=0
RETIRE rule cell=retire-off1 arm=plain n_per_order=5 pooled=10 idle_runs=10 idle_p50=13.4 idle_p95=14.7 idle_p99=14.8 idle_max=14.9 arm_runs=10 arm_p50=13.4 arm_p95=14.7 arm_p99=15.6 arm_max=103.5 stall_median=89.9 stall_min=89.7 stall_max=90.1 two_tick_stall_median=92.1 intruder_wall_median=118.9 intruder_wall_ms=[118.8, 118.7, 118.8, 118.9, 118.9, 119.2, 118.9, 119.1, 118.9, 119.1] intruder_prompt_tokens=[5184, 5184, 5184, 5184, 5184, 5184, 5184, 5184, 5184, 5184] intruder_cached_tokens=[5120, 5120, 5120, 5120, 5120, 5120, 5120, 5120, 5120, 5120] captures_published=0 settled_by_retire=0 settled_by_poll=0 settled_by_other=[] copy_ms=[] copy_ms_median=na copy_ms_retire_settled=[] stall_ms_retire_settled=[] victim_close_after_post_ms=[] capture_polls=[] captures_submitted_mb=[] seed_inserts=10 seed_tokens=[5184] victim_aborts=0 victim_tokens_before_close=[] server_demote_ms=[] tenant_text_identical=True errors=0
