procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 110810684 1204712 305623600    0    0    57  1223 1680    0  1  0 99  0  0  0
 2  0      0 110474880 1204712 305631668    0    0     0     0 2782 2399  1  1 98  0  0  0
 2  0      0 110211136 1204712 305631820    0    0     0     0 2073 1992  2  0 98  0  0  0
 1  0      0 110211252 1204712 305631820    0    0     0     0 2078 2015  2  0 98  0  0  0
 1  0      0 110210988 1204712 305631848    0    0     0     0 2067 2099  2  0 98  0  0  0
 1  0      0 110210988 1204720 305631840    0    0     0    40 2017 1997  2  0 98  0  0  0
 1  0      0 110210988 1204720 305631840    0    0     0     0 2018 2025  2  0 98  0  0  0
 1  0      0 110210988 1204720 305631844    0    0     0     0 2110 2002  2  0 98  0  0  0
 1  0      0 110210988 1204720 305631844    0    0     0    56 2213 2109  2  0 98  0  0  0
 1  0      0 110210988 1204720 305631852    0    0     0     0 2076 2023  2  0 98  0  0  0
 1  0      0 110210988 1204728 305631844    0    0     0    24 2038 2029  2  0 98  0  0  0
 1  0      0 110210988 1204728 305631844    0    0     0     0 2027 2038  2  0 98  0  0  0
 1  0      0 110203176 1204728 305631844    0    0     0     0 2070 2079  2  0 98  0  0  0
 1  0      0 110223304 1204728 305631844    0    0     0     0 2100 2095  2  0 98  0  0  0
 1  0      0 110223304 1204728 305631848    0    0     0     0 2015 1983  2  0 98  0  0  0
 1  0      0 110221540 1204736 305631840    0    0     0    12 2007 2010  2  0 98  0  0  0
 1  0      0 110219272 1204736 305631840    0    0     0     0 2078 2080  2  0 98  0  0  0
 1  0      0 110219272 1204736 305631840    0    0     0     0 2122 1992  2  0 98  0  0  0
 1  0      0 110228816 1204736 305631856    0    0     0     0 2249 2428  2  0 98  0  0  0
 1  0      0 110228816 1204736 305631856    0    0     0     4 2054 2025  2  0 98  0  0  0
 1  0      0 110235472 1204736 305631856    0    0     0    92 2080 2101  2  0 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 110233456 1204744 305631848    0    0     0    20 2009 2010  2  0 98  0  0  0
 1  0      0 110231944 1204744 305631848    0    0     0     0 1989 1981  2  0 98  0  0  0
 1  0      0 110229928 1204744 305631848    0    0     0     0 2019 2008  2  0 98  0  0  0
 1  0      0 110233464 1204744 305631848    0    0     0     0 2180 2155  2  0 98  0  0  0
 1  0      0 110210140 1204744 305631880    0    0     0     4 4086 3101  3  0 97  0  0  0
 2  0      0 110218716 1204752 305632000    0    0     0  5328 2293 2177  2  0 98  0  0  0
