timestamp, uuid, name, index, memory.used [MiB], utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], temperature.gpu
2026/09/21 14:02:26.527, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0 MiB, 0 %, 35.09 W, 180 MHz, 31
2026/09/21 14:02:26.541, GPU-9aac15ee-fcda-a1e3-367f-f9517f7376ff, NVIDIA RTX PRO 6000 Blackwell Server Edition, 1, 0 MiB, 0 %, 34.10 W, 180 MHz, 32
2026/09/21 14:02:26.566, GPU-0ef61756-6a47-f49f-7c77-4ea56a37dd41, NVIDIA RTX PRO 6000 Blackwell Server Edition, 2, 0 MiB, 0 %, 34.69 W, 180 MHz, 32
2026/09/21 14:02:26.587, GPU-09f40640-fcd1-6793-8acf-5fef0a021ddf, NVIDIA RTX PRO 6000 Blackwell Server Edition, 3, 0 MiB, 0 %, 33.70 W, 180 MHz, 32
2026/09/21 14:02:26.866, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0 MiB, 0 %, 35.09 W, 180 MHz, 31
2026/09/21 14:02:26.866, GPU-9aac15ee-fcda-a1e3-367f-f9517f7376ff, NVIDIA RTX PRO 6000 Blackwell Server Edition, 1, 0 MiB, 0 %, 34.56 W, 180 MHz, 32
2026/09/21 14:02:26.866, GPU-0ef61756-6a47-f49f-7c77-4ea56a37dd41, NVIDIA RTX PRO 6000 Blackwell Server Edition, 2, 0 MiB, 0 %, 35.16 W, 180 MHz, 32
2026/09/21 14:02:26.866, GPU-09f40640-fcd1-6793-8acf-5fef0a021ddf, NVIDIA RTX PRO 6000 Blackwell Server Edition, 3, 0 MiB, 0 %, 34.13 W, 180 MHz, 32
2026/09/21 14:02:27.116, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0 MiB, 0 %, 35.09 W, 180 MHz, 31
2026/09/21 14:02:27.118, GPU-9aac15ee-fcda-a1e3-367f-f9517f7376ff, NVIDIA RTX PRO 6000 Blackwell Server Edition, 1, 0 MiB, 0 %, 34.56 W, 180 MHz, 32
2026/09/21 14:02:27.118, GPU-0ef61756-6a47-f49f-7c77-4ea56a37dd41, NVIDIA RTX PRO 6000 Blackwell Server Edition, 2, 1 MiB, 0 %, 35.16 W, 180 MHz, 32
2026/09/21 14:02:27.118, GPU-09f40640-fcd1-6793-8acf-5fef0a021ddf, NVIDIA RTX PRO 6000 Blackwell Server Edition, 3, 0 MiB, 0 %, 34.13 W, 180 MHz, 32
2026/09/21 14:02:27.368, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 1 MiB, 0 %, 35.45 W, 180 MHz, 31
2026/09/21 14:02:27.370, GPU-9aac15ee-fcda-a1e3-367f-f9517f7376ff, NVIDIA RTX PRO 6000 Blackwell Server Edition, 1, 1 MiB, 0 %, 36.06 W, 180 MHz, 32
2026/09/21 14:02:27.370, GPU-0ef61756-6a47-f49f-7c77-4ea56a37dd41, NVIDIA RTX PRO 6000 Blackwell Server Edition, 2, 22 MiB, 0 %, 36.98 W, 180 MHz, 32
2026/09/21 14:02:27.370, GPU-09f40640-fcd1-6793-8acf-5fef0a021ddf, NVIDIA RTX PRO 6000 Blackwell Server Edition, 3, 0 MiB, 0 %, 35.34 W, 180 MHz, 32
2026/09/21 14:02:27.621, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 23 MiB, 0 %, 37.17 W, 352 MHz, 31
2026/09/21 14:02:27.622, GPU-9aac15ee-fcda-a1e3-367f-f9517f7376ff, NVIDIA RTX PRO 6000 Blackwell Server Edition, 1, 0 MiB, 0 %, 36.21 W, 180 MHz, 32
2026/09/21 14:02:27.622, GPU-0ef61756-6a47-f49f-7c77-4ea56a37dd41, NVIDIA RTX PRO 6000 Blackwell Server Edition, 2, 41 MiB, 0 %, 44.66 W, 1425 MHz, 33
2026/09/21 14:02:27.622, GPU-09f40640-fcd1-6793-8acf-5fef0a021ddf, NVIDIA RTX PRO 6000 Blackwell Server Edition, 3, 0 MiB, 0 %, 35.51 W, 180 MHz, 32
2026/09/21 14:02:27.872, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 629 MiB, 7 %, 46.09 W, 352 MHz, 32
