0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0 MiB, 26, 180 MHz, 30.60 W
1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0 MiB, 27, 180 MHz, 30.41 W
