timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%]
2026/09/24 14:58:01.193, 73, 174.75 W, 2617 MHz, 14001 MHz, 825 MiB, 100 %
2026/09/24 14:58:01.443, 73, 174.63 W, 2617 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:01.693, 73, 174.63 W, 2617 MHz, 14001 MHz, 825 MiB, 100 %
2026/09/24 14:58:01.944, 74, 174.75 W, 2617 MHz, 14001 MHz, 825 MiB, 100 %
2026/09/24 14:58:02.194, 74, 174.75 W, 2617 MHz, 14001 MHz, 825 MiB, 100 %
2026/09/24 14:58:02.444, 74, 174.68 W, 2617 MHz, 14001 MHz, 825 MiB, 100 %
2026/09/24 14:58:02.694, 74, 174.68 W, 2617 MHz, 14001 MHz, 825 MiB, 100 %
2026/09/24 14:58:02.944, 74, 174.77 W, 2617 MHz, 14001 MHz, 825 MiB, 100 %
2026/09/24 14:58:03.195, 74, 174.77 W, 2617 MHz, 14001 MHz, 825 MiB, 100 %
2026/09/24 14:58:03.445, 74, 174.76 W, 2617 MHz, 14001 MHz, 825 MiB, 100 %
2026/09/24 14:58:03.695, 74, 174.76 W, 2617 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:03.945, 74, 174.76 W, 2610 MHz, 14001 MHz, 825 MiB, 100 %
2026/09/24 14:58:04.196, 74, 174.76 W, 2610 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:04.446, 74, 174.74 W, 2610 MHz, 14001 MHz, 825 MiB, 100 %
2026/09/24 14:58:04.696, 74, 174.74 W, 2610 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:04.946, 75, 174.79 W, 2610 MHz, 14001 MHz, 825 MiB, 100 %
2026/09/24 14:58:05.196, 75, 174.79 W, 2610 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:05.447, 75, 174.80 W, 2610 MHz, 14001 MHz, 825 MiB, 100 %
2026/09/24 14:58:05.697, 75, 174.80 W, 2610 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:05.947, 75, 174.79 W, 2610 MHz, 14001 MHz, 831 MiB, 99 %
2026/09/24 14:58:06.197, 75, 174.79 W, 2610 MHz, 14001 MHz, 823 MiB, 99 %
2026/09/24 14:58:06.448, 75, 174.82 W, 2610 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:06.698, 75, 174.82 W, 2610 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:06.948, 75, 174.78 W, 2610 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:07.199, 75, 174.78 W, 2610 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:07.449, 75, 174.82 W, 2602 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:07.699, 75, 174.82 W, 2602 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:07.949, 75, 174.84 W, 2602 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:08.199, 75, 174.84 W, 2602 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:08.450, 76, 174.84 W, 2602 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:08.700, 76, 174.84 W, 2602 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:08.950, 76, 174.74 W, 2595 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:09.200, 76, 174.74 W, 2595 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:09.451, 76, 174.84 W, 2602 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:09.701, 76, 174.84 W, 2602 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:09.951, 76, 174.93 W, 2595 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:10.201, 76, 174.93 W, 2595 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:10.452, 76, 174.85 W, 2595 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:10.702, 76, 174.85 W, 2595 MHz, 14001 MHz, 831 MiB, 100 %
