timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%]
2026/09/26 06:43:05.988, 53, 442.86 W, 2850 MHz, 13365 MHz, 16660 MiB, 100 %
2026/09/26 06:43:06.238, 53, 442.86 W, 2850 MHz, 13365 MHz, 16660 MiB, 100 %
2026/09/26 06:43:06.488, 53, 432.90 W, 2842 MHz, 13365 MHz, 16660 MiB, 100 %
2026/09/26 06:43:06.738, 53, 432.90 W, 2842 MHz, 13365 MHz, 16660 MiB, 100 %
2026/09/26 06:43:06.989, 54, 427.89 W, 2842 MHz, 13365 MHz, 16660 MiB, 100 %
2026/09/26 06:43:07.239, 54, 427.89 W, 2842 MHz, 13365 MHz, 16660 MiB, 100 %
2026/09/26 06:43:07.489, 54, 440.87 W, 2842 MHz, 13365 MHz, 16660 MiB, 100 %
2026/09/26 06:43:07.739, 54, 440.87 W, 2842 MHz, 13365 MHz, 16660 MiB, 100 %
2026/09/26 06:43:07.989, 54, 444.72 W, 2835 MHz, 13365 MHz, 16948 MiB, 100 %
2026/09/26 06:43:08.239, 54, 444.72 W, 2835 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:08.489, 54, 417.33 W, 2835 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:08.739, 54, 417.33 W, 2835 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:08.989, 54, 411.56 W, 2842 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:09.240, 54, 411.56 W, 2842 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:09.490, 55, 437.82 W, 2842 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:09.740, 55, 437.82 W, 2842 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:09.990, 55, 446.13 W, 2835 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:10.240, 55, 446.13 W, 2835 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:10.490, 55, 435.45 W, 2827 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:10.740, 55, 435.45 W, 2827 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:10.990, 55, 428.55 W, 2827 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:11.240, 55, 428.55 W, 2827 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:11.490, 56, 439.11 W, 2842 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:11.740, 56, 439.11 W, 2842 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:11.991, 56, 447.43 W, 2835 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:12.241, 56, 447.43 W, 2835 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:12.491, 55, 428.98 W, 2827 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:12.741, 55, 428.98 W, 2827 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:12.991, 55, 422.11 W, 2827 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:13.241, 55, 422.11 W, 2827 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:13.491, 56, 437.82 W, 2842 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:13.741, 56, 437.82 W, 2842 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:13.991, 56, 449.40 W, 2842 MHz, 13365 MHz, 17140 MiB, 95 %
2026/09/26 06:43:14.242, 56, 449.40 W, 2842 MHz, 13365 MHz, 17140 MiB, 95 %
2026/09/26 06:43:14.492, 56, 440.55 W, 2827 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:14.742, 56, 440.55 W, 2827 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:14.992, 56, 425.65 W, 2827 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:15.242, 56, 425.65 W, 2827 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:15.492, 57, 439.45 W, 2842 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:15.742, 57, 439.45 W, 2842 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:15.992, 57, 450.20 W, 2842 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:16.242, 57, 450.20 W, 2842 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:16.493, 57, 432.69 W, 2827 MHz, 13365 MHz, 17140 MiB, 99 %
2026/09/26 06:43:16.743, 57, 432.69 W, 2827 MHz, 13365 MHz, 17140 MiB, 99 %
2026/09/26 06:43:16.993, 57, 421.76 W, 2827 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:17.243, 57, 421.76 W, 2827 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:17.493, 58, 439.04 W, 2842 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:17.743, 58, 439.04 W, 2842 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:17.993, 57, 453.08 W, 2842 MHz, 13365 MHz, 17140 MiB, 95 %
2026/09/26 06:43:18.243, 57, 453.08 W, 2842 MHz, 13365 MHz, 17140 MiB, 95 %
2026/09/26 06:43:18.493, 57, 444.44 W, 2827 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:18.743, 57, 444.44 W, 2827 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:18.994, 57, 429.02 W, 2827 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:19.244, 57, 429.02 W, 2827 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:19.494, 58, 441.98 W, 2842 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:19.744, 58, 441.98 W, 2842 MHz, 13365 MHz, 17140 MiB, 100 %
