"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Body Item Label","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","460541","memra-server","127.0.0.1","fa_prefill_qw_db","1","13","(32, 4, 1)","(64, 24, 1)","0","12.0","GPU Speed Of Light Throughput","","DRAM Frequency","Ghz","13.99",
"0","460541","memra-server","127.0.0.1","fa_prefill_qw_db","1","13","(32, 4, 1)","(64, 24, 1)","0","12.0","GPU Speed Of Light Throughput","","SM Frequency","Ghz","1.09",
"0","460541","memra-server","127.0.0.1","fa_prefill_qw_db","1","13","(32, 4, 1)","(64, 24, 1)","0","12.0","GPU Speed Of Light Throughput","","Elapsed Cycles","cycle","14776532",
"0","460541","memra-server","127.0.0.1","fa_prefill_qw_db","1","13","(32, 4, 1)","(64, 24, 1)","0","12.0","GPU Speed Of Light Throughput","","Memory Throughput","%","72.44",
"0","460541","memra-server","127.0.0.1","fa_prefill_qw_db","1","13","(32, 4, 1)","(64, 24, 1)","0","12.0","GPU Speed Of Light Throughput","","DRAM Throughput","%","2.92",
"0","460541","memra-server","127.0.0.1","fa_prefill_qw_db","1","13","(32, 4, 1)","(64, 24, 1)","0","12.0","GPU Speed Of Light Throughput","","Duration","ms","13.50",
"0","460541","memra-server","127.0.0.1","fa_prefill_qw_db","1","13","(32, 4, 1)","(64, 24, 1)","0","12.0","GPU Speed Of Light Throughput","","L1/TEX Cache Throughput","%","76.97",
"0","460541","memra-server","127.0.0.1","fa_prefill_qw_db","1","13","(32, 4, 1)","(64, 24, 1)","0","12.0","GPU Speed Of Light Throughput","","Waves Per SM","","18.73",
"0","460541","memra-server","127.0.0.1","fa_prefill_qw_db","1","13","(32, 4, 1)","(64, 24, 1)","0","12.0","GPU Speed Of Light Throughput","","L2 Cache Throughput","%","13.01",
"0","460541","memra-server","127.0.0.1","fa_prefill_qw_db","1","13","(32, 4, 1)","(64, 24, 1)","0","12.0","GPU Speed Of Light Throughput","","SM Active Cycles","cycle","13878964.40",
"0","460541","memra-server","127.0.0.1","fa_prefill_qw_db","1","13","(32, 4, 1)","(64, 24, 1)","0","12.0","GPU Speed Of Light Throughput","","Compute (SM) Throughput","%","34.31",
"0","460541","memra-server","127.0.0.1","fa_prefill_qw_db","1","13","(32, 4, 1)","(64, 24, 1)","0","12.0","GPU Speed Of Light Throughput","GPU Throughput","Memory [%]","%","72.44",
"0","460541","memra-server","127.0.0.1","fa_prefill_qw_db","1","13","(32, 4, 1)","(64, 24, 1)","0","12.0","GPU Speed Of Light Throughput","GPU Throughput","Compute (SM) [%]","%","34.31",
