
NOTICE: Existing SQLite export found: /tmp/memra-fa3softmax-20260813/q27-nsys-r2.sqlite
        It is assumed file was previously exported from: /tmp/memra-fa3softmax-20260813/q27-nsys-r2.nsys-rep
        Consider using --force-export=true if needed.

Processing [/tmp/memra-fa3softmax-20260813/q27-nsys-r2.sqlite] with [/opt/nvidia/nsight-systems/2025.5.2/host-linux-x64/reports/cuda_gpu_kern_gb_sum.py]...
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
0.0,373661,16,23353.8,23391.5,22719,23648,196.8,16384    1    1, 128    1    1,rope_neox_f32
0.0,343996,48,7166.6,7136.0,6911,7616,155.8, 192    1    1,1024    1    1,gdn_glog_f32
0.0,315293,48,6568.6,6576.0,6176,7104,229.2, 192    1    1,1024    1    1,sigmoid_f32
0.0,309184,60,5153.1,5120.0,4960,5408,101.0, 256    1    1, 256    1    1,argmax_partial_f32
0.0,300542,1,300542.0,300542.0,300542,300542,0.0,  20 4096    1, 256    1    1,embed_gather_u32_t
0.0,256220,16,16013.8,15952.0,15679,16319,186.9,3056    1    1, 256    1    1,rms_norm_f32
0.0,246559,96,2568.3,2560.0,2400,2720,42.4,  30    1    1,1024    1    1,ssm_conv_ring_update_f32
0.0,227518,48,4740.0,4735.0,4640,5024,76.6,  24   48    1,  32    1    1,gdn_chunk_cumgate_f32
0.0,196343,60,3272.4,3264.0,3135,3552,69.3,   2    1    1,1024    1    1,add_f32
0.0,187551,62,3025.0,3008.0,2912,3136,36.5,   5    1    1,1024    1    1,quantize_q8_1
0.0,181695,48,3785.3,3760.0,3392,4544,224.9,  36    1    1,1024    1    1,sigmoid_f32
0.0,174559,48,3636.6,3648.0,3072,4224,294.5,  36    1    1,1024    1    1,gdn_glog_f32
0.0,155999,60,2600.0,2592.0,2528,2656,28.6,   1    1    1, 256    1    1,argmax_final_f32
0.0,119264,16,7454.0,7456.0,7328,7552,77.9,3056    1    1, 128    1    1,rope_neox_f32
0.0,62592,1,62592.0,62592.0,62592,62592,0.0,  20  764    1, 256    1    1,embed_gather_u32_t
