t	layer	current_us	fused_us	paired_saving_us
2	0	86.060570000	45.464230000	40.596340000
2	1	86.327230000	45.476030000	40.854645000
2	2	86.245330000	45.515705000	40.725255000
2	4	86.574985000	45.471745000	41.098820000
2	5	86.586445000	45.456700000	41.113070000
2	6	86.284200000	45.472295000	40.811905000
2	8	86.086630000	45.438020000	40.649155000
2	9	86.117160000	45.461580000	40.624530000
2	10	86.420495000	45.514160000	40.902170000
2	12	86.728055000	45.475895000	41.249165000
2	13	86.742120000	45.517205000	41.218380000
2	14	86.315040000	45.483365000	40.824685000
2	16	86.305510000	45.501235000	40.816240000
2	17	86.339690000	45.544040000	40.785715000
2	18	86.645735000	45.476200000	41.178185000
2	20	86.654630000	45.449880000	41.208170000
2	21	86.653445000	45.488215000	41.163355000
2	22	86.507665000	45.440860000	41.071520000
2	24	86.414600000	45.502350000	40.912250000
2	25	86.650625000	45.508860000	41.129325000
2	26	86.507975000	45.483310000	41.028205000
2	28	86.162525000	45.467365000	40.696655000
2	29	86.765850000	45.480560000	41.295550000
2	30	86.503110000	45.432795000	41.060625000
2	32	86.472910000	45.455040000	41.020715000
2	33	86.510415000	45.467475000	41.047905000
2	34	86.547975000	45.487930000	41.066210000
2	36	86.571435000	45.484525000	41.098385000
2	37	86.518670000	45.461365000	41.041590000
2	38	86.833455000	45.494280000	41.350215000
2	40	85.940365000	45.443400000	40.458055000
2	41	86.654120000	45.487480000	41.162055000
2	42	86.708815000	45.466420000	41.245215000
2	44	86.380160000	45.479575000	40.904565000
4	0	130.005510000	80.417715000	49.572635000
4	1	130.650365000	80.419275000	50.231090000
4	2	130.356875000	80.450075000	49.895515000
4	4	130.399090000	80.402635000	49.996885000
4	5	130.259695000	80.388930000	49.867605000
4	6	129.982295000	80.430060000	49.552235000
4	8	130.326180000	80.405265000	49.920915000
4	9	130.623895000	80.403990000	50.211185000
4	10	130.494960000	80.415935000	50.077095000
4	12	130.553935000	80.401355000	50.147480000
4	13	130.673450000	80.413200000	50.260250000
4	14	130.362160000	80.425645000	49.920085000
4	16	130.013485000	80.404490000	49.595855000
4	17	130.824005000	80.416210000	50.411445000
4	18	130.422385000	80.416505000	50.003195000
4	20	130.539580000	80.396535000	50.161625000
4	21	130.481510000	80.396415000	50.090345000
4	22	130.497470000	80.415040000	50.082430000
4	24	130.599050000	80.418100000	50.187930000
4	25	130.303670000	80.423010000	49.880660000
4	26	130.395645000	80.409875000	49.983785000
4	28	130.321385000	80.410155000	49.907220000
4	29	130.397720000	80.388415000	50.030175000
4	30	130.161870000	80.396000000	49.765870000
4	32	130.494300000	80.404060000	50.062725000
4	33	130.056310000	80.400310000	49.656000000
4	34	130.533205000	80.418425000	50.118775000
4	36	130.569270000	80.417015000	50.152255000
4	37	130.507225000	80.413075000	50.088180000
4	38	130.617350000	80.415700000	50.192905000
4	40	130.336395000	80.376095000	49.960300000
4	41	130.534040000	80.406350000	50.126895000
4	42	130.485960000	80.399090000	50.086870000
4	44	130.221760000	80.412440000	49.805175000
7	0	245.125100000	134.512040000	110.617210000
7	1	245.263330000	134.492040000	110.776615000
7	2	244.825385000	134.553545000	110.271840000
7	4	244.853545000	134.554100000	110.299445000
7	5	244.753020000	134.588285000	110.164735000
7	6	244.497135000	134.555565000	109.937575000
7	8	245.066740000	134.522650000	110.550775000
7	9	244.779195000	134.560570000	110.230275000
7	10	245.095965000	134.595940000	110.502185000
7	12	244.997045000	134.527025000	110.469815000
7	13	245.299180000	134.575060000	110.724120000
7	14	244.995430000	134.506145000	110.489285000
7	16	245.045330000	134.539140000	110.504255000
7	17	245.049255000	134.536650000	110.507535000
7	18	244.979615000	134.555485000	110.419325000
7	20	245.063830000	134.581540000	110.461775000
7	21	245.189160000	134.525820000	110.656505000
7	22	245.014575000	134.549880000	110.488085000
7	24	245.287170000	134.615845000	110.675565000
7	25	245.113410000	134.598305000	110.515105000
7	26	245.157955000	134.579670000	110.578285000
7	28	245.124050000	134.535575000	110.589165000
7	29	245.137655000	134.555010000	110.588860000
7	30	244.651880000	134.557680000	110.096780000
7	32	245.081960000	134.537390000	110.506020000
7	33	244.884305000	134.575595000	110.321870000
7	34	245.124995000	134.607195000	110.532410000
7	36	245.077990000	134.512405000	110.562060000
7	37	245.106230000	134.530375000	110.575855000
7	38	245.123000000	134.461905000	110.664060000
7	40	244.666055000	134.553010000	110.108595000
7	41	245.303845000	134.543900000	110.754370000
7	42	245.423145000	134.558130000	110.861125000
7	44	245.123130000	134.505360000	110.630865000
