t	layer	projection	row	bit_diffs	current_argmax	fused_argmax	status
2	10	3	0	0	123	123	PASS
2	10	3	1	0	24	24	PASS
2	10	4	0	0	73	73	PASS
2	10	4	1	0	106	106	PASS
2	10	5	0	0	31	31	PASS
2	10	5	1	0	52	52	PASS
2	12	0	0	0	3118	3118	PASS
2	12	0	1	0	3054	3054	PASS
2	12	1	0	0	6425	6425	PASS
2	12	1	1	0	8184	8184	PASS
2	12	2	0	0	633	633	PASS
2	12	2	1	0	633	633	PASS
2	12	3	0	0	109	109	PASS
2	12	3	1	0	106	106	PASS
2	12	4	0	0	88	88	PASS
2	12	4	1	0	88	88	PASS
2	12	5	0	0	31	31	PASS
2	12	5	1	0	59	59	PASS
2	13	0	0	0	1889	1889	PASS
2	13	0	1	0	1889	1889	PASS
2	13	1	0	0	1541	1541	PASS
2	13	1	1	0	5663	5663	PASS
2	13	2	0	0	5640	5640	PASS
2	13	2	1	0	5640	5640	PASS
2	13	3	0	0	60	60	PASS
2	13	3	1	0	26	26	PASS
2	13	4	0	0	123	123	PASS
2	13	4	1	0	123	123	PASS
2	13	5	0	0	45	45	PASS
2	13	5	1	0	42	42	PASS
2	14	0	0	0	7207	7207	PASS
2	14	0	1	0	7207	7207	PASS
2	14	1	0	0	5077	5077	PASS
2	14	1	1	0	8059	8059	PASS
2	14	2	0	0	7173	7173	PASS
2	14	2	1	0	7173	7173	PASS
2	14	3	0	0	26	26	PASS
2	14	3	1	0	28	28	PASS
2	14	4	0	0	37	37	PASS
2	14	4	1	0	106	106	PASS
2	14	5	0	0	3	3	PASS
2	14	5	1	0	3	3	PASS
2	16	0	0	0	7619	7619	PASS
2	16	0	1	0	7619	7619	PASS
2	16	1	0	0	2878	2878	PASS
2	16	1	1	0	7619	7619	PASS
2	16	2	0	0	4430	4430	PASS
2	16	2	1	0	4430	4430	PASS
2	16	3	0	0	118	118	PASS
2	16	3	1	0	28	28	PASS
2	16	4	0	0	81	81	PASS
2	16	4	1	0	7	7	PASS
2	16	5	0	0	49	49	PASS
2	16	5	1	0	46	46	PASS
2	17	0	0	0	1992	1992	PASS
2	17	0	1	0	1992	1992	PASS
2	17	1	0	0	2413	2413	PASS
2	17	1	1	0	7164	7164	PASS
2	17	2	0	0	7163	7163	PASS
2	17	2	1	0	1364	1364	PASS
2	17	3	0	0	19	19	PASS
2	17	3	1	0	121	121	PASS
2	17	4	0	0	125	125	PASS
2	17	4	1	0	10	10	PASS
2	17	5	0	0	53	53	PASS
2	17	5	1	0	54	54	PASS
2	18	0	0	0	811	811	PASS
2	18	0	1	0	5754	5754	PASS
2	18	1	0	0	6850	6850	PASS
2	18	1	1	0	6850	6850	PASS
2	18	2	0	0	7526	7526	PASS
2	18	2	1	0	5697	5697	PASS
2	18	3	0	0	74	74	PASS
2	18	3	1	0	84	84	PASS
2	18	4	0	0	115	115	PASS
2	18	4	1	0	102	102	PASS
2	18	5	0	0	44	44	PASS
2	18	5	1	0	45	45	PASS
2	20	0	0	0	2228	2228	PASS
2	20	0	1	0	6447	6447	PASS
2	20	1	0	0	2015	2015	PASS
2	20	1	1	0	6053	6053	PASS
2	20	2	0	0	7511	7511	PASS
2	20	2	1	0	7511	7511	PASS
2	20	3	0	0	125	125	PASS
2	20	3	1	0	75	75	PASS
2	20	4	0	0	55	55	PASS
2	20	4	1	0	63	63	PASS
2	20	5	0	0	51	51	PASS
2	20	5	1	0	51	51	PASS
2	21	0	0	0	7173	7173	PASS
2	21	0	1	0	7173	7173	PASS
2	21	1	0	0	2977	2977	PASS
2	21	1	1	0	5546	5546	PASS
2	21	2	0	0	696	696	PASS
2	21	2	1	0	6103	6103	PASS
2	21	3	0	0	101	101	PASS
2	21	3	1	0	62	62	PASS
2	21	4	0	0	20	20	PASS
2	21	4	1	0	37	37	PASS
2	21	5	0	0	34	34	PASS
2	21	5	1	0	24	24	PASS
2	22	0	0	0	3720	3720	PASS
2	22	0	1	0	3720	3720	PASS
2	22	1	0	0	4844	4844	PASS
2	22	1	1	0	4844	4844	PASS
2	22	2	0	0	6970	6970	PASS
2	22	2	1	0	6970	6970	PASS
2	22	3	0	0	63	63	PASS
2	22	3	1	0	66	66	PASS
2	22	4	0	0	96	96	PASS
2	22	4	1	0	97	97	PASS
2	22	5	0	0	55	55	PASS
2	22	5	1	0	38	38	PASS
2	24	0	0	0	7547	7547	PASS
2	24	0	1	0	4392	4392	PASS
2	24	1	0	0	5625	5625	PASS
2	24	1	1	0	116	116	PASS
2	24	2	0	0	6953	6953	PASS
2	24	2	1	0	6953	6953	PASS
2	24	3	0	0	63	63	PASS
2	24	3	1	0	75	75	PASS
2	24	4	0	0	8	8	PASS
2	24	4	1	0	8	8	PASS
2	24	5	0	0	41	41	PASS
2	24	5	1	0	5	5	PASS
2	25	0	0	0	2656	2656	PASS
2	25	0	1	0	5742	5742	PASS
2	25	1	0	0	2609	2609	PASS
2	25	1	1	0	2769	2769	PASS
2	25	2	0	0	6016	6016	PASS
2	25	2	1	0	6016	6016	PASS
2	25	3	0	0	47	47	PASS
2	25	3	1	0	47	47	PASS
2	25	4	0	0	114	114	PASS
2	25	4	1	0	114	114	PASS
2	25	5	0	0	28	28	PASS
2	25	5	1	0	62	62	PASS
2	26	0	0	0	5638	5638	PASS
2	26	0	1	0	5638	5638	PASS
2	26	1	0	0	5189	5189	PASS
2	26	1	1	0	7550	7550	PASS
2	26	2	0	0	5810	5810	PASS
2	26	2	1	0	6207	6207	PASS
2	26	3	0	0	6	6	PASS
2	26	3	1	0	6	6	PASS
2	26	4	0	0	25	25	PASS
2	26	4	1	0	127	127	PASS
2	26	5	0	0	58	58	PASS
2	26	5	1	0	58	58	PASS
2	28	0	0	0	4463	4463	PASS
2	28	0	1	0	7878	7878	PASS
2	28	1	0	0	2420	2420	PASS
2	28	1	1	0	5644	5644	PASS
2	28	2	0	0	2223	2223	PASS
2	28	2	1	0	2223	2223	PASS
2	28	3	0	0	121	121	PASS
2	28	3	1	0	74	74	PASS
2	28	4	0	0	35	35	PASS
2	28	4	1	0	53	53	PASS
2	28	5	0	0	61	61	PASS
2	28	5	1	0	60	60	PASS
2	29	0	0	0	6688	6688	PASS
2	29	0	1	0	3367	3367	PASS
2	29	1	0	0	6668	6668	PASS
2	29	1	1	0	5167	5167	PASS
2	29	2	0	0	3769	3769	PASS
2	29	2	1	0	4984	4984	PASS
2	29	3	0	0	39	39	PASS
2	29	3	1	0	28	28	PASS
2	29	4	0	0	29	29	PASS
2	29	4	1	0	72	72	PASS
2	29	5	0	0	31	31	PASS
2	29	5	1	0	39	39	PASS
2	30	0	0	0	6097	6097	PASS
2	30	0	1	0	876	876	PASS
2	30	1	0	0	777	777	PASS
2	30	1	1	0	777	777	PASS
2	30	2	0	0	1780	1780	PASS
2	30	2	1	0	2451	2451	PASS
2	30	3	0	0	123	123	PASS
2	30	3	1	0	92	92	PASS
2	30	4	0	0	122	122	PASS
