attempt 1: lock busy, waiting 120 s
attempt 2: lock busy, waiting 120 s
attempt 3: lock busy, waiting 120 s
attempt 4: lock busy, waiting 120 s
attempt 5: lock busy, waiting 120 s
attempt 6: lock busy, waiting 120 s
attempt 7: lock busy, waiting 120 s
attempt 8: lock busy, waiting 120 s
attempt 9: lock busy, waiting 120 s
attempt 10: lock busy, waiting 120 s
attempt 11: lock busy, waiting 120 s
attempt 12: lock busy, waiting 120 s
attempt 13: lock busy, waiting 120 s
attempt 14: lock busy, waiting 120 s
attempt 15: lock busy, waiting 120 s
attempt 16: lock busy, waiting 120 s
attempt 17: lock busy, waiting 120 s
attempt 18: lock busy, waiting 120 s
attempt 19: lock busy, waiting 120 s
attempt 20: lock busy, waiting 120 s
attempt 21: lock busy, waiting 120 s
attempt 22: lock busy, waiting 120 s
attempt 23: lock busy, waiting 120 s
attempt 24: lock busy, waiting 120 s
attempt 25: lock busy, waiting 120 s
attempt 26: lock busy, waiting 120 s
attempt 27: lock busy, waiting 120 s
attempt 28: lock busy, waiting 120 s
attempt 29: lock busy, waiting 120 s
attempt 30: lock busy, waiting 120 s
attempt 31: lock busy, waiting 120 s
attempt 32: lock busy, waiting 120 s
attempt 33: lock busy, waiting 120 s
attempt 34: lock busy, waiting 120 s
attempt 35: lock busy, waiting 120 s
attempt 36: lock busy, waiting 120 s
attempt 37: lock busy, waiting 120 s
attempt 38: lock busy, waiting 120 s
attempt 39: lock busy, waiting 120 s
attempt 40: lock busy, waiting 120 s
attempt 41: lock busy, waiting 120 s
