# qwen4exp_real_gate	label=nvfp4-wpack	binary_sha256=676dd39bb3767fe09f334cd249f1f15aaf3e92cb410aa8afdd405a66a2b25ea5	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# spec-ladder: one run per K (not interleaved — ordering signal only; the A/B is the claim)
k	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len	draft_ms_share	verify_ms_share	hist	chain_prefix
3	256	8.49	117.74	0.890	3.66	0.15	0.85	2,5,7,56	271,248068,271,248069,271,71093,12305,198,1005,19876,25,198,262,687,1259,2251,3676,701,11,1009,28,15,11,1727,5675,1590,198,285,638,10518,283,1009
4	256	8.38	119.36	0.866	4.41	0.17	0.83	1,2,8,5,42	271,248068,271,248069,271,71093,12305,198,1005,19876,25,198,262,687,1259,2251,3676,701,11,1009,28,15,11,1727,5675,1590,198,285,638,10518,283,1009
5	256	8.26	121.07	0.840	5.12	0.18	0.81	1,1,7,5,0,36	271,248068,271,248069,271,71093,12305,198,1005,19876,25,198,262,687,1259,2251,3676,701,11,1009,28,15,11,1727,5675,1590,198,285,638,10518,283,1009
6	256	8.50	117.63	0.781	5.69	0.19	0.81	2,2,6,2,2,3,28	271,248068,271,248069,271,71093,12305,198,1005,19876,25,198,262,687,1259,2251,3676,701,11,1009,28,15,11,1727,5675,1590,198,285,638,10518,283,1009
7	256	8.88	112.66	0.731	6.10	0.20	0.80	1,3,5,2,4,2,5,20	271,248068,271,248069,271,71093,12305,198,1005,19876,25,198,262,687,1259,2251,3676,701,11,1009,28,15,11,1727,5675,1590,198,285,638,10518,283,1009
8	256	9.62	104.00	0.662	6.24	0.20	0.80	1,3,6,4,2,2,4,4,15	271,248068,271,248069,271,71093,12305,198,1005,19876,25,198,262,687,1259,2251,3676,701,11,1009,28,15,11,1727,5675,1590,198,285,638,10518,283,1009
