[glm5-phase-v] rounds=12 k=3 | per-round ms: vkda=0.000 (scan=0.000) vmla=0.000 vrest=96.484
[glm5-phase-v] rounds=13 k=3 | per-round ms: vkda=0.000 (scan=0.000) vmla=0.000 vrest=95.607
[glm5-phase-v] rounds=12 k=3 | per-round ms: vkda=0.000 (scan=0.000) vmla=0.000 vrest=95.365
[glm5-phase-v] rounds=13 k=3 | per-round ms: vkda=0.000 (scan=0.000) vmla=0.000 vrest=95.667
[glm5-phase-v] rounds=11 k=3 | per-round ms: vkda=0.000 (scan=0.000) vmla=0.000 vrest=96.046
[glm5-phase-v] rounds=10 k=3 | per-round ms: vkda=0.000 (scan=0.000) vmla=0.000 vrest=96.471
[glm5-phase-v] rounds=10 k=3 | per-round ms: vkda=0.000 (scan=0.000) vmla=0.000 vrest=99.065
[glm5-phase-v] rounds=11 k=3 | per-round ms: vkda=0.000 (scan=0.000) vmla=0.000 vrest=99.428
[glm5-phase-v] rounds=13 k=3 | per-round ms: vkda=0.000 (scan=0.000) vmla=0.000 vrest=99.835
[glm5-phase-v] rounds=9 k=3 | per-round ms: vkda=0.000 (scan=0.000) vmla=0.000 vrest=100.183
[glm5-phase-v] rounds=11 k=3 | per-round ms: vkda=0.000 (scan=0.000) vmla=0.000 vrest=94.129
[glm5-phase-v] rounds=8 k=3 | per-round ms: vkda=0.000 (scan=0.000) vmla=0.000 vrest=94.446
[glm5-phase-v] rounds=8 k=3 | per-round ms: vkda=0.000 (scan=0.000) vmla=0.000 vrest=94.833
[glm5-phase-v] rounds=8 k=3 | per-round ms: vkda=0.000 (scan=0.000) vmla=0.000 vrest=95.211
[glm5-phase-v] rounds=15 k=3 | per-round ms: vkda=0.000 (scan=0.000) vmla=0.000 vrest=116.532
[glm5-phase-v] rounds=13 k=3 | per-round ms: vkda=0.000 (scan=0.000) vmla=0.000 vrest=116.575
[glm5-phase-v] rounds=12 k=3 | per-round ms: vkda=0.000 (scan=0.000) vmla=0.000 vrest=116.644
[glm5-phase-v] rounds=12 k=3 | per-round ms: vkda=0.000 (scan=0.000) vmla=0.000 vrest=116.543
