timestamp, power.draw [W], clocks.current.sm [MHz], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/08/04 19:41:34.002, 110.40 W, 2880 MHz, 37, 0 %, 2 MiB
2026/08/04 19:41:35.012, 82.42 W, 2617 MHz, 36, 6 %, 2996 MiB
2026/08/04 19:41:36.012, 84.42 W, 2625 MHz, 36, 7 %, 6548 MiB
2026/08/04 19:41:37.012, 84.65 W, 2625 MHz, 35, 8 %, 10132 MiB
2026/08/04 19:41:38.012, 83.99 W, 2625 MHz, 35, 7 %, 13652 MiB
2026/08/04 19:41:39.012, 82.70 W, 2610 MHz, 35, 0 %, 14740 MiB
2026/08/04 19:41:40.012, 82.13 W, 2610 MHz, 35, 0 %, 14740 MiB
2026/08/04 19:41:41.013, 221.51 W, 2842 MHz, 45, 100 %, 19060 MiB
2026/08/04 19:41:42.013, 518.68 W, 2805 MHz, 47, 100 %, 19060 MiB
2026/08/04 19:41:43.013, 519.68 W, 2805 MHz, 47, 100 %, 19444 MiB
2026/08/04 19:41:44.013, 511.09 W, 2805 MHz, 48, 100 %, 19444 MiB
2026/08/04 19:41:45.013, 518.07 W, 2812 MHz, 48, 100 %, 19444 MiB
2026/08/04 19:41:46.013, 512.98 W, 2805 MHz, 49, 100 %, 19444 MiB
2026/08/04 19:41:47.013, 521.24 W, 2805 MHz, 49, 100 %, 19444 MiB
2026/08/04 19:41:48.013, 520.25 W, 2805 MHz, 50, 98 %, 19444 MiB
2026/08/04 19:41:49.014, 519.18 W, 2805 MHz, 50, 100 %, 19444 MiB
2026/08/04 19:41:50.014, 523.44 W, 2805 MHz, 51, 100 %, 19444 MiB
2026/08/04 19:41:51.014, 517.01 W, 2805 MHz, 51, 100 %, 19444 MiB
2026/08/04 19:41:52.014, 524.53 W, 2805 MHz, 51, 100 %, 19444 MiB
2026/08/04 19:41:53.014, 516.91 W, 2812 MHz, 52, 100 %, 19444 MiB
2026/08/04 19:41:54.014, 524.67 W, 2805 MHz, 52, 100 %, 19444 MiB
2026/08/04 19:41:55.014, 524.00 W, 2805 MHz, 52, 99 %, 19444 MiB
2026/08/04 19:41:56.014, 519.48 W, 2805 MHz, 53, 100 %, 19444 MiB
2026/08/04 19:41:57.015, 525.36 W, 2812 MHz, 53, 100 %, 19444 MiB
2026/08/04 19:41:58.015, 520.38 W, 2812 MHz, 53, 100 %, 19444 MiB
2026/08/04 19:41:59.015, 526.66 W, 2805 MHz, 54, 100 %, 19444 MiB
2026/08/04 19:42:00.015, 524.67 W, 2805 MHz, 54, 99 %, 19444 MiB
2026/08/04 19:42:01.015, 467.49 W, 2805 MHz, 54, 100 %, 19444 MiB
2026/08/04 19:42:02.015, 529.43 W, 2805 MHz, 54, 100 %, 19444 MiB
2026/08/04 19:42:03.015, 522.18 W, 2812 MHz, 54, 100 %, 19444 MiB
2026/08/04 19:42:04.015, 526.49 W, 2797 MHz, 55, 100 %, 19444 MiB
2026/08/04 19:42:05.015, 526.50 W, 2797 MHz, 55, 99 %, 19444 MiB
2026/08/04 19:42:06.016, 519.45 W, 2797 MHz, 55, 100 %, 19444 MiB
2026/08/04 19:42:07.016, 527.32 W, 2797 MHz, 55, 99 %, 19444 MiB
2026/08/04 19:42:08.016, 522.86 W, 2797 MHz, 56, 100 %, 19444 MiB
2026/08/04 19:42:09.016, 529.11 W, 2797 MHz, 56, 100 %, 19444 MiB
2026/08/04 19:42:10.016, 526.89 W, 2797 MHz, 56, 98 %, 19444 MiB
