shape	tokens	arm	n	median_s	median_tok_s
pp512	461	off	5	1.3765	334.9
pp512	461	grouped	5	0.8975	513.6
pp2048	1833	off	5	4.4985	407.5
pp2048	1833	grouped	5	2.8129	651.6
pp4096	4096	off	5	9.5995	426.7
pp4096	4096	grouped	5	5.9134	692.7
