shape	tokens	arm	rep	seconds	tok_s
pp512	461	off	1	1.3765	334.907
pp512	461	off	2	1.3774	334.689
pp512	461	off	3	1.3757	335.102
pp512	461	off	4	1.3806	333.913
pp512	461	off	5	1.3758	335.078
pp512	461	grouped	1	0.8954	514.854
pp512	461	grouped	2	0.8996	512.450
pp512	461	grouped	3	0.8975	513.649
pp512	461	grouped	4	0.8963	514.337
pp512	461	grouped	5	0.8981	513.306
pp2048	1833	off	1	4.4974	407.569
pp2048	1833	off	2	4.4987	407.451
pp2048	1833	off	3	4.4886	408.368
pp2048	1833	off	4	4.5000	407.333
pp2048	1833	off	5	4.4985	407.469
pp2048	1833	grouped	1	2.8110	652.081
pp2048	1833	grouped	2	2.8406	645.286
pp2048	1833	grouped	3	2.8102	652.267
pp2048	1833	grouped	4	2.8202	649.954
pp2048	1833	grouped	5	2.8129	651.641
pp4096	4096	off	1	9.6529	424.328
pp4096	4096	off	2	9.5995	426.689
pp4096	4096	off	3	9.6123	426.121
pp4096	4096	off	4	9.5886	427.174
pp4096	4096	off	5	9.5965	426.822
pp4096	4096	grouped	1	5.9134	692.664
pp4096	4096	grouped	2	5.9265	691.133
pp4096	4096	grouped	3	5.9147	692.512
pp4096	4096	grouped	4	5.9092	693.156
pp4096	4096	grouped	5	5.9113	692.910
