DAY52 CHAIN BOOT o1 b01-base kv_med=8.22 (N=19) chain=403.3 first=185.0 arming=[] start=62, 180 MHz, 21.30 W
DAY52 CHAIN BOOT o1 b02-p kv_med=9.62 (N=19) chain=406.7 first=186.7 arming=[] start=67, 2842 MHz, 144.14 W
DAY52 CHAIN BOOT o1 b03-p2 kv_med=8.40 (N=19) chain=403.7 first=185.0 arming=['disarmed@6144/38304'] start=67, 2842 MHz, 190.71 W
DAY52 CHAIN BOOT o1 b04-base kv_med=8.53 (N=19) chain=403.7 first=185.1 arming=[] start=68, 2842 MHz, 231.17 W
DAY52 CHAIN BOOT o1 b05-p kv_med=9.52 (N=19) chain=407.8 first=186.9 arming=[] start=68, 2842 MHz, 252.10 W
DAY52 CHAIN BOOT o1 b06-p2 kv_med=8.72 (N=19) chain=404.5 first=185.7 arming=['disarmed@9217/38304'] start=68, 2842 MHz, 149.65 W
DAY52 CHAIN BOOT o1 b07-base kv_med=8.82 (N=19) chain=404.8 first=187.1 arming=[] start=68, 2842 MHz, 163.40 W
DAY52 CHAIN BOOT o1 b08-p kv_med=9.14 (N=19) chain=405.2 first=185.6 arming=[] start=68, 2842 MHz, 239.13 W
DAY52 CHAIN BOOT o1 b09-p2 kv_med=8.54 (N=19) chain=403.9 first=185.3 arming=['disarmed@6912/38304'] start=68, 2842 MHz, 288.31 W
DAY52 CHAIN BOOT o1 b10-base kv_med=8.62 (N=19) chain=403.9 first=185.5 arming=[] start=68, 2842 MHz, 123.40 W
DAY52 CHAIN BOOT o1 b11-p kv_med=9.21 (N=19) chain=405.1 first=185.9 arming=[] start=68, 2842 MHz, 169.97 W
DAY52 CHAIN BOOT o1 b12-p2 kv_med=8.63 (N=19) chain=404.4 first=185.3 arming=['disarmed@6912/38304'] start=68, 2842 MHz, 222.15 W
DAY52 CHAIN BOOT o1 b13-base kv_med=8.64 (N=19) chain=403.8 first=185.0 arming=[] start=68, 2842 MHz, 295.68 W
DAY52 CHAIN BOOT o1 b14-p kv_med=9.01 (N=19) chain=404.8 first=185.0 arming=[] start=68, 2842 MHz, 297.03 W
DAY52 CHAIN BOOT o1 b15-p2 kv_med=8.56 (N=19) chain=404.3 first=185.3 arming=['disarmed@6912/38304'] start=68, 2842 MHz, 132.36 W
DAY52 CHAIN BOOT o2 b16-p2 kv_med=8.58 (N=19) chain=405.8 first=185.5 arming=['disarmed@9217/38304'] start=68, 2842 MHz, 177.42 W
DAY52 CHAIN BOOT o2 b17-p kv_med=8.97 (N=19) chain=405.3 first=185.3 arming=[] start=68, 2842 MHz, 227.67 W
DAY52 CHAIN BOOT o2 b18-base kv_med=8.51 (N=19) chain=404.1 first=185.3 arming=[] start=68, 2842 MHz, 276.74 W
DAY52 CHAIN BOOT o2 b19-p2 kv_med=9.45 (N=19) chain=406.7 first=187.0 arming=['disarmed@7680/38304'] start=68, 2842 MHz, 160.90 W
DAY52 CHAIN BOOT o2 b20-p kv_med=9.03 (N=19) chain=405.2 first=185.8 arming=[] start=68, 2842 MHz, 169.20 W
DAY52 CHAIN BOOT o2 b21-base kv_med=8.61 (N=19) chain=404.0 first=185.1 arming=[] start=68, 2842 MHz, 249.85 W
DAY52 CHAIN BOOT o2 b22-p2 kv_med=8.64 (N=19) chain=404.3 first=185.6 arming=['disarmed@6912/38304'] start=68, 2842 MHz, 292.17 W
DAY52 CHAIN BOOT o2 b23-p kv_med=9.62 (N=19) chain=405.4 first=185.7 arming=[] start=68, 2842 MHz, 160.73 W
DAY52 CHAIN BOOT o2 b24-base kv_med=8.59 (N=19) chain=403.6 first=185.5 arming=[] start=68, 2842 MHz, 175.05 W
DAY52 CHAIN BOOT o2 b25-p2 kv_med=8.56 (N=19) chain=404.3 first=185.4 arming=['disarmed@6144/38304'] start=68, 2842 MHz, 220.44 W
DAY52 CHAIN BOOT o2 b26-p kv_med=9.25 (N=19) chain=405.6 first=186.1 arming=[] start=68, 2842 MHz, 295.33 W
DAY52 CHAIN BOOT o2 b27-base kv_med=8.59 (N=19) chain=403.8 first=185.3 arming=[] start=68, 2842 MHz, 135.62 W
DAY52 CHAIN BOOT o2 b28-p2 kv_med=9.52 (N=19) chain=407.3 first=186.9 arming=['disarmed@7680/38304'] start=68, 2842 MHz, 145.19 W
DAY52 CHAIN BOOT o2 b29-p kv_med=9.18 (N=19) chain=405.3 first=185.5 arming=[] start=68, 2842 MHz, 202.01 W
DAY52 CHAIN BOOT o2 b30-base kv_med=8.73 (N=19) chain=404.2 first=185.6 arming=[] start=68, 2842 MHz, 280.78 W
