rewrite	surface	implementation	plan_sha256	eligible	blockers	operations	receipt
carried-prime.v1	carried-prime	carried-prime-batch	edb0c33443b9dae0e611d47b74d2ffdbd2713e2671efe1fbd230570050ba88f0	false	MoeMlp,SigmoidRouter,SharedMlp	Embedding,RmsNorm,FullAttention,KvState,DenseMlp,SiluActivation,SerialResidual,MoeMlp,SigmoidRouter,SharedMlp,OutputProjection	pending
decode-eager.v1	decode-eager	native-eager	edb0c33443b9dae0e611d47b74d2ffdbd2713e2671efe1fbd230570050ba88f0	false	MoeMlp,SigmoidRouter,SharedMlp	Embedding,RmsNorm,FullAttention,KvState,DenseMlp,SiluActivation,SerialResidual,MoeMlp,SigmoidRouter,SharedMlp,OutputProjection	pending
decode-batch.v1	decode-batch	decode-batch	edb0c33443b9dae0e611d47b74d2ffdbd2713e2671efe1fbd230570050ba88f0	true		Embedding,RmsNorm,FullAttention,KvState,DenseMlp,SiluActivation,SerialResidual,MoeMlp,SigmoidRouter,SharedMlp,OutputProjection	pending
decode-graph.v1	decode-graph	decode-cuda-graph	edb0c33443b9dae0e611d47b74d2ffdbd2713e2671efe1fbd230570050ba88f0	true		Embedding,RmsNorm,FullAttention,KvState,DenseMlp,SiluActivation,SerialResidual,MoeMlp,SigmoidRouter,SharedMlp,OutputProjection	pending
mtp-spec.v1	mtp-spec	mtp-spec	edb0c33443b9dae0e611d47b74d2ffdbd2713e2671efe1fbd230570050ba88f0	true		Embedding,Mtp,MtpFusion,RmsNorm,FullAttention,KvState,MoeMlp,SigmoidRouter,SharedMlp,SiluActivation,SerialResidual,MtpHead,OutputProjection,DenseMlp	pending
pipeline.v1	pipeline	pipeline-state-transport	edb0c33443b9dae0e611d47b74d2ffdbd2713e2671efe1fbd230570050ba88f0	true		Embedding,RmsNorm,FullAttention,KvState,DenseMlp,SiluActivation,SerialResidual,MoeMlp,SigmoidRouter,SharedMlp,OutputProjection	pending
