timestamp, power.draw [W], clocks.current.sm [MHz], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/08/04 18:38:50.675, 9.45 W, 180 MHz, 29, 0 %, 2 MiB
2026/08/04 18:38:51.691, 44.35 W, 2617 MHz, 30, 6 %, 2324 MiB
2026/08/04 18:38:52.691, 82.51 W, 2625 MHz, 30, 6 %, 5268 MiB
2026/08/04 18:38:53.691, 82.60 W, 2625 MHz, 30, 6 %, 8244 MiB
2026/08/04 18:38:54.691, 82.57 W, 2625 MHz, 31, 6 %, 11252 MiB
2026/08/04 18:38:55.691, 82.47 W, 2625 MHz, 30, 5 %, 14228 MiB
2026/08/04 18:38:56.691, 283.34 W, 2842 MHz, 39, 99 %, 15668 MiB
2026/08/04 18:38:57.691, 438.55 W, 2850 MHz, 40, 100 %, 15668 MiB
2026/08/04 18:38:58.691, 458.48 W, 2850 MHz, 41, 100 %, 15668 MiB
2026/08/04 18:38:59.691, 460.77 W, 2850 MHz, 41, 99 %, 15668 MiB
2026/08/04 18:39:00.692, 461.07 W, 2850 MHz, 42, 100 %, 15668 MiB
2026/08/04 18:39:01.692, 461.97 W, 2850 MHz, 42, 99 %, 15668 MiB
2026/08/04 18:39:02.692, 527.65 W, 2715 MHz, 50, 100 %, 16372 MiB
2026/08/04 18:39:03.692, 477.44 W, 2842 MHz, 44, 100 %, 16372 MiB
2026/08/04 18:39:04.692, 296.47 W, 2880 MHz, 36, 0 %, 16372 MiB
2026/08/04 18:39:05.692, 111.00 W, 2880 MHz, 35, 0 %, 1908 MiB
2026/08/04 18:39:06.693, 92.83 W, 2625 MHz, 35, 16 %, 9524 MiB
2026/08/04 18:39:07.693, 89.24 W, 2632 MHz, 34, 20 %, 18932 MiB
2026/08/04 18:39:08.693, 88.31 W, 2625 MHz, 34, 1 %, 27860 MiB
2026/08/04 18:39:09.693, 356.78 W, 2857 MHz, 41, 100 %, 28180 MiB
2026/08/04 18:39:10.693, 447.84 W, 2857 MHz, 42, 100 %, 28180 MiB
2026/08/04 18:39:11.693, 460.79 W, 2865 MHz, 43, 100 %, 28180 MiB
2026/08/04 18:39:12.694, 469.49 W, 2865 MHz, 44, 100 %, 28180 MiB
2026/08/04 18:39:13.695, 469.05 W, 2865 MHz, 44, 100 %, 28180 MiB
2026/08/04 18:39:14.695, 470.83 W, 2865 MHz, 44, 100 %, 28180 MiB
2026/08/04 18:39:15.695, 470.67 W, 2850 MHz, 45, 100 %, 28180 MiB
2026/08/04 18:39:16.695, 471.44 W, 2850 MHz, 45, 100 %, 28180 MiB
2026/08/04 18:39:17.696, 472.05 W, 2850 MHz, 46, 100 %, 28180 MiB
2026/08/04 18:39:18.696, 472.14 W, 2850 MHz, 46, 100 %, 28180 MiB
2026/08/04 18:39:19.696, 530.31 W, 2812 MHz, 47, 100 %, 28884 MiB
2026/08/04 18:39:20.696, 474.84 W, 2850 MHz, 47, 100 %, 28884 MiB
2026/08/04 18:39:21.696, 474.65 W, 2850 MHz, 47, 100 %, 28884 MiB
2026/08/04 18:39:22.697, 121.70 W, 2880 MHz, 40, 0 %, 28884 MiB
2026/08/04 18:39:23.697, 111.12 W, 2872 MHz, 39, 6 %, 1972 MiB
2026/08/04 18:39:24.697, 86.31 W, 2625 MHz, 38, 6 %, 4980 MiB
2026/08/04 18:39:25.697, 86.44 W, 2617 MHz, 38, 6 %, 8052 MiB
2026/08/04 18:39:26.697, 86.34 W, 2625 MHz, 38, 6 %, 11092 MiB
2026/08/04 18:39:27.697, 85.75 W, 2625 MHz, 37, 7 %, 14164 MiB
2026/08/04 18:39:28.698, 278.56 W, 2827 MHz, 45, 100 %, 15668 MiB
2026/08/04 18:39:29.698, 443.28 W, 2842 MHz, 46, 99 %, 15668 MiB
2026/08/04 18:39:30.698, 466.23 W, 2842 MHz, 47, 100 %, 15668 MiB
2026/08/04 18:39:31.698, 466.41 W, 2842 MHz, 48, 100 %, 15668 MiB
2026/08/04 18:39:32.699, 467.40 W, 2842 MHz, 48, 100 %, 15668 MiB
2026/08/04 18:39:33.699, 468.90 W, 2842 MHz, 48, 99 %, 15668 MiB
2026/08/04 18:39:34.699, 528.60 W, 2707 MHz, 55, 100 %, 16372 MiB
2026/08/04 18:39:35.699, 475.90 W, 2842 MHz, 49, 100 %, 16372 MiB
2026/08/04 18:39:36.699, 310.65 W, 2872 MHz, 42, 0 %, 16372 MiB
2026/08/04 18:39:37.699, 112.36 W, 2880 MHz, 41, 0 %, 596 MiB
2026/08/04 18:39:38.700, 98.08 W, 2625 MHz, 40, 17 %, 9236 MiB
2026/08/04 18:39:39.700, 89.99 W, 2632 MHz, 40, 19 %, 18548 MiB
2026/08/04 18:39:40.700, 89.61 W, 2625 MHz, 39, 3 %, 27860 MiB
2026/08/04 18:39:41.700, 340.55 W, 2850 MHz, 46, 100 %, 28180 MiB
2026/08/04 18:39:42.700, 453.54 W, 2842 MHz, 47, 100 %, 28180 MiB
2026/08/04 18:39:43.701, 464.45 W, 2850 MHz, 48, 100 %, 28180 MiB
2026/08/04 18:39:44.701, 474.58 W, 2850 MHz, 48, 100 %, 28180 MiB
2026/08/04 18:39:45.701, 474.88 W, 2850 MHz, 49, 100 %, 28180 MiB
2026/08/04 18:39:46.701, 475.41 W, 2850 MHz, 49, 100 %, 28180 MiB
2026/08/04 18:39:47.701, 474.80 W, 2850 MHz, 49, 100 %, 28180 MiB
2026/08/04 18:39:48.701, 474.42 W, 2850 MHz, 49, 100 %, 28180 MiB
2026/08/04 18:39:49.702, 477.43 W, 2850 MHz, 50, 100 %, 28180 MiB
2026/08/04 18:39:50.702, 476.91 W, 2850 MHz, 50, 99 %, 28180 MiB
2026/08/04 18:39:51.702, 539.06 W, 2730 MHz, 51, 100 %, 28884 MiB
2026/08/04 18:39:52.702, 479.29 W, 2850 MHz, 51, 100 %, 28884 MiB
2026/08/04 18:39:53.702, 479.55 W, 2857 MHz, 51, 100 %, 28884 MiB
2026/08/04 18:39:54.702, 146.64 W, 2865 MHz, 44, 0 %, 28884 MiB
2026/08/04 18:39:55.702, 116.61 W, 2880 MHz, 43, 16 %, 1652 MiB
2026/08/04 18:39:56.703, 88.12 W, 2625 MHz, 42, 6 %, 4628 MiB
2026/08/04 18:39:57.703, 87.78 W, 2625 MHz, 42, 6 %, 7636 MiB
2026/08/04 18:39:58.703, 87.19 W, 2625 MHz, 41, 6 %, 10708 MiB
2026/08/04 18:39:59.703, 87.09 W, 2617 MHz, 41, 5 %, 13652 MiB
2026/08/04 18:40:00.703, 234.95 W, 2707 MHz, 48, 99 %, 15668 MiB
2026/08/04 18:40:01.704, 446.46 W, 2835 MHz, 49, 99 %, 15668 MiB
2026/08/04 18:40:02.704, 468.99 W, 2842 MHz, 50, 100 %, 15668 MiB
2026/08/04 18:40:03.704, 471.35 W, 2842 MHz, 51, 100 %, 15668 MiB
2026/08/04 18:40:04.704, 471.95 W, 2842 MHz, 51, 100 %, 15668 MiB
2026/08/04 18:40:05.704, 472.78 W, 2842 MHz, 51, 100 %, 15668 MiB
2026/08/04 18:40:06.704, 510.60 W, 2797 MHz, 58, 100 %, 16372 MiB
2026/08/04 18:40:07.704, 503.49 W, 2850 MHz, 52, 100 %, 16372 MiB
2026/08/04 18:40:08.704, 374.45 W, 2857 MHz, 45, 0 %, 16372 MiB
2026/08/04 18:40:09.705, 115.67 W, 2865 MHz, 44, 0 %, 596 MiB
2026/08/04 18:40:10.705, 103.67 W, 2670 MHz, 43, 23 %, 10004 MiB
2026/08/04 18:40:11.705, 92.51 W, 2625 MHz, 42, 17 %, 20724 MiB
2026/08/04 18:40:12.705, 90.82 W, 2625 MHz, 42, 11 %, 28148 MiB
2026/08/04 18:40:13.706, 463.70 W, 2850 MHz, 49, 100 %, 28180 MiB
2026/08/04 18:40:14.706, 454.96 W, 2842 MHz, 50, 100 %, 28180 MiB
2026/08/04 18:40:15.706, 475.91 W, 2850 MHz, 50, 100 %, 28180 MiB
2026/08/04 18:40:16.706, 477.74 W, 2850 MHz, 51, 100 %, 28180 MiB
2026/08/04 18:40:17.706, 478.22 W, 2850 MHz, 51, 100 %, 28180 MiB
2026/08/04 18:40:18.706, 478.46 W, 2850 MHz, 51, 100 %, 28180 MiB
2026/08/04 18:40:19.707, 478.39 W, 2850 MHz, 52, 100 %, 28180 MiB
2026/08/04 18:40:20.707, 479.23 W, 2850 MHz, 52, 100 %, 28180 MiB
2026/08/04 18:40:21.707, 479.66 W, 2850 MHz, 52, 100 %, 28180 MiB
2026/08/04 18:40:22.707, 486.01 W, 2850 MHz, 56, 98 %, 28884 MiB
2026/08/04 18:40:23.707, 536.03 W, 2850 MHz, 53, 100 %, 28884 MiB
2026/08/04 18:40:24.707, 482.22 W, 2850 MHz, 53, 100 %, 28884 MiB
2026/08/04 18:40:25.708, 425.10 W, 2857 MHz, 48, 0 %, 28884 MiB
2026/08/04 18:40:26.708, 118.49 W, 2865 MHz, 46, 1 %, 596 MiB
2026/08/04 18:40:27.708, 104.60 W, 2662 MHz, 44, 6 %, 3636 MiB
2026/08/04 18:40:28.708, 90.24 W, 2625 MHz, 44, 6 %, 6676 MiB
2026/08/04 18:40:29.709, 89.74 W, 2625 MHz, 43, 6 %, 9684 MiB
2026/08/04 18:40:30.709, 89.01 W, 2625 MHz, 43, 6 %, 12756 MiB
2026/08/04 18:40:31.709, 109.43 W, 2617 MHz, 50, 51 %, 15668 MiB
2026/08/04 18:40:32.709, 468.46 W, 2835 MHz, 51, 100 %, 15668 MiB
2026/08/04 18:40:33.709, 461.77 W, 2842 MHz, 52, 100 %, 15668 MiB
2026/08/04 18:40:34.710, 474.38 W, 2842 MHz, 52, 99 %, 15668 MiB
2026/08/04 18:40:35.710, 475.37 W, 2842 MHz, 53, 100 %, 15668 MiB
2026/08/04 18:40:36.710, 475.46 W, 2842 MHz, 53, 100 %, 15668 MiB
2026/08/04 18:40:37.710, 476.64 W, 2842 MHz, 53, 100 %, 16372 MiB
2026/08/04 18:40:38.710, 544.24 W, 2835 MHz, 54, 100 %, 16372 MiB
2026/08/04 18:40:39.711, 477.39 W, 2835 MHz, 54, 90 %, 16372 MiB
2026/08/04 18:40:40.711, 114.49 W, 2865 MHz, 46, 0 %, 34 MiB
2026/08/04 18:40:41.711, 108.15 W, 2857 MHz, 45, 18 %, 5268 MiB
2026/08/04 18:40:42.711, 91.63 W, 2625 MHz, 44, 18 %, 13780 MiB
2026/08/04 18:40:43.711, 91.99 W, 2632 MHz, 43, 19 %, 23572 MiB
2026/08/04 18:40:44.712, 178.66 W, 2617 MHz, 50, 99 %, 28180 MiB
