timestamp, index, temperature.gpu, clocks.current.sm [MHz], power.draw [W], memory.used [MiB]
2026/08/04 05:35:16.741, 0, 75, 2055 MHz, 170.52 W, 9600 MiB
2026/08/04 05:35:17.753, 0, 76, 2070 MHz, 170.66 W, 9600 MiB
2026/08/04 05:35:18.754, 0, 76, 2085 MHz, 170.68 W, 9600 MiB
2026/08/04 05:35:19.754, 0, 76, 2092 MHz, 171.00 W, 9600 MiB
2026/08/04 05:35:20.754, 0, 76, 2085 MHz, 170.98 W, 9600 MiB
2026/08/04 05:35:21.754, 0, 76, 2077 MHz, 170.65 W, 9600 MiB
2026/08/04 05:35:22.754, 0, 76, 2077 MHz, 170.76 W, 9600 MiB
2026/08/04 05:35:23.754, 0, 76, 2070 MHz, 170.97 W, 9600 MiB
2026/08/04 05:35:24.755, 0, 76, 2077 MHz, 170.66 W, 9600 MiB
2026/08/04 05:35:25.755, 0, 76, 2122 MHz, 170.71 W, 9600 MiB
2026/08/04 05:35:26.755, 0, 76, 2130 MHz, 170.52 W, 9600 MiB
2026/08/04 05:35:27.755, 0, 76, 2122 MHz, 170.55 W, 9600 MiB
2026/08/04 05:35:28.755, 0, 76, 2122 MHz, 170.59 W, 9600 MiB
2026/08/04 05:35:29.755, 0, 76, 2122 MHz, 170.53 W, 9600 MiB
2026/08/04 05:35:30.756, 0, 77, 2122 MHz, 170.56 W, 9600 MiB
2026/08/04 05:35:31.757, 0, 77, 2122 MHz, 170.53 W, 9600 MiB
2026/08/04 05:35:32.758, 0, 77, 2122 MHz, 170.52 W, 9600 MiB
2026/08/04 05:35:33.759, 0, 76, 2077 MHz, 170.40 W, 9600 MiB
2026/08/04 05:35:34.761, 0, 77, 2092 MHz, 170.49 W, 9600 MiB
2026/08/04 05:35:35.762, 0, 77, 2085 MHz, 170.45 W, 9600 MiB
2026/08/04 05:35:36.764, 0, 77, 2100 MHz, 170.68 W, 9600 MiB
2026/08/04 05:35:37.766, 0, 77, 2092 MHz, 170.79 W, 9600 MiB
