timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/19 14:11:38.858, 0, P8, 195 MHz, 405 MHz, 15.54 W, 23, 2 MiB, 0 %, 1, 16
2026/09/19 14:11:39.119, 0, P8, 195 MHz, 405 MHz, 15.54 W, 23, 2 MiB, 0 %, 1, 16
2026/09/19 14:11:39.369, 0, P8, 195 MHz, 405 MHz, 15.54 W, 23, 2 MiB, 0 %, 1, 16
2026/09/19 14:11:39.620, 0, P8, 195 MHz, 405 MHz, 15.54 W, 23, 2 MiB, 0 %, 1, 16
2026/09/19 14:11:39.870, 0, P8, 195 MHz, 405 MHz, 15.46 W, 23, 2 MiB, 0 %, 1, 16
2026/09/19 14:11:40.120, 0, P8, 195 MHz, 405 MHz, 15.46 W, 23, 2 MiB, 0 %, 1, 16
2026/09/19 14:11:40.371, 0, P8, 195 MHz, 405 MHz, 15.46 W, 23, 2 MiB, 0 %, 1, 16
2026/09/19 14:11:40.621, 0, P8, 195 MHz, 405 MHz, 15.46 W, 23, 2 MiB, 0 %, 1, 16
2026/09/19 14:11:40.872, 0, P8, 195 MHz, 405 MHz, 15.26 W, 23, 2 MiB, 0 %, 1, 16
2026/09/19 14:11:41.122, 0, P8, 195 MHz, 405 MHz, 15.26 W, 23, 2 MiB, 0 %, 1, 16
2026/09/19 14:11:41.372, 0, P8, 195 MHz, 405 MHz, 15.26 W, 23, 2 MiB, 0 %, 1, 16
2026/09/19 14:11:41.623, 0, P8, 195 MHz, 405 MHz, 15.26 W, 23, 2 MiB, 0 %, 1, 16
2026/09/19 14:11:41.873, 0, P8, 195 MHz, 405 MHz, 15.56 W, 23, 2 MiB, 0 %, 1, 16
2026/09/19 14:11:42.124, 0, P8, 195 MHz, 405 MHz, 15.56 W, 23, 2 MiB, 0 %, 1, 16
2026/09/19 14:11:42.374, 0, P8, 195 MHz, 405 MHz, 15.56 W, 23, 2 MiB, 0 %, 1, 16
2026/09/19 14:11:42.624, 0, P8, 195 MHz, 405 MHz, 15.56 W, 23, 2 MiB, 0 %, 1, 16
2026/09/19 14:11:42.875, 0, P8, 195 MHz, 405 MHz, 15.43 W, 23, 2 MiB, 0 %, 1, 16
2026/09/19 14:11:43.125, 0, P8, 195 MHz, 405 MHz, 15.43 W, 23, 2 MiB, 0 %, 1, 16
2026/09/19 14:11:43.376, 0, P8, 195 MHz, 405 MHz, 15.43 W, 23, 2 MiB, 0 %, 1, 16
2026/09/19 14:11:43.626, 0, P8, 195 MHz, 405 MHz, 15.43 W, 23, 2 MiB, 0 %, 1, 16
2026/09/19 14:11:43.876, 0, P8, 195 MHz, 405 MHz, 15.58 W, 23, 2 MiB, 0 %, 1, 16
2026/09/19 14:11:44.127, 0, P8, 195 MHz, 405 MHz, 15.58 W, 23, 2 MiB, 0 %, 1, 16
2026/09/19 14:11:44.377, 0, P8, 195 MHz, 405 MHz, 15.58 W, 23, 2 MiB, 0 %, 1, 16
