index, name, uuid, power.limit [W], temperature.gpu, clocks.current.sm [MHz], memory.used [MiB]
0, NVIDIA B200, GPU-ebc7056c-159d-4916-2bec-22c92638df4b, 1000.00 W, 39, 1965 MHz, 0 MiB
1, NVIDIA B200, GPU-74ed5ef1-adfc-352c-5f23-ddccc78163e5, 1000.00 W, 39, 1965 MHz, 0 MiB
