epoch_ms,temp_c,power_w,sm_mhz,mem_used_mib,cuda_driver_free_bytes,cuda_pool_used_bytes,cuda_pool_reserved_bytes,cuda_pool_cached_bytes,active_sessions,prefix_cache_bytes,kv_vmm_mapped_bytes,kv_vmm_reserved_bytes,kv_vmm_owed_bytes,kv_vmm_graveyard_bytes,kv_vmm_grows_total,kv_vmm_mapper_grows_total,kv_vmm_grow_waits_total
1790274862951,78,470.91,2805,28884,71687274496,29569828480,29662117888,92289408,16,3216343040,0,0,0,0,0,0,0
1790274863201,78,471.10,2805,28884,71687274496,29569828480,29662117888,92289408,16,3216343040,0,0,0,0,0,0,0
1790274863451,78,471.10,2805,28884,71687274496,29569828480,29662117888,92289408,16,3216343040,0,0,0,0,0,0,0
1790274863701,78,471.38,2805,28884,71687274496,29569828480,29662117888,92289408,16,3216343040,0,0,0,0,0,0,0
1790274863951,78,471.38,2805,28884,71687274496,29569828480,29662117888,92289408,16,3216343040,0,0,0,0,0,0,0
1790274864201,78,471.85,2805,28884,71687274496,29569828480,29662117888,92289408,16,3216343040,0,0,0,0,0,0,0
1790274864451,78,471.85,2805,28884,71687274496,29569828480,29662117888,92289408,16,3216343040,0,0,0,0,0,0,0
1790274864701,78,472.24,2805,28884,71687274496,29569828480,29662117888,92289408,16,3216343040,0,0,0,0,0,0,0
1790274864951,78,472.24,2805,28884,71687274496,29569828480,29662117888,92289408,16,3216343040,0,0,0,0,0,0,0
1790274865201,78,472.40,2805,28884,71687274496,29569828480,29662117888,92289408,16,3216343040,0,0,0,0,0,0,0
1790274865451,78,472.40,2805,29620,71687274496,29569828480,29662117888,92289408,15,3216343040,0,0,0,0,0,0,0
1790274865701,80,496.54,2670,29620,71687274496,29569828480,29662117888,92289408,15,3216343040,0,0,0,0,0,0,0
1790274865951,80,496.54,2670,29716,70915522560,27166119516,30433869824,3267750308,9,3415048192,0,0,0,0,0,0,0
1790274866201,83,496.54,2670,29748,70915522560,27166119516,30433869824,3267750308,9,3415048192,0,0,0,0,0,0,0
1790274866451,83,496.54,2670,29748,70915522560,27166119516,30433869824,3267750308,9,3415048192,0,0,0,0,0,0,0
1790274866701,83,542.65,2662,29748,70915522560,27166119516,30433869824,3267750308,9,3415048192,0,0,0,0,0,0,0
1790274866951,83,542.65,2662,29748,70915522560,27166119516,30433869824,3267750308,9,3415048192,0,0,0,0,0,0,0
1790274867201,84,573.48,2662,29748,70915522560,27166119516,30433869824,3267750308,9,3415048192,0,0,0,0,0,0,0
1790274867451,84,573.48,2662,29748,70915522560,27166119516,30433869824,3267750308,9,3415048192,0,0,0,0,0,0,0
