layer	role	valid_bytes	bundle_sha256
3	Key	35512320	031fc938e007c8feb953a47938e14ffbc2473139461206cd09c5d5e7367c3469
3	Value	25067520	a769be277f25fdde7447239f64d6d67e02e50627b74c58107e50ed7d5cc1801d
7	Key	35512320	3009c3268bc2f749f501c4c3d14ea4e3afc6fb1d13b72f2cd75194a82f99032d
7	Value	25067520	779f3d8db7c2f1055ed4aac248e23183e1b9cbfb60da9157c5b27f640718a714
11	Key	35512320	c57eecae155d7cef8f6eb4d16c53033eb3adf7354fc57410b8bdd4dd57216a6b
11	Value	25067520	aa41dddbb941ab635a27c6a95029bf66c974446ef5e6469cc0986e3ec0aefe13
15	Key	35512320	7219043e5a6e1eefbbdec8568d265cf2e59c672367b4e6f87e039e0082d543b5
15	Value	25067520	b1769105c665e959d837a6dfb60ac15a4eb0030b6ea60f35b59f8335a763a661
19	Key	35512320	e5bdd57c57545e53bdcf6d25424aeac4d9a153d08527847df82b4bfcf9e9c956
19	Value	25067520	6e042c56e4c412dcf597388d5082598a8d316fbb0bd60aecd77d9a374fb4921b
23	Key	35512320	ed1cce4f6533773e8bd33ef091a5ace945738c01527c3bb22473b0f1b32cd072
23	Value	25067520	2aafc30e4d535b84d1b0b45d95f7f0039af0870dc954d92ebfd7627d5e91b2c4
27	Key	35512320	1e9a117f10bdb968325835e9dd9d7044e5206841d738928114cc748b4b8c16b5
27	Value	25067520	803a312551f75da15b31251fa1db8ebd3f89c5f9c9698730dea9a91efbcdf1a8
31	Key	35512320	46c12ad0b910acdd3c70ba842a33162e96d8d3c7fea1ebf149398abde23c390b
31	Value	25067520	0d9778880c5adb22447ff7635d51cbec200ce46c99bd6477bcd85589e6a066b1
35	Key	35512320	90fee9abba16d9a99934326416e3f6f8db64ea12411d9350edbc08e10347f3bb
35	Value	25067520	794f1430eebfbf3b7ab91b96bc387dead8b54e3215338f3c528464c5f8c8193d
39	Key	35512320	7f88d721f5c5f4a1210d0877caa6ffa4d3ca5ab84cc796dde2eec6e99fc2f2d1
39	Value	25067520	80dfd4ee3e9d59c1816378d3e3a7fa1f9d049826431b80abbfee8e4c252223b8
43	Key	35512320	e278b5b2d7926d6f5387041e93f0405391c4fbcc6aef1253c3df5ec3f2da30cd
43	Value	25067520	c3f4c5c8c63ed85360f26ecf35de92c7a4413e2d650530fbd31b8d2a6abbf6a7
47	Key	35512320	cc42a62e9a503361d0e88a0134f32142ace100a5bbea4f44eba92ffe8897194d
47	Value	25067520	507ff47b7c237758d6fc9b3b8a67d5b911c12b5c754a59583a7d5214e58962f9
51	Key	35512320	ba86f705bb783d8c4b9a3e10732f74b2c41f95ad4df4cec4eeddd0e7a65574df
51	Value	25067520	3ef99f089857b98329ec72e78ebcd16e0eb5d54d0560db8258aae3fe9c64d1a3
55	Key	35512320	fc83f95426ffbda95ced6e0f3cf5f755fb59f38689a1cfbf1f80bb1eb758c1b8
55	Value	25067520	474351441c480f665c9d6cc3ba2cb2532f0414c514943cfd2c428771a280e961
59	Key	35512320	c063062ab393ad7a296df5358a9d924dbbc7c535867147930253cbd43b0d524d
59	Value	25067520	0bb11d0db167c680d1121789dd179725f0656bea375a098f099190dfa353e728
63	Key	35512320	77f5bf28722cb845a28dad8968076d2e6520e0fed2dcc5a408d48c1878fab081
63	Value	25067520	4da4726288614db6c8dd9afe243bb6fd189fe85e88e4cc8ac297a44c65fae98e
