# qwen4exp bank byte fingerprints — sha256 over each expert-bank projection's uploaded payload
# arm	layer	projection	kind	bytes	sha256
fused-f32	0	gate	f32	4096	3d406773e2302b609626e9040b40d5ffe7a802d27f99eee3763d4bf176850793
fused-f32	0	up	f32	4096	bc3cacf746b02821c74d140fbf841f345a834a3dc106c6f7c4a35d7fec2888b4
fused-f32	0	down	f32	4096	bb00e36365f8a9590bd3ed0d7582e16c00ebd7004e0f1b2b31f4b5e43a6d7962
fused-f32	1	gate	f32	4096	618c973804027619aa0e320e53a96e5bfdbfc800b9bb7b4326394c0008926298
fused-f32	1	up	f32	4096	0e4e13cef66adf268503e9fb69a1c25178fb25b6fb7a1991ad47e289f258cd30
fused-f32	1	down	f32	4096	a0cfc1983327271fa353198d6533ff35abf27ddcbba1701d0a70a5f0fab04104
fused-f32	2	gate	f32	4096	80749e3a9e5f26e5cf161054e4c892f23bbff18d1e9838615b4c884b633f8607
fused-f32	2	up	f32	4096	914b6c3c8dbde31b9e7d93f65ff22553537487d574ee6d9462a1f8910fda0d68
fused-f32	2	down	f32	4096	71d78fc4e36d617372557a19025f0d8168c5de311bc28d7add337f40ac58cf3d
fused-f32	3	gate	f32	4096	95a76b3f7c2e7dedfda1d1b48172769ebb5c7a2839f1b85e1bbba9a5f1193ae4
fused-f32	3	up	f32	4096	faeed3d898c029effeba0d38c171d21807c6c10c79d4c981ab9bc4569f3a7e2e
fused-f32	3	down	f32	4096	f78d5e8fcf4f4d1068e2be207caff64bab8913ea101ec4da4f64eb2c160e6145
fused-hostbf16	0	gate	bf16	2048	74f63f04f4a21f872e9957c9247bb57eb9413005d10b12b074c89f16a876a1fa
fused-hostbf16	0	up	bf16	2048	8e3c17d2b526df0dba3aa2c6d9de9bab9d5b43de5615d59b448ce0899aa36e16
fused-hostbf16	0	down	bf16	2048	8640a84a340c07c95c4ff233b8a5c5d2dd3a2272d2b8f27009e8b29ab38082f4
fused-hostbf16	1	gate	bf16	2048	1c41e90eae0617fbee958f25857b61e0da607408ff5bf50dd9da933676f37b9d
fused-hostbf16	1	up	bf16	2048	907ba97e79b092a01ee8f3d355c5e9b0d5838711a6734b9ea174e803c3a08930
fused-hostbf16	1	down	bf16	2048	f9638ebbbfc393959d8c9342d87ab80a4bce61e9eaeffc622ae8d08dd6ca2bce
fused-hostbf16	2	gate	bf16	2048	8d95ad12b57b846be4d0c9ecc9e62e5b8ebd856971582b0f373fdddcdbebac35
fused-hostbf16	2	up	bf16	2048	d17d559224f3df2e8aa07e32a8a8a26396799151f006bfcbd515b98727c1d340
fused-hostbf16	2	down	bf16	2048	84138bb829710c87946392c4058e477a317aae453e935b48ce4cc050611e48fc
fused-hostbf16	3	gate	bf16	2048	507f6773043943da3674500787f5ec98dd37db6d7263855fbc71d4c76b4813b2
fused-hostbf16	3	up	bf16	2048	9fa58af5197175591a78ef5b7e88ff2cc6dd1aeee17385cbbf3623f959e9f4db
fused-hostbf16	3	down	bf16	2048	879b41fbe7dd415ce7f1345ada7834d3d11fda9a541908ab631761767277cc4c
fused-mtp-devbf16	0	gate	f32	4096	3d406773e2302b609626e9040b40d5ffe7a802d27f99eee3763d4bf176850793
fused-mtp-devbf16	0	up	f32	4096	bc3cacf746b02821c74d140fbf841f345a834a3dc106c6f7c4a35d7fec2888b4
fused-mtp-devbf16	0	down	f32	4096	bb00e36365f8a9590bd3ed0d7582e16c00ebd7004e0f1b2b31f4b5e43a6d7962
fused-mtp-devbf16	1	gate	f32	4096	618c973804027619aa0e320e53a96e5bfdbfc800b9bb7b4326394c0008926298
fused-mtp-devbf16	1	up	f32	4096	0e4e13cef66adf268503e9fb69a1c25178fb25b6fb7a1991ad47e289f258cd30
fused-mtp-devbf16	1	down	f32	4096	a0cfc1983327271fa353198d6533ff35abf27ddcbba1701d0a70a5f0fab04104
fused-mtp-devbf16	2	gate	f32	4096	80749e3a9e5f26e5cf161054e4c892f23bbff18d1e9838615b4c884b633f8607
fused-mtp-devbf16	2	up	f32	4096	914b6c3c8dbde31b9e7d93f65ff22553537487d574ee6d9462a1f8910fda0d68
fused-mtp-devbf16	2	down	f32	4096	71d78fc4e36d617372557a19025f0d8168c5de311bc28d7add337f40ac58cf3d
fused-mtp-devbf16	3	gate	f32	4096	95a76b3f7c2e7dedfda1d1b48172769ebb5c7a2839f1b85e1bbba9a5f1193ae4
fused-mtp-devbf16	3	up	f32	4096	faeed3d898c029effeba0d38c171d21807c6c10c79d4c981ab9bc4569f3a7e2e
fused-mtp-devbf16	3	down	f32	4096	f78d5e8fcf4f4d1068e2be207caff64bab8913ea101ec4da4f64eb2c160e6145
fused-mtp-devbf16	4	gate	bf16	2048	c74b93c9f6093b8227249faed36dece6e7b7f0f2df6836473a2ff6ccac9bc870
fused-mtp-devbf16	4	up	bf16	2048	9bca7c763eb25d26e1d83ee6aaea321e2e3a12f75483fd6ddccaf49a88afe078
fused-mtp-devbf16	4	down	bf16	2048	e91036bf0b7cbf9589da9abdb920af9b442efa13224ffe8633d090765ec0b291
nvfp4-stacked	0	gate	nvfp4	608	b937607cfca81ebb32ca818cea6b0e9e9dbf458bdfbed13432d992c13b706c4f
nvfp4-stacked	0	up	nvfp4	608	47f703d6bf03788ccb225972f81bd0ae7b5f376a7d1b3a5c1b21cef1c7d557ab
nvfp4-stacked	0	down	f32	4096	bb00e36365f8a9590bd3ed0d7582e16c00ebd7004e0f1b2b31f4b5e43a6d7962
nvfp4-stacked	1	gate	nvfp4	608	9c662be2a95f7f1db79e6936071135c21dff2f554066ae30fbde6d98bc3684dc
nvfp4-stacked	1	up	nvfp4	608	ac081ed3af364ad43d84d2d85810edffa051ae7ad99248f6c8c04ae3abdc58c0
nvfp4-stacked	1	down	f32	4096	a0cfc1983327271fa353198d6533ff35abf27ddcbba1701d0a70a5f0fab04104
nvfp4-stacked	2	gate	nvfp4	608	980ffe506bca325532e716a1a94a18dfcd423db5f0dd24e5b5debd05ac6ec228
nvfp4-stacked	2	up	nvfp4	608	a9a2f1c33cf1d88ea14f9ae078504bcbbfecb3556897cd5899d7666fc47c752d
nvfp4-stacked	2	down	f32	4096	71d78fc4e36d617372557a19025f0d8168c5de311bc28d7add337f40ac58cf3d
nvfp4-stacked	3	gate	nvfp4	608	9d4f1f04d3e3f28f24a0b40ae6ab21943060ed6a930b28530ef09aa219ab2f2a
nvfp4-stacked	3	up	nvfp4	608	b299d2163cd447eebb44ffc0c09b9fdc8de8f05aa78b80dbd497717bdf397537
nvfp4-stacked	3	down	f32	4096	f78d5e8fcf4f4d1068e2be207caff64bab8913ea101ec4da4f64eb2c160e6145
nvfp4-perexpert-e12	0	gate	nvfp4	912	7d49cf2b39fe94baa916b559c7477937b1ccc6a1e8ce90f7eaa7a62660072e52
nvfp4-perexpert-e12	0	up	nvfp4	912	7aca01985ef1b8edfaf7a067417c171b0921941a2056faa208b8be2274edad1a
nvfp4-perexpert-e12	0	down	f32	6144	df284479eaaa0d99039b23ff6db0de84398427f418be10e0463d4ba22cb20d1c
nvfp4-perexpert-e12	1	gate	nvfp4	912	0c52214a676e234fa17005f0d09c9beda49f28e9678b5e8acee355c885ac02da
