timestamp, index, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], clocks_event_reasons.active
2026/09/05 02:43:29.323, 0, 34.77 W, 500.00 W, 172 MHz, 405 MHz, 27, 0 %, 0 %, 0x0000000000000000
2026/09/05 02:43:29.331, 1, 37.38 W, 500.00 W, 172 MHz, 405 MHz, 29, 0 %, 0 %, 0x0000000000000000
2026/09/05 02:43:29.588, 0, 35.26 W, 500.00 W, 180 MHz, 405 MHz, 27, 0 %, 0 %, 0x0000000000000000
2026/09/05 02:43:29.589, 1, 38.07 W, 500.00 W, 180 MHz, 405 MHz, 29, 0 %, 0 %, 0x0000000000000000
2026/09/05 02:43:29.839, 0, 47.79 W, 500.00 W, 2025 MHz, 12481 MHz, 28, 1 %, 0 %, 0x0000000000000000
2026/09/05 02:43:29.840, 1, 37.97 W, 500.00 W, 180 MHz, 405 MHz, 29, 0 %, 0 %, 0x0000000000000000
2026/09/05 02:43:30.091, 0, 55.22 W, 500.00 W, 2025 MHz, 12481 MHz, 29, 10 %, 0 %, 0x0000000000000000
2026/09/05 02:43:30.091, 1, 37.93 W, 500.00 W, 180 MHz, 405 MHz, 29, 0 %, 0 %, 0x0000000000000000
2026/09/05 02:43:30.342, 0, 72.54 W, 500.00 W, 2355 MHz, 12481 MHz, 31, 0 %, 0 %, 0x0000000000000000
2026/09/05 02:43:30.342, 1, 37.88 W, 500.00 W, 180 MHz, 405 MHz, 29, 0 %, 0 %, 0x0000000000000000
2026/09/05 02:43:30.593, 0, 74.68 W, 500.00 W, 2355 MHz, 12481 MHz, 29, 39 %, 0 %, 0x0000000000000000
2026/09/05 02:43:30.593, 1, 37.62 W, 500.00 W, 180 MHz, 405 MHz, 29, 0 %, 0 %, 0x0000000000000000
2026/09/05 02:43:30.844, 0, 112.68 W, 500.00 W, 2362 MHz, 12481 MHz, 29, 0 %, 0 %, 0x0000000000000000
2026/09/05 02:43:30.844, 1, 37.62 W, 500.00 W, 180 MHz, 405 MHz, 29, 0 %, 0 %, 0x0000000000000000
2026/09/05 02:43:31.095, 0, 150.40 W, 500.00 W, 2362 MHz, 12481 MHz, 31, 59 %, 0 %, 0x0000000000000000
2026/09/05 02:43:31.095, 1, 37.62 W, 500.00 W, 180 MHz, 405 MHz, 29, 0 %, 0 %, 0x0000000000000000
2026/09/05 02:43:31.346, 0, 146.76 W, 500.00 W, 2362 MHz, 12481 MHz, 29, 0 %, 0 %, 0x0000000000000000
2026/09/05 02:43:31.347, 1, 37.62 W, 500.00 W, 180 MHz, 405 MHz, 29, 0 %, 0 %, 0x0000000000000000
2026/09/05 02:43:31.597, 0, 126.69 W, 500.00 W, 2362 MHz, 12481 MHz, 29, 0 %, 0 %, 0x0000000000000000
2026/09/05 02:43:31.597, 1, 48.62 W, 500.00 W, 277 MHz, 12481 MHz, 30, 3 %, 0 %, 0x0000000000000000
2026/09/05 02:43:31.848, 0, 129.30 W, 500.00 W, 2362 MHz, 12481 MHz, 29, 0 %, 0 %, 0x0000000000000000
2026/09/05 02:43:31.848, 1, 55.10 W, 500.00 W, 2370 MHz, 12481 MHz, 30, 1 %, 0 %, 0x0000000000000000
2026/09/05 02:43:32.098, 0, 104.45 W, 500.00 W, 2362 MHz, 12481 MHz, 29, 0 %, 0 %, 0x0000000000000000
2026/09/05 02:43:32.099, 1, 69.77 W, 500.00 W, 2370 MHz, 12481 MHz, 35, 0 %, 0 %, 0x0000000000000000
2026/09/05 02:43:32.349, 0, 90.93 W, 500.00 W, 2362 MHz, 12481 MHz, 29, 0 %, 0 %, 0x0000000000000000
2026/09/05 02:43:32.349, 1, 77.90 W, 500.00 W, 2362 MHz, 12481 MHz, 31, 66 %, 0 %, 0x0000000000000000
2026/09/05 02:43:32.600, 0, 90.93 W, 500.00 W, 2362 MHz, 12481 MHz, 29, 0 %, 0 %, 0x0000000000000000
2026/09/05 02:43:32.600, 1, 114.21 W, 500.00 W, 2370 MHz, 12481 MHz, 31, 0 %, 0 %, 0x0000000000000000
