timestamp, temperature.gpu, clocks.current.sm [MHz], power.draw [W], memory.used [MiB]
2026/09/09 11:49:11.517, 54, 2947 MHz, 104.53 W, 2 MiB
2026/09/09 11:49:11.799, 54, 2947 MHz, 104.53 W, 508 MiB
2026/09/09 11:49:12.049, 52, 1582 MHz, 70.92 W, 652 MiB
2026/09/09 11:49:12.299, 52, 1582 MHz, 70.92 W, 652 MiB
2026/09/09 11:49:12.549, 56, 2722 MHz, 128.64 W, 652 MiB
2026/09/09 11:49:12.799, 56, 2722 MHz, 128.64 W, 510 MiB
2026/09/09 11:49:13.050, 56, 2812 MHz, 293.84 W, 666 MiB
2026/09/09 11:49:13.300, 56, 2812 MHz, 293.84 W, 510 MiB
2026/09/09 11:49:13.550, 56, 2797 MHz, 300.49 W, 666 MiB
