retrieved_utc	role	repository	revision	file	range_bytes	prefix_sha256
2026-08-12T22:08:39Z	official_qwen3next	Qwen/Qwen3-Next-80B-A3B-Instruct-GGUF	4c8630cf7af926a9c5095cb4bbbbc65d36e20f77	Qwen3-Next-80B-A3B-Instruct-Q4_K_M.gguf	0-33554431	099533daf8ac552fac07e33807f9d14e387ee8bfb166eb57cb359f6184d6f995
2026-08-12T22:08:39Z	dense_control	unsloth/Qwen3.5-27B-GGUF	3221f178a6b842d04f1fb42f1c413534adcc0a6a	Qwen3.5-27B-Q4_K_M.gguf	0-33554431	1d2dff2006ace4c4ca9bfefebe0cb1bba3566a7c983279713959d2c78fe47687
