RETRIEVED_UTC	2026-08-12T22:08:39.570638+00:00
API	https://huggingface.co/api/models?search=qwen3next&filter=gguf&limit=100&expand[]=gguf&expand[]=sha&expand[]=siblings&expand[]=lastModified
HF_QWEN3NEXT_REPOS	74
repo	revision	file	architecture	expert_count	status
2etatg/Qwen3-Next-80B-A3B-Thinking-GRPO-Uncensored-gguf	873f4f23f252f7d91c6c928f56a39e4930045c4b	Qwen3-Next-80B-A3B-Thinking-GRPO-Uncensored-Q2_K.gguf	qwen3next	512	ok
John1604/Qwen3-Next-80B-A3B-Instruct-gguf	8a22ac1c9ccb4491d7c334117cbeecd21e42845e	Qwen3-Next-80B-A3B-Instruct-bf16.gguf	qwen3next	512	ok
John1604/Qwen3-Next-80B-A3B-Thinking-gguf	d7e6b9395529f96ab247e1180826b959bb54a9ba	Qwen3-Next-80B-A3B-Thinking-q2_k.gguf	qwen3next	512	ok
Qwen/Qwen3-Next-80B-A3B-Instruct-GGUF	4c8630cf7af926a9c5095cb4bbbbc65d36e20f77	Qwen3-Next-80B-A3B-Instruct-00001-of-00004.gguf	qwen3next	512	ok
Qwen/Qwen3-Next-80B-A3B-Thinking-GGUF	de5795cd9a4f5538d1dd5c9823fdd73eacfae3fe	Qwen3-Next-80B-A3B-Thinking-00001-of-00004.gguf	qwen3next	512	ok
Schackay3/Qwen3-Next-80B-A3B-Instruct-ternary-GGUF	8f257af77755165a3197c2c6bfe30487e7173826	qwen3-next-80b-a3b-instruct-ternary-Q2_K.gguf	qwen3next	512	ok
Userb1az/Qwen3-Next-80B-A3B-Instruct-GGUF	393dc3486121a8e5cba2db9d892edb880aab3b0f	F16/Qwen3-Next-80B-A3B-Instruct-F16-00001.gguf	qwen3next	512	ok
a4lg/Qwen3-Next-80B-A3B-Instruct-MTP-ONLY-GGUF	0bcd3befa9489aaab3d161902f2a980ae16e2ece	Qwen3-Next-80B-A3B-Instruct-MTP-ONLY-BF16.gguf	qwen3next	512	ok
a4lg/Qwen3-Next-80B-A3B-Thinking-MTP-ONLY-GGUF	d3cda26e4fc4cb2adb2748100b9a7b2d2eaf93bf	Qwen3-Next-80B-A3B-Thinking-MTP-ONLY-BF16.gguf	qwen3next	512	ok
blascotobasco/Qwen3-Next-256E-Abliterated-Instruct-GGUF	5964c0a1cd2508d04608a08c8a0cc6b4a1809cca	Qwen3-Next-256E-Abliterated-Instruct-F16.gguf	qwen3next	256	ok
blascotobasco/Qwen3-Next-352E-Abliterated-Instruct-GGUF	1b93191dd6b0a5f377a1e36721b874b0f8fde8cb	Qwen3-Next-352E-Abliterated-Instruct-F16.gguf	qwen3next	352	ok
blascotobasco/Qwen3-Next-384E-Abliterated-Instruct-GGUF	d5c054a96c4b456f5a9a869d6ba3ff3fa46a3147	Qwen3-Next-384E-Abliterated-Instruct-F16.gguf	qwen3next	384	ok
blascotobasco/Qwen3-Next-416E-Abliterated-Instruct-GGUF	2cc9130c00d9fd7e3516d7e08df93531ab7c0be5	Qwen3-Next-416E-Abliterated-Instruct-F16.gguf	qwen3next	416	ok
blascotobasco/Qwen3-Next-448E-Abliterated-Instruct-GGUF	4357a03483ae4bc36acfdc11c55134b765cfc141	Qwen3-Next-448E-Abliterated-Instruct-F16.gguf	qwen3next	448	ok
blascotobasco/Qwen3-Next-480E-Abliterated-Instruct-GGUF	633707fb6b1a2dfbcac036bab2cec64c8e612eff	Qwen3-Next-480E-Abliterated-Instruct-F16.gguf	qwen3next	480	ok
ggml-org/Qwen3-Next-80B-A3B-Instruct-GGUF	9c34de99c5ae5a6b4b3fe5def36eae0406c7842f	Qwen3-Next-80B-A3B-Instruct-Q8_0-00001-of-00003.gguf	qwen3next	512	ok
gopi87/Qwen3-Next-80B-A3B-Instruct-GGUF-merged-pr	21668af6030753fe5fe23f02f92ba44e0d28a2f0	Qwen__Qwen3-Next-80B-A3B-Instruct-Q5_K_M.gguf	qwen3next	512	ok
grapeV-ai/Qwen3-Next-80B-A3B-Instruct-GGUF	c9913da4964c20efc0ff8fdd87f5fcd9fd1e2eb0	Qwen3-Next-80B-A3B-Instruct-BF16.gguf	qwen3next	512	ok
ilintar/Qwen3-Next-80B-A3B-Instruct-GGUF	9daa2ea7c6eb2fea72816ffe79a9be1b5322e4c1	qwen3_next_80b_a3b_instruct-iq2_m.gguf	qwen3next	512	ok
jackcloudman/Qwen3-Next-80B-A3B-Thinking-GGUF	05671aa8f65d5e2b1226284283a400e3bdcb1621	Qwen_Qwen3-Next-80B-A3B-Thinking-F16.gguf	qwen3next	512	ok
kingjones777/Qwen3-Next-80B-A3B-Instruct-ROCmFP4-STRIX-GGUF	2ff0aa272a7c3b41daa3231872c92f8866ccff51	Qwen3-Next-80B-A3B-Instruct-Q4_0_ROCMFP4_STRIX.gguf	qwen3next	512	ok
lefromage/Qwen3-Next-80B-A3B-Instruct-GGUF	459f081c6b4e2269400ded5bdff3e5ddabbc86b7	Qwen__Qwen3-Next-80B-A3B-Instruct-IQ4_NL.gguf	qwen3next	512	ok
lefromage/Qwen3-Next-80B-A3B-Instruct-split-GGUF	669a56beb41752461e9179b4260dd575c3ac35f5	Qwen3-Next-80B-A3B-Instruct-IQ4_XS-00001-of-00012.gguf	qwen3next	512	ok
lefromage/Qwen3-Next-80B-A3B-Thinking-GGUF	dbca3ad9b66fabcb8767029834fe0b09b1da1a91	Qwen__Qwen3-Next-80B-A3B-Thinking-MXFP4_MOE.gguf	qwen3next	512	ok
lmstudio-community/Qwen3-Next-80B-A3B-Instruct-GGUF	2dd69eccf76af19553d07170e3b5eea4951e3de6	Qwen3-Next-80B-A3B-Instruct-Q4_K_M.gguf	qwen3next	512	ok
lmstudio-community/Qwen3-Next-80B-A3B-Thinking-GGUF	c34cb265068acbe1f3d31d5b323dc51b32f8a0ee	Qwen3-Next-80B-A3B-Thinking-Q4_K_M.gguf	qwen3next	512	ok
lovedheart/Qwen3-Next-REAP-15B-A3B-Thinking-GGUF	a4c8affa41608235c0ea2d53dd1c73de412149e4	Qwen3-Next-REAP-15B-A3B-Thinking-BF16.gguf	qwen3next	96	ok
lovedheart/Qwen3-Next-REAP-20B-A3B-Thinking-GGUF	398927f5c32abbacbe37fd5e4a8b0ade279f68a2	Qwen3-Next-REAP-20B-A3B-Thinking-BF16.gguf	qwen3next	128	ok
