0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0 MiB, 33, 180 MHz, 48.91 W
1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0 MiB, 35, 2317 MHz, 86.58 W
