timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/09/22 23:49:33.407, 0, 0 %, 2 MiB, 65.64 W, 2610 MHz
2026/09/22 23:49:33.411, 1, 0 %, 2 MiB, 61.11 W, 2610 MHz
2026/09/22 23:49:33.664, 0, 0 %, 2 MiB, 76.46 W, 2610 MHz
2026/09/22 23:49:33.664, 1, 0 %, 2 MiB, 71.68 W, 2610 MHz
2026/09/22 23:49:33.914, 0, 0 %, 2 MiB, 76.46 W, 2610 MHz
2026/09/22 23:49:33.914, 1, 0 %, 2 MiB, 71.68 W, 2610 MHz
2026/09/22 23:49:34.164, 0, 0 %, 2 MiB, 76.32 W, 2610 MHz
2026/09/22 23:49:34.164, 1, 0 %, 2 MiB, 70.39 W, 2610 MHz
2026/09/22 23:49:34.414, 0, 0 %, 2 MiB, 76.32 W, 2610 MHz
2026/09/22 23:49:34.414, 1, 0 %, 2 MiB, 70.39 W, 2610 MHz
2026/09/22 23:49:34.665, 0, 0 %, 2 MiB, 75.30 W, 2610 MHz
2026/09/22 23:49:34.665, 1, 0 %, 2 MiB, 69.38 W, 2610 MHz
2026/09/22 23:49:34.915, 0, 0 %, 2 MiB, 75.30 W, 2610 MHz
2026/09/22 23:49:34.915, 1, 0 %, 2 MiB, 69.38 W, 2610 MHz
2026/09/22 23:49:35.165, 0, 0 %, 2 MiB, 75.30 W, 2610 MHz
2026/09/22 23:49:35.165, 1, 0 %, 2 MiB, 69.38 W, 2610 MHz
2026/09/22 23:49:35.415, 0, 0 %, 2 MiB, 75.30 W, 2610 MHz
2026/09/22 23:49:35.415, 1, 0 %, 2 MiB, 69.38 W, 2610 MHz
2026/09/22 23:49:35.665, 0, 0 %, 2 MiB, 61.62 W, 712 MHz
2026/09/22 23:49:35.665, 1, 0 %, 2 MiB, 43.12 W, 622 MHz
2026/09/22 23:49:35.916, 0, 0 %, 2 MiB, 61.62 W, 712 MHz
2026/09/22 23:49:35.916, 1, 0 %, 2 MiB, 43.12 W, 622 MHz
2026/09/22 23:49:36.166, 0, 0 %, 2 MiB, 61.62 W, 712 MHz
2026/09/22 23:49:36.166, 1, 0 %, 2 MiB, 43.12 W, 622 MHz
2026/09/22 23:49:36.416, 0, 0 %, 2 MiB, 61.62 W, 712 MHz
2026/09/22 23:49:36.416, 1, 0 %, 2 MiB, 43.12 W, 622 MHz
2026/09/22 23:49:36.666, 0, 0 %, 2 MiB, 43.19 W, 180 MHz
