2026/09/26 17:51:09.560, 1747, 3090, 130.99, 175.00, 87, 0x0000000000000020
2026/09/26 17:51:09.818, 1732, 3090, 94.12, 175.00, 80, 0x0000000000000000
2026/09/26 17:51:10.070, 1732, 3090, 94.12, 175.00, 80, 0x0000000000000000
2026/09/26 17:51:10.321, 1747, 3090, 52.14, 175.00, 80, 0x0000000000000000
2026/09/26 17:51:10.573, 1747, 3090, 52.14, 175.00, 80, 0x0000000000000000
2026/09/26 17:51:10.825, 1747, 3090, 40.29, 175.00, 79, 0x0000000000000000
2026/09/26 17:51:11.076, 1747, 3090, 40.29, 175.00, 79, 0x0000000000000000
2026/09/26 17:51:11.328, 1755, 3090, 39.81, 175.00, 79, 0x0000000000000000
2026/09/26 17:51:11.579, 1755, 3090, 39.81, 175.00, 79, 0x0000000000000000
2026/09/26 17:51:11.831, 1747, 3090, 39.61, 175.00, 78, 0x0000000000000000
2026/09/26 17:51:12.082, 1747, 3090, 39.61, 175.00, 78, 0x0000000000000000
2026/09/26 17:51:12.333, 1747, 3090, 39.37, 175.00, 78, 0x0000000000000000
2026/09/26 17:51:12.585, 1747, 3090, 39.37, 175.00, 78, 0x0000000000000000
2026/09/26 17:51:12.836, 1747, 3090, 39.19, 175.00, 78, 0x0000000000000000
2026/09/26 17:51:13.088, 1747, 3090, 39.19, 175.00, 78, 0x0000000000000000
2026/09/26 17:51:13.340, 1755, 3090, 39.07, 175.00, 78, 0x0000000000000000
2026/09/26 17:51:13.591, 1755, 3090, 39.07, 175.00, 78, 0x0000000000000000
2026/09/26 17:51:13.843, 1747, 3090, 39.02, 175.00, 77, 0x0000000000000000
2026/09/26 17:51:14.095, 1747, 3090, 39.02, 175.00, 77, 0x0000000000000000
2026/09/26 17:51:14.347, 1762, 3090, 39.22, 175.00, 77, 0x0000000000000000
2026/09/26 17:51:14.625, 1762, 3090, 39.22, 175.00, 77, 0x0000000000000000
2026/09/26 17:51:14.876, 1837, 3090, 41.26, 175.00, 77, 0x0000000000000000
2026/09/26 17:51:15.128, 1837, 3090, 41.26, 175.00, 77, 0x0000000000000000
2026/09/26 17:51:15.380, 1777, 3090, 41.16, 175.00, 77, 0x0000000000000000
2026/09/26 17:51:15.631, 1777, 3090, 41.16, 175.00, 77, 0x0000000000000000
2026/09/26 17:51:15.883, 1747, 3090, 39.21, 175.00, 77, 0x0000000000000000
