#Date, Time, gpu, pwr, gtemp, mtemp, sm, mem, enc, dec, jpg, ofa, mclk, pclk, fb, bar1, ccpm, smutil, dram
 20260809, 23:15:35, 0, 39, 64, -, 0, 0, 0, 0, 0, 0, 14001, 1590, 8390, 8391, 0, -, -
 20260809, 23:15:36, 0, 38, 64, -, 0, 0, 0, 0, 0, 0, 14001, 1597, 8390, 8391, 0, -, -
 20260809, 23:15:37, 0, 31, 63, -, 0, 0, 0, 0, 0, 0, 14001, 1590, 8390, 8391, 0, 0, 0
 20260809, 23:15:38, 0, 137, 77, -, 100, 45, 0, 0, 0, 0, 14001, 2025, 12102, 12103, 0, 76, 23
 20260809, 23:15:39, 0, 74, 65, -, 0, 0, 0, 0, 0, 0, 14001, 1590, 12102, 12103, 0, 76, 23
 20260809, 23:15:40, 0, 29, 64, -, 0, 0, 0, 0, 0, 0, 14001, 1590, 12102, 12103, 0, 12, 8
 20260809, 23:15:41, 0, 139, 77, -, 100, 43, 0, 0, 0, 0, 14001, 2017, 12102, 12103, 0, 0, 0
 20260809, 23:15:42, 0, 61, 65, -, 0, 0, 0, 0, 0, 0, 14001, 1590, 12102, 12103, 0, 81, 28
 20260809, 23:15:43, 0, 29, 64, -, 0, 0, 0, 0, 0, 0, 14001, 1590, 12102, 12103, 0, 5, 4
 20260809, 23:15:44, 0, 162, 76, -, 99, 45, 0, 0, 0, 0, 14001, 2017, 12166, 12167, 0, 2, 0
 20260809, 23:15:46, 0, 168, 74, -, 80, 72, 0, 0, 0, 0, 14001, 2055, 12166, 12167, 0, 94, 30
 20260809, 23:15:47, 0, 41, 66, -, 0, 0, 0, 0, 0, 0, 14001, 1590, 12166, 12167, 0, 75, 32
 20260809, 23:15:48, 0, 29, 65, -, 0, 0, 0, 0, 0, 0, 14001, 1590, 12166, 12167, 0, 0, 0
 20260809, 23:15:49, 0, 180, 75, -, 100, 39, 0, 0, 0, 0, 14001, 1702, 12166, 12167, 0, 23, 6
 20260809, 23:15:50, 0, 170, 78, -, 100, 41, 0, 0, 0, 0, 14001, 1777, 12614, 12615, 0, 94, 29
 20260809, 23:15:51, 0, 173, 79, -, 100, 42, 0, 0, 0, 0, 14001, 1800, 12678, 12679, 0, 93, 30
 20260809, 23:15:52, 0, 131, 69, -, 0, 0, 0, 0, 0, 0, 14001, 1590, 12678, 12679, 0, 94, 29
 20260809, 23:15:53, 0, 30, 67, -, 0, 0, 0, 0, 0, 0, 14001, 1590, 12678, 12679, 0, 46, 31
 20260809, 23:15:54, 0, 79, 79, -, 100, 45, 0, 0, 0, 0, 14001, 2025, 12678, 12679, 0, 0, 0
