arm	c	repeats	requests	ticks_med	single_calls_med	batch_calls	agg_tps_med	agg_tps_min	agg_tps_max	client_tps_med	prime_wall_p50_ms	prime_wall_p95_ms	queue_wait_p50_ms	queue_wait_p95_ms	prime_wait_p50_ms	prime_wait_p95_ms	ttft_p50_s	ttft_p95_s	gpu_n	sm_p50	sm_p95	mem_p50	mem_p95	gpm_sm_p50	gpm_sm_p95	dram_p50	dram_p95	temp_min	temp_max	power_p50
default	1	3	3	12	12	0	4519.4	4510.5	4544.8	4467.0	913.5	915.6	0.1	0.1	0.3	0.5	0.924	0.926	5	99.0	100.0	41.0	89.0	56.0	80.0	21.0	30.0	63.0	74.0	84.0
default	2	3	6	12	24	0	4488.9	4483.8	4522.3	4443.2	1733.9	1829.8	4.5	197.4	98.6	195.0	1.852	1.870	9	100.0	100.0	41.0	62.0	73.0	87.0	26.0	34.0	55.0	75.0	86.0
default	4	3	12	13	48	0	4480.3	4462.0	4505.0	4429.0	3299.2	3646.6	105.3	585.1	290.4	606.6	3.704	3.739	14	100.0	100.0	43.0	92.0	85.0	88.0	27.0	37.0	56.0	77.0	169.5
tick8192	1	3	3	8	8	0	4649.0	4616.8	4689.1	4591.0	889.1	895.0	0.1	0.1	0.4	0.4	0.900	0.906	6	50.0	100.0	21.5	46.0	13.5	81.0	6.5	30.0	65.0	82.0	100.5
tick8192	2	3	6	9	16	0	4581.2	4579.4	4608.5	4512.5	1396.2	1785.6	4.3	802.5	8.7	787.8	1.808	1.833	7	94.0	100.0	45.0	81.0	78.0	94.0	25.0	30.0	68.0	81.0	162.0
tick8192	4	3	12	9	32	0	4530.6	4524.5	4543.0	4482.3	2408.8	3607.6	408.1	2498.3	412.6	1697.9	3.669	3.691	15	100.0	100.0	41.0	45.0	92.0	94.0	29.0	37.0	65.0	82.0	173.0
