rank,expert_percent,aggregate_route_share_percent,aggregate_cumulative_percent,layer_p10_cumulative_percent,layer_median_cumulative_percent,layer_p90_cumulative_percent
1,0.5208333333333333,2.8645603161934825,2.8645603161934825,1.8138382830811033,2.7975815285571786,4.020892362109798
2,1.0416666666666665,2.1695939078390785,5.0341542240325605,3.44753042978049,4.904717610413135,6.427629445134602
3,1.5625,1.84104132280956,6.875195546842121,4.954225287468866,6.79514286238824,8.854469460066458
4,2.083333333333333,1.643321630410794,8.518517177252914,6.417868660844874,8.397410791327284,10.69564711857976
5,2.604166666666667,1.515614388715246,10.03413156596816,7.698918052249264,9.855485315986268,12.476317093917716
6,3.125,1.3879942934212368,11.422125859389396,8.702810126737205,11.212050743839079,14.125813143706896
7,3.6458333333333335,1.2943458020338963,12.716471661423293,9.902575745521972,12.47345617438452,15.512181091616744
8,4.166666666666666,1.2218719496338728,13.938343611057165,11.00292823528692,13.72943044752737,17.116055419224157
9,4.6875,1.16096920277155,15.099312813828716,12.045572765269966,14.846183502744648,18.418309273051054
10,5.208333333333334,1.122676105641889,16.221988919470608,13.079236761745067,15.954751574270695,19.504510155499393
11,5.729166666666666,1.0868289175154275,17.30881783698603,14.104165009271215,17.033104051796414,20.53956636415375
12,6.25,1.0563935209245483,18.365211357910578,15.110076556370824,18.026011419199676,21.69205796498357
13,6.770833333333333,1.0266475491991789,19.39185890710976,16.099771126437346,19.109106597555826,22.873770722542822
14,7.291666666666667,0.9972840533472314,20.38914296045699,17.097237606251795,20.15020592501025,23.96863085876543
15,7.8125,0.9748448232442459,21.363987783701237,18.08714636280743,21.153287150646538,24.959442258382342
16,8.333333333333332,0.9561035054465726,22.320091289147808,19.071210888017184,22.073906577973062,25.916840565697115
17,8.854166666666668,0.9352125764109332,23.255303865558744,20.018481234203747,23.020534364692274,26.856507291520053
18,9.375,0.9158225020684683,24.17112636762721,20.963686210673835,23.959359643593682,27.74694172291612
19,9.895833333333332,0.8992278906287099,25.07035425825592,21.806112270437982,24.870340678909976,28.60696167285768
20,10.416666666666668,0.8856417666287534,25.955996024884676,22.638211481619738,25.782316151497163,29.465681204829597
21,10.9375,0.8713749324034412,26.827370957288117,23.5441591344418,26.652066287658574,30.323605186984807
22,11.458333333333332,0.8573956813032082,27.684766638591324,24.461351577942466,27.49764394861972,31.28813284458016
23,11.979166666666668,0.8435374668717796,28.528304105463103,25.348986285945085,28.32302688346419,32.195748092210344
24,12.5,0.8310774680383795,29.35938157350148,26.182493008341034,29.136247085533846,33.06826735369533
25,13.020833333333334,0.8217460250202355,30.18112759852172,27.048724366466963,29.93883445832237,33.93556964426684
26,13.541666666666666,0.8095029238973327,30.99063052241905,27.911054470683993,30.72352196023475,34.79147415381038
27,14.0625,0.7972452983741736,31.787875820793225,28.764128658764207,31.504690684111647,35.60470965491497
28,14.583333333333334,0.7857090513970886,32.57358487219032,29.55990796100582,32.27683297737579,36.38396599942476
29,15.104166666666666,0.7765809499825358,33.35016582217285,30.34880269752584,33.04461504568292,37.15448659498559
30,15.625,0.7661059525175279,34.116271774690375,31.119491582470978,33.81178515259258,37.91344112013414
31,16.145833333333336,0.7595012235742093,34.87577299826459,31.913603289904472,34.573065131051536,38.65524542711846
32,16.666666666666664,0.7511274226796457,35.62690042094423,32.70450220000122,35.33105581699906,39.39261301397107
33,17.1875,0.7426045046091151,36.36950492555335,33.490383026638675,36.08139698547816,40.11708351437191
34,17.708333333333336,0.7341513036598157,37.10365622921316,34.258027403631374,36.83020825046356,40.82656096053461
35,18.229166666666664,0.726958820652783,37.83061504986595,34.98554241198465,37.57764260230465,41.52632351951239
36,18.75,0.7193422251582599,38.549957275024205,35.70262347851097,38.321940651983674,42.218405962951856
37,19.270833333333336,0.7109258193562771,39.26088309438048,36.41376851948179,39.06256693327785,42.90976935174929
38,19.791666666666664,0.7037798144300653,39.96466290881055,37.119941374098126,39.793401832212425,43.60081146081305
39,20.3125,0.6976117857877929,40.66227469459834,37.82048418385769,40.479104578083216,44.289665807880844
40,20.833333333333336,0.6902614709646394,41.35253616556298,38.50525368859732,41.19632333592397,44.97334908113996
41,21.354166666666664,0.685230218715778,42.037766384278754,39.18580065969439,41.90275627413423,45.617530246192075
42,21.875,0.6799898151032228,42.71775619938198,39.860809380144296,42.59863287823804,46.255117527186385
43,22.395833333333336,0.6752296849924834,43.39298588437446,40.5330336762357,43.29297957884817,46.88213317503932
44,22.916666666666664,0.6694170200098208,44.062402904384285,41.199995104308826,43.96254184286055,47.53575384464748
45,23.4375,0.6635888623335514,44.72599176671784,41.86672704685788,44.61451021669553,48.248184004552996
46,23.958333333333336,0.6587164101941614,45.384708176912,42.53251044924086,45.250491099021474,48.9521079010336
47,24.479166666666664,0.6529502232923198,46.037658400204315,43.16801706148376,45.90628423159067,49.6399678108305
48,25.0,0.6473805999406166,46.68503900014493,43.80139710787044,46.5619243738105,50.324186550312405
49,25.520833333333332,0.6427279503917754,47.32776695053671,44.43520552723535,47.20027660655166,51.00070987522107
50,26.041666666666668,0.637534024860041,47.96530097539675,45.068356088097964,47.81514482066471,51.62374777399042
51,26.5625,0.6327651801091475,48.5980661555059,45.699227092754995,48.42549981947139,52.22310276667748
52,27.083333333333332,0.628067020772836,49.226133176278736,46.32934844470011,49.033789448561585,52.824186550312405
53,27.604166666666668,0.6233185101823018,49.84945168646104,46.95861305068876,49.6420025824771,53.44794350372379
54,28.125,0.6180403431290795,50.46749202959011,47.58322675005661,50.24149526647859,54.05641672123323
55,28.645833333333332,0.6141875038876978,51.08167953347781,48.2043369704239,50.8345623558066,54.65834195178969
