0, NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition, 46289 MiB, 32, 2272 MHz, 70.52 W
1, NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition, 56371 MiB, 32, 2272 MHz, 68.90 W
