0, NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition, 0 MiB, 36, 2272 MHz, 74.99 W
1, NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition, 0 MiB, 36, 2272 MHz, 70.62 W
