timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/09/23 00:01:11.844, 0, 36 %, 2 MiB, 67.78 W, 2610 MHz
2026/09/23 00:01:11.848, 1, 0 %, 2 MiB, 61.38 W, 2610 MHz
2026/09/23 00:01:12.101, 0, 36 %, 2 MiB, 67.78 W, 2610 MHz
2026/09/23 00:01:12.101, 1, 0 %, 2 MiB, 61.38 W, 2610 MHz
2026/09/23 00:01:12.351, 0, 0 %, 2 MiB, 76.55 W, 2610 MHz
2026/09/23 00:01:12.351, 1, 0 %, 2 MiB, 72.58 W, 2610 MHz
2026/09/23 00:01:12.601, 0, 0 %, 2 MiB, 76.55 W, 2610 MHz
2026/09/23 00:01:12.601, 1, 0 %, 2 MiB, 72.58 W, 2610 MHz
2026/09/23 00:01:12.851, 0, 0 %, 2 MiB, 74.67 W, 2610 MHz
2026/09/23 00:01:12.851, 1, 0 %, 2 MiB, 71.62 W, 2610 MHz
2026/09/23 00:01:13.101, 0, 0 %, 2 MiB, 74.67 W, 2610 MHz
2026/09/23 00:01:13.102, 1, 0 %, 2 MiB, 71.62 W, 2610 MHz
2026/09/23 00:01:13.352, 0, 0 %, 2 MiB, 73.85 W, 2610 MHz
2026/09/23 00:01:13.352, 1, 0 %, 2 MiB, 61.40 W, 2610 MHz
2026/09/23 00:01:13.602, 0, 0 %, 2 MiB, 73.85 W, 2610 MHz
2026/09/23 00:01:13.602, 1, 0 %, 2 MiB, 61.40 W, 2610 MHz
2026/09/23 00:01:13.852, 0, 0 %, 2 MiB, 73.85 W, 2610 MHz
2026/09/23 00:01:13.852, 1, 0 %, 2 MiB, 61.40 W, 2610 MHz
2026/09/23 00:01:14.102, 0, 0 %, 2 MiB, 73.85 W, 2610 MHz
2026/09/23 00:01:14.102, 1, 0 %, 2 MiB, 61.40 W, 2610 MHz
2026/09/23 00:01:14.352, 0, 0 %, 2 MiB, 54.66 W, 892 MHz
2026/09/23 00:01:14.352, 1, 0 %, 2 MiB, 54.63 W, 877 MHz
2026/09/23 00:01:14.603, 0, 0 %, 2 MiB, 54.66 W, 892 MHz
2026/09/23 00:01:14.603, 1, 0 %, 2 MiB, 54.63 W, 877 MHz
2026/09/23 00:01:14.853, 0, 0 %, 2 MiB, 54.66 W, 892 MHz
2026/09/23 00:01:14.853, 1, 0 %, 2 MiB, 54.63 W, 877 MHz
2026/09/23 00:01:15.103, 0, 0 %, 2 MiB, 54.66 W, 892 MHz
2026/09/23 00:01:15.103, 1, 0 %, 2 MiB, 54.63 W, 877 MHz
2026/09/23 00:01:15.353, 0, 0 %, 2 MiB, 43.43 W, 180 MHz
2026/09/23 00:01:15.353, 1, 0 %, 2 MiB, 46.49 W, 180 MHz
2026/09/23 00:01:15.603, 0, 0 %, 2 MiB, 43.43 W, 180 MHz
2026/09/23 00:01:15.603, 1, 0 %, 2 MiB, 46.49 W, 180 MHz
2026/09/23 00:01:15.853, 0, 0 %, 2 MiB, 43.43 W, 180 MHz
2026/09/23 00:01:15.854, 1, 0 %, 2 MiB, 46.49 W, 180 MHz
2026/09/23 00:01:16.104, 0, 0 %, 2 MiB, 43.43 W, 180 MHz
2026/09/23 00:01:16.104, 1, 0 %, 2 MiB, 46.49 W, 180 MHz
2026/09/23 00:01:16.354, 0, 0 %, 2 MiB, 43.36 W, 180 MHz
2026/09/23 00:01:16.354, 1, 0 %, 2 MiB, 38.25 W, 180 MHz
2026/09/23 00:01:16.604, 0, 0 %, 2 MiB, 43.36 W, 180 MHz
2026/09/23 00:01:16.604, 1, 0 %, 2 MiB, 38.25 W, 180 MHz
2026/09/23 00:01:16.854, 0, 0 %, 2 MiB, 43.36 W, 180 MHz
2026/09/23 00:01:16.854, 1, 0 %, 2 MiB, 38.25 W, 180 MHz
2026/09/23 00:01:17.104, 0, 0 %, 2 MiB, 43.36 W, 180 MHz
2026/09/23 00:01:17.104, 1, 0 %, 2 MiB, 38.25 W, 180 MHz
2026/09/23 00:01:17.355, 0, 0 %, 2 MiB, 43.15 W, 180 MHz
2026/09/23 00:01:17.355, 1, 0 %, 2 MiB, 38.18 W, 180 MHz
2026/09/23 00:01:17.605, 0, 0 %, 2 MiB, 43.15 W, 180 MHz
2026/09/23 00:01:17.605, 1, 0 %, 2 MiB, 38.18 W, 180 MHz
2026/09/23 00:01:17.855, 0, 0 %, 2 MiB, 43.15 W, 180 MHz
2026/09/23 00:01:17.855, 1, 0 %, 2 MiB, 38.18 W, 180 MHz
2026/09/23 00:01:18.105, 0, 0 %, 2 MiB, 43.15 W, 180 MHz
2026/09/23 00:01:18.105, 1, 0 %, 2 MiB, 38.18 W, 180 MHz
2026/09/23 00:01:18.355, 0, 0 %, 2 MiB, 31.04 W, 180 MHz
2026/09/23 00:01:18.355, 1, 0 %, 2 MiB, 25.51 W, 180 MHz
2026/09/23 00:01:18.606, 0, 0 %, 2 MiB, 31.04 W, 180 MHz
2026/09/23 00:01:18.606, 1, 0 %, 2 MiB, 25.51 W, 180 MHz
2026/09/23 00:01:18.856, 0, 0 %, 2 MiB, 31.04 W, 180 MHz
2026/09/23 00:01:18.856, 1, 0 %, 2 MiB, 25.51 W, 180 MHz
2026/09/23 00:01:19.106, 0, 0 %, 2 MiB, 31.04 W, 180 MHz
2026/09/23 00:01:19.106, 1, 0 %, 2 MiB, 25.51 W, 180 MHz
2026/09/23 00:01:19.356, 0, 0 %, 2 MiB, 26.56 W, 180 MHz
2026/09/23 00:01:19.356, 1, 0 %, 2 MiB, 8.52 W, 180 MHz
2026/09/23 00:01:19.606, 0, 0 %, 2 MiB, 26.56 W, 180 MHz
2026/09/23 00:01:19.606, 1, 0 %, 2 MiB, 8.52 W, 180 MHz
2026/09/23 00:01:19.856, 0, 0 %, 4 MiB, 26.56 W, 180 MHz
2026/09/23 00:01:19.861, 1, 0 %, 2 MiB, 8.52 W, 180 MHz
2026/09/23 00:01:20.112, 0, 0 %, 724 MiB, 26.56 W, 180 MHz
2026/09/23 00:01:20.112, 1, 0 %, 724 MiB, 8.52 W, 180 MHz
2026/09/23 00:01:20.362, 0, 0 %, 788 MiB, 25.11 W, 585 MHz
