# clocks/util/temp before:
1852 MHz, 0 %, 54
# compute apps:
144655, 332 MiB
# device NVIDIA GeForce RTX 5090 Laptop GPU SMs=82 cc=12.0 (clock LOCKED 1860 via nvidia-smi -lgc)

## NACC CONTROL -- 1 CTA of 4 warps (1 warp/scheduler), clock64 cyc/warp-MMA
# flat across NACC => pipe ISSUE INTERVAL; halving as NACC doubles => latency/NACC
# form                                  NACC=1    NACC=2    NACC=4    NACC=8   NACC=16
  A1 m16n8k16.s8.s8.s32                27.1272   16.1294   16.0646   16.0616   16.0306
  A2 m16n8k32.s8.s8.s32                27.0657   16.1229   16.0647   16.0590   16.0295
  B1 m16n8k16.f32.bf16.bf16.f32        34.5015   32.0339   32.0329   32.0318   32.0159
  B2 m16n8k16.f32.f16.f16.f32          34.5007   32.0658   32.0171   32.0319   32.0148
  B3 m16n8k16.f16.f16.f16.f16          29.0696   17.1207   16.0681   16.0629   16.0315
  B4 m16n8k8.f32.tf32.tf32.f32         34.5015   32.0669   32.0170   32.0456   32.0159
  C1 kind::f8f6f4 PLAIN e4m3xe4m3      34.5066   32.0341   32.0330   32.0318   32.0160
  C2 mxf8f6f4.blksc.1X e4m3xe4m3       29.0823   17.1292   16.0724   16.0594   16.0297
  C3 kind::f8f6f4 PLAIN e2m1xe4m3      34.5020   32.0344   32.0172   32.0295   32.0228
  C4 mxf8f6f4.blksc.1X e2m1xe4m3       29.0847   17.1294   16.0724   16.0593   16.0296
  D1 mxf4nvf4.blksc.4X k64 ue4m3       29.0864   17.1294   16.0724   16.0593   16.0297
  D2 mxf4.blksc.2X k64 ue8m0           29.0823   17.1292   16.0723   16.0594   16.0297

## FULL-GPU wall clock (grid=82 CTAs x 256 thr = 8 warps/CTA; NACC=8, best of 5)
# form                                   MACs        ms  cyc/MMA@1860     T(FL)OP/s      vs A1
  A1 m16n8k16.s8.s8.s32                  2048     0.568       16.1070         155.1     1.000x
  A2 m16n8k32.s8.s8.s32                  4096     0.569       16.1351         309.7     1.997x
  B1 m16n8k16.f32.bf16.bf16.f32          2048     1.134       32.1949          77.6     0.500x
  B2 m16n8k16.f32.f16.f16.f32            2048     1.132       32.1259          77.8     0.501x
  B3 m16n8k16.f16.f16.f16.f16            2048     0.567       16.0979         155.2     1.001x
  B4 m16n8k8.f32.tf32.tf32.f32           1024     1.133       32.1658          38.8     0.250x
  C1 kind::f8f6f4 PLAIN e4m3xe4m3        4096     1.132       32.1231         155.6     1.003x
  C2 mxf8f6f4.blksc.1X e4m3xe4m3         4096     0.571       16.1942         308.6     1.989x
  C3 kind::f8f6f4 PLAIN e2m1xe4m3        4096     1.132       32.1395         155.5     1.002x
  C4 mxf8f6f4.blksc.1X e2m1xe4m3         4096     0.568       16.1342         309.8     1.997x
  D1 mxf4nvf4.blksc.4X k64 ue4m3         8192     0.569       16.1424         619.2     3.991x
  D2 mxf4.blksc.2X k64 ue8m0             8192     0.569       16.1451         619.1     3.991x
--- RERUN 2 for repeatability ---
# device NVIDIA GeForce RTX 5090 Laptop GPU SMs=82 cc=12.0 (clock LOCKED 1860 via nvidia-smi -lgc)

## NACC CONTROL -- 1 CTA of 4 warps (1 warp/scheduler), clock64 cyc/warp-MMA
# flat across NACC => pipe ISSUE INTERVAL; halving as NACC doubles => latency/NACC
# form                                  NACC=1    NACC=2    NACC=4    NACC=8   NACC=16
  A1 m16n8k16.s8.s8.s32                27.1250   16.1295   16.0646   16.0617   16.0306
  A2 m16n8k32.s8.s8.s32                27.0654   16.1206   16.0604   16.0591   16.0295
  B1 m16n8k16.f32.bf16.bf16.f32        34.5015   32.0339   32.0329   32.0317   32.0159
  B2 m16n8k16.f32.f16.f16.f32          34.5007   32.0658   32.0171   32.0319   32.0147
  B3 m16n8k16.f16.f16.f16.f16          29.0681   17.1206   16.0682   16.0629   16.0315
  B4 m16n8k8.f32.tf32.tf32.f32         34.5012   32.0656   32.0170   32.0455   32.0159
  C1 kind::f8f6f4 PLAIN e4m3xe4m3      34.5081   32.0338   32.0329   32.0318   32.0160
  C2 mxf8f6f4.blksc.1X e4m3xe4m3       29.0818   17.1290   16.0723   16.0593   16.0296
  C3 kind::f8f6f4 PLAIN e2m1xe4m3      34.5015   32.0342   32.0172   32.0295   32.0228
  C4 mxf8f6f4.blksc.1X e2m1xe4m3       29.0830   17.1293   16.0724   16.0593   16.0297
  D1 mxf4nvf4.blksc.4X k64 ue4m3       29.0833   17.1294   16.0724   16.0593   16.0296
  D2 mxf4.blksc.2X k64 ue8m0           29.0823   17.1290   16.0724   16.0593   16.0297

## FULL-GPU wall clock (grid=82 CTAs x 256 thr = 8 warps/CTA; NACC=8, best of 5)
# form                                   MACs        ms  cyc/MMA@1860     T(FL)OP/s      vs A1
  A1 m16n8k16.s8.s8.s32                  2048     0.567       16.0806         155.4     1.000x
  A2 m16n8k32.s8.s8.s32                  4096     0.568       16.1324         309.8     1.994x
  B1 m16n8k16.f32.bf16.bf16.f32          2048     1.132       32.1295          77.8     0.500x
  B2 m16n8k16.f32.f16.f16.f32            2048     1.133       32.1667          77.7     0.500x
  B3 m16n8k16.f16.f16.f16.f16            2048     0.567       16.0997         155.2     0.999x
  B4 m16n8k8.f32.tf32.tf32.f32           1024     1.133       32.1449          38.9     0.250x
  C1 kind::f8f6f4 PLAIN e4m3xe4m3        4096     1.132       32.1313         155.5     1.001x
  C2 mxf8f6f4.blksc.1X e4m3xe4m3         4096     0.569       16.1460         309.5     1.992x
  C3 kind::f8f6f4 PLAIN e2m1xe4m3        4096     1.132       32.1322         155.5     1.001x
  C4 mxf8f6f4.blksc.1X e2m1xe4m3         4096     0.569       16.1351         309.7     1.993x
  D1 mxf4nvf4.blksc.4X k64 ue4m3         8192     0.569       16.1406         619.3     3.985x
  D2 mxf4.blksc.2X k64 ue8m0             8192     0.569       16.1433         619.2     3.984x
--- RERUN 3 ---
# device NVIDIA GeForce RTX 5090 Laptop GPU SMs=82 cc=12.0 (clock LOCKED 1860 via nvidia-smi -lgc)

## NACC CONTROL -- 1 CTA of 4 warps (1 warp/scheduler), clock64 cyc/warp-MMA
# flat across NACC => pipe ISSUE INTERVAL; halving as NACC doubles => latency/NACC
# form                                  NACC=1    NACC=2    NACC=4    NACC=8   NACC=16
  A1 m16n8k16.s8.s8.s32                27.1292   16.1293   16.0646   16.0616   16.0306
  A2 m16n8k32.s8.s8.s32                27.0654   16.1206   16.0602   16.0591   16.0295
  B1 m16n8k16.f32.bf16.bf16.f32        34.5017   32.0337   32.0329   32.0317   32.0159
  B2 m16n8k16.f32.f16.f16.f32          34.5010   32.0658   32.0171   32.0319   32.0148
  B3 m16n8k16.f16.f16.f16.f16          29.0674   17.1205   16.0681   16.0629   16.0315
  B4 m16n8k8.f32.tf32.tf32.f32         34.5042   32.0657   32.0170   32.0456   32.0159
  C1 kind::f8f6f4 PLAIN e4m3xe4m3      34.5081   32.0341   32.0331   32.0318   32.0161
  C2 mxf8f6f4.blksc.1X e4m3xe4m3       29.0820   17.1290   16.0725   16.0594   16.0296
  C3 kind::f8f6f4 PLAIN e2m1xe4m3      34.5022   32.0343   32.0172   32.0295   32.0228
  C4 mxf8f6f4.blksc.1X e2m1xe4m3       29.0835   17.1293   16.0725   16.0593   16.0296
  D1 mxf4nvf4.blksc.4X k64 ue4m3       29.0845   17.1293   16.0723   16.0593   16.0297
  D2 mxf4.blksc.2X k64 ue8m0           29.0857   17.1290   16.0724   16.0593   16.0297

## FULL-GPU wall clock (grid=82 CTAs x 256 thr = 8 warps/CTA; NACC=8, best of 5)
# form                                   MACs        ms  cyc/MMA@1860     T(FL)OP/s      vs A1
  A1 m16n8k16.s8.s8.s32                  2048     0.567       16.0988         155.2     1.000x
  A2 m16n8k32.s8.s8.s32                  4096     0.567       16.0906         310.6     2.001x
  B1 m16n8k16.f32.bf16.bf16.f32          2048     1.132       32.1413          77.7     0.501x
  B2 m16n8k16.f32.f16.f16.f32            2048     1.132       32.1359          77.8     0.501x
  B3 m16n8k16.f16.f16.f16.f16            2048     0.569       16.1360         154.9     0.998x
  B4 m16n8k8.f32.tf32.tf32.f32           1024     1.133       32.1531          38.9     0.250x
  C1 kind::f8f6f4 PLAIN e4m3xe4m3        4096     1.132       32.1331         155.5     1.002x
  C2 mxf8f6f4.blksc.1X e4m3xe4m3         4096     0.569       16.1606         309.3     1.992x
  C3 kind::f8f6f4 PLAIN e2m1xe4m3        4096     1.134       32.1749         155.3     1.001x
  C4 mxf8f6f4.blksc.1X e2m1xe4m3         4096     0.569       16.1597         309.3     1.992x
  D1 mxf4nvf4.blksc.4X k64 ue4m3         8192     0.569       16.1442         619.1     3.989x
  D2 mxf4.blksc.2X k64 ue8m0             8192     0.568       16.1261         619.8     3.993x
