timestamp, clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/09/23 11:42:46.885, 2340 MHz, 14001 MHz, 72, 49.78 W, 2 %
2026/09/23 11:42:47.139, 2340 MHz, 14001 MHz, 72, 49.78 W, 2 %
2026/09/23 11:42:47.390, 2340 MHz, 14001 MHz, 72, 49.78 W, 2 %
2026/09/23 11:42:47.640, 2767 MHz, 14001 MHz, 75, 54.75 W, 100 %
2026/09/23 11:42:47.890, 2767 MHz, 14001 MHz, 75, 54.75 W, 100 %
2026/09/23 11:42:48.140, 2790 MHz, 14001 MHz, 73, 66.00 W, 18 %
2026/09/23 11:42:48.390, 2790 MHz, 14001 MHz, 73, 66.00 W, 18 %
2026/09/23 11:42:48.640, 2242 MHz, 14001 MHz, 75, 60.62 W, 100 %
2026/09/23 11:42:48.890, 2242 MHz, 14001 MHz, 75, 60.62 W, 100 %
2026/09/23 11:42:49.141, 1590 MHz, 14001 MHz, 73, 49.64 W, 20 %
2026/09/23 11:42:49.391, 1590 MHz, 14001 MHz, 73, 49.64 W, 20 %
2026/09/23 11:42:49.641, 2475 MHz, 14001 MHz, 72, 55.57 W, 1 %
2026/09/23 11:42:49.891, 2475 MHz, 14001 MHz, 72, 55.57 W, 1 %
2026/09/23 11:42:50.141, 2475 MHz, 14001 MHz, 74, 59.03 W, 100 %
2026/09/23 11:42:50.392, 2475 MHz, 14001 MHz, 74, 59.03 W, 100 %
2026/09/23 11:42:50.642, 2790 MHz, 14001 MHz, 75, 62.03 W, 100 %
2026/09/23 11:42:50.892, 2790 MHz, 14001 MHz, 75, 62.03 W, 100 %
2026/09/23 11:42:51.142, 1642 MHz, 14001 MHz, 73, 60.11 W, 91 %
2026/09/23 11:42:51.392, 1642 MHz, 14001 MHz, 73, 60.11 W, 91 %
2026/09/23 11:42:51.642, 2790 MHz, 14001 MHz, 75, 59.96 W, 100 %
2026/09/23 11:42:51.893, 2790 MHz, 14001 MHz, 75, 59.96 W, 100 %
2026/09/23 11:42:52.143, 1777 MHz, 14001 MHz, 72, 62.66 W, 0 %
2026/09/23 11:42:52.393, 1777 MHz, 14001 MHz, 72, 62.66 W, 0 %
2026/09/23 11:42:52.643, 2790 MHz, 14001 MHz, 72, 57.47 W, 24 %
2026/09/23 11:42:52.893, 2790 MHz, 14001 MHz, 72, 57.47 W, 24 %
2026/09/23 11:42:53.144, 2085 MHz, 14001 MHz, 74, 54.58 W, 100 %
2026/09/23 11:42:53.394, 2085 MHz, 14001 MHz, 74, 54.58 W, 100 %
2026/09/23 11:42:53.644, 1672 MHz, 14001 MHz, 71, 49.30 W, 2 %
2026/09/23 11:42:53.894, 1672 MHz, 14001 MHz, 71, 49.30 W, 2 %
2026/09/23 11:42:54.144, 2797 MHz, 14001 MHz, 74, 60.52 W, 100 %
2026/09/23 11:42:54.394, 2797 MHz, 14001 MHz, 74, 60.52 W, 100 %
2026/09/23 11:42:54.645, 2272 MHz, 14001 MHz, 71, 65.47 W, 1 %
2026/09/23 11:42:54.895, 2272 MHz, 14001 MHz, 71, 65.47 W, 1 %
2026/09/23 11:42:55.145, 2692 MHz, 14001 MHz, 74, 61.02 W, 100 %
2026/09/23 11:42:55.395, 2692 MHz, 14001 MHz, 74, 61.02 W, 100 %
2026/09/23 11:42:55.646, 2797 MHz, 14001 MHz, 73, 63.16 W, 57 %
2026/09/23 11:42:55.896, 2797 MHz, 14001 MHz, 73, 63.16 W, 57 %
2026/09/23 11:42:56.146, 2055 MHz, 14001 MHz, 73, 60.46 W, 100 %
