timestamp, index, temperature.gpu, clocks.current.sm [MHz], power.draw [W], memory.used [MiB]
2026/08/03 10:21:50.989, 0, 32, 180 MHz, 25.54 W, 2 MiB
2026/08/03 10:21:52.003, 0, 33, 2437 MHz, 32.85 W, 544 MiB
2026/08/03 10:21:53.004, 0, 33, 2407 MHz, 65.86 W, 3680 MiB
2026/08/03 10:21:54.004, 0, 33, 2415 MHz, 67.81 W, 8320 MiB
2026/08/03 10:21:55.004, 0, 33, 2415 MHz, 67.76 W, 12960 MiB
2026/08/03 10:21:56.004, 0, 33, 2415 MHz, 67.82 W, 17568 MiB
2026/08/03 10:21:57.004, 0, 33, 2415 MHz, 67.85 W, 21920 MiB
2026/08/03 10:21:58.005, 0, 33, 2415 MHz, 67.56 W, 26208 MiB
2026/08/03 10:21:59.005, 0, 33, 2407 MHz, 66.38 W, 28128 MiB
2026/08/03 10:22:00.005, 0, 40, 2910 MHz, 326.15 W, 28128 MiB
2026/08/03 10:22:01.005, 0, 41, 2910 MHz, 426.78 W, 28128 MiB
2026/08/03 10:22:02.006, 0, 41, 2887 MHz, 429.74 W, 28128 MiB
2026/08/03 10:22:03.006, 0, 42, 2887 MHz, 435.24 W, 28128 MiB
2026/08/03 10:22:04.006, 0, 42, 2887 MHz, 435.24 W, 28128 MiB
2026/08/03 10:22:05.006, 0, 43, 2887 MHz, 435.32 W, 28128 MiB
2026/08/03 10:22:06.007, 0, 43, 2887 MHz, 435.90 W, 28128 MiB
2026/08/03 10:22:07.007, 0, 43, 2887 MHz, 436.37 W, 28128 MiB
2026/08/03 10:22:08.007, 0, 44, 2887 MHz, 437.21 W, 28128 MiB
2026/08/03 10:22:09.007, 0, 44, 2887 MHz, 437.35 W, 28832 MiB
2026/08/03 10:22:10.008, 0, 44, 2880 MHz, 505.01 W, 28832 MiB
2026/08/03 10:22:11.008, 0, 45, 2880 MHz, 440.43 W, 28832 MiB
2026/08/03 10:22:12.008, 0, 41, 2887 MHz, 435.33 W, 28832 MiB
2026/08/03 10:22:13.008, 0, 39, 2925 MHz, 92.05 W, 28832 MiB
2026/08/03 10:22:14.009, 0, 38, 2437 MHz, 86.70 W, 2 MiB
2026/08/03 10:22:15.130, 0, 37, 2400 MHz, 71.21 W, 544 MiB
2026/08/03 10:22:16.131, 0, 37, 2407 MHz, 66.72 W, 2720 MiB
2026/08/03 10:22:17.131, 0, 37, 2422 MHz, 68.99 W, 7712 MiB
2026/08/03 10:22:18.131, 0, 37, 2415 MHz, 68.80 W, 12480 MiB
2026/08/03 10:22:19.131, 0, 37, 2422 MHz, 68.89 W, 17280 MiB
