timestamp, index, temperature.gpu, clocks.current.sm [MHz], power.draw [W], memory.used [MiB]
2026/08/03 11:34:55.757, 0, 45, 2880 MHz, 440.22 W, 28864 MiB
2026/08/03 11:34:56.757, 0, 47, 2827 MHz, 457.74 W, 28896 MiB
2026/08/03 11:34:57.758, 0, 41, 2917 MHz, 385.45 W, 28896 MiB
2026/08/03 11:34:58.758, 0, 40, 2925 MHz, 92.84 W, 28896 MiB
2026/08/03 11:34:59.758, 0, 39, 2407 MHz, 85.36 W, 21 MiB
2026/08/03 11:35:00.786, 0, 38, 2400 MHz, 70.78 W, 544 MiB
2026/08/03 11:35:01.786, 0, 38, 2407 MHz, 67.80 W, 4672 MiB
2026/08/03 11:35:02.786, 0, 38, 2422 MHz, 70.42 W, 10624 MiB
2026/08/03 11:35:03.787, 0, 38, 2422 MHz, 70.65 W, 16576 MiB
2026/08/03 11:35:04.787, 0, 38, 2422 MHz, 70.82 W, 22304 MiB
2026/08/03 11:35:05.788, 0, 38, 2422 MHz, 70.67 W, 26880 MiB
2026/08/03 11:35:06.788, 0, 38, 2415 MHz, 68.75 W, 31776 MiB
2026/08/03 11:35:07.788, 0, 52, 2730 MHz, 349.35 W, 31776 MiB
2026/08/03 11:35:08.788, 0, 52, 2722 MHz, 580.64 W, 31808 MiB
2026/08/03 11:35:09.789, 0, 53, 2722 MHz, 575.00 W, 31808 MiB
2026/08/03 11:35:10.789, 0, 47, 2880 MHz, 530.85 W, 31808 MiB
2026/08/03 11:35:11.789, 0, 47, 2880 MHz, 442.20 W, 31808 MiB
2026/08/03 11:35:12.789, 0, 47, 2880 MHz, 443.47 W, 31840 MiB
2026/08/03 11:35:13.790, 0, 54, 2707 MHz, 575.78 W, 31840 MiB
2026/08/03 11:35:14.790, 0, 50, 2902 MHz, 516.28 W, 31872 MiB
2026/08/03 11:35:15.790, 0, 50, 2902 MHz, 459.24 W, 31872 MiB
2026/08/03 11:35:16.791, 0, 42, 2925 MHz, 128.13 W, 31872 MiB
2026/08/03 11:35:17.791, 0, 41, 2542 MHz, 89.14 W, 2 MiB
2026/08/03 11:35:18.791, 0, 41, 2437 MHz, 74.23 W, 544 MiB
2026/08/03 11:35:19.791, 0, 41, 2407 MHz, 67.89 W, 3392 MiB
2026/08/03 11:35:20.792, 0, 41, 2415 MHz, 70.71 W, 9376 MiB
2026/08/03 11:35:21.792, 0, 40, 2415 MHz, 71.08 W, 15264 MiB
2026/08/03 11:35:22.792, 0, 40, 2422 MHz, 71.36 W, 20960 MiB
2026/08/03 11:35:23.792, 0, 40, 2415 MHz, 71.25 W, 26528 MiB
2026/08/03 11:35:24.793, 0, 40, 2400 MHz, 69.96 W, 28768 MiB
2026/08/03 11:35:25.793, 0, 53, 2745 MHz, 263.32 W, 31776 MiB
2026/08/03 11:35:26.793, 0, 54, 2700 MHz, 575.85 W, 31808 MiB
2026/08/03 11:35:27.793, 0, 54, 2707 MHz, 575.20 W, 31808 MiB
2026/08/03 11:35:28.794, 0, 50, 2797 MHz, 557.01 W, 31808 MiB
2026/08/03 11:35:29.794, 0, 49, 2880 MHz, 446.14 W, 31808 MiB
2026/08/03 11:35:30.794, 0, 50, 2880 MHz, 446.55 W, 31840 MiB
2026/08/03 11:35:31.794, 0, 56, 2707 MHz, 545.58 W, 31840 MiB
2026/08/03 11:35:32.795, 0, 51, 2782 MHz, 541.24 W, 31872 MiB
2026/08/03 11:35:33.795, 0, 52, 2910 MHz, 462.17 W, 31872 MiB
2026/08/03 11:35:34.795, 0, 45, 2917 MHz, 183.51 W, 31872 MiB
2026/08/03 11:35:35.795, 0, 44, 2917 MHz, 94.90 W, 2 MiB
2026/08/03 11:35:36.854, 0, 43, 2400 MHz, 73.79 W, 544 MiB
2026/08/03 11:35:37.855, 0, 43, 2407 MHz, 69.28 W, 2432 MiB
2026/08/03 11:35:38.855, 0, 43, 2422 MHz, 71.78 W, 8096 MiB
