20:58:44.240	186619	3	run-gen-c60
20:58:44.497	186619	3	run-gen-c60
20:58:44.755	186619	3	run-gen-c60
20:58:45.013	186619	3	run-gen-c60
20:58:45.271	186619	3	run-gen-c60
20:58:45.529	186619	3	run-gen-c60
20:58:45.786	186619	3	run-gen-c60
20:58:46.041	186619	3	run-gen-c60
20:58:46.297	186619	3	run-gen-c60
20:58:46.555	186619	3	run-gen-c60
20:58:46.812	186619	1	run-gen-c60
20:58:47.069	186619	3	run-gen-c60
20:58:47.327	186619	3	run-gen-c60
20:58:47.585	186619	3	run-gen-c60
20:58:47.841	186619	3	run-gen-c60
20:58:48.097	186619	3	run-gen-c60
20:58:48.355	186619	3	run-gen-c60
20:58:48.612	186619	3	run-gen-c60
20:58:48.870	186619	3	run-gen-c60
20:58:49.128	186619	3	run-gen-c60
20:58:49.385	186619	3	run-gen-c60
20:58:49.642	186619	3	run-gen-c60
20:58:49.900	186619	3	run-gen-c60
20:58:50.158	186619	3	run-gen-c60
20:58:50.415	186619	3	run-gen-c60
20:58:50.672	186619	3	run-gen-c60
20:58:50.929	186619	3	run-gen-c60
20:58:51.188	186619	3	run-gen-c60
20:58:51.442	186619	3	run-gen-c60
20:58:51.697	186752	7	run-gen-i13
20:58:51.953	186752	3	run-gen-i13
20:58:52.211	186752	3	run-gen-i13
20:58:52.468	186752	3	run-gen-i13
20:58:52.726	186752	3	run-gen-i13
20:58:52.983	186752	3	run-gen-i13
20:58:53.241	186752	3	run-gen-i13
20:58:53.498	186752	3	run-gen-i13
20:58:53.755	186752	3	run-gen-i13
20:58:54.011	186752	3	run-gen-i13
20:58:54.266	186752	3	run-gen-i13
20:58:54.523	186752	3	run-gen-i13
20:58:54.780	186752	3	run-gen-i13
20:58:55.037	186752	3	run-gen-i13
20:58:55.294	186752	3	run-gen-i13
20:58:55.551	186752	3	run-gen-i13
20:58:55.808	186752	3	run-gen-i13
20:58:56.063	186752	3	run-gen-i13
20:58:56.320	186752	3	run-gen-i13
20:58:56.577	186752	3	run-gen-i13
20:58:56.834	186752	3	run-gen-i13
20:58:57.088	186752	3	run-gen-i13
20:58:57.341	186752	3	run-gen-i13
20:58:57.594	186752	3	run-gen-i13
20:58:57.847	186752	3	run-gen-i13
20:58:58.103	186752	3	run-gen-i13
20:58:58.360	186752	3	run-gen-i13
