ts,gpu0_mib,gpu1_mib,gpu2_mib,gpu3_mib
2026-08-30T05:06:28Z,1,1,1,23400
2026-08-30T05:06:29Z,1,1,1,23404
2026-08-30T05:06:30Z,1,1,1,23950
2026-08-30T05:06:31Z,1,1,1,23956
2026-08-30T05:06:32Z,1,1,1,24246
2026-08-30T05:06:33Z,1,1,1,24252
2026-08-30T05:06:35Z,1,1,1,24252
2026-08-30T05:06:36Z,1,1,1,24252
2026-08-30T05:06:37Z,1,1,1,24252
2026-08-30T05:06:38Z,1,1,1,24252
2026-08-30T05:06:39Z,1,1,1,24252
2026-08-30T05:06:40Z,1,1,1,24252
2026-08-30T05:06:41Z,1,1,1,24252
2026-08-30T05:06:42Z,1,1,1,24252
2026-08-30T05:06:43Z,1,1,1,24252
2026-08-30T05:06:44Z,1,1,1,24252
2026-08-30T05:06:45Z,1,1,1,24252
2026-08-30T05:06:46Z,1,1,1,24252
2026-08-30T05:06:48Z,2,2,1,24252
2026-08-30T05:06:49Z,724,822,1,24252
2026-08-30T05:06:50Z,788,822,1,24252
2026-08-30T05:06:51Z,4436,1878,1,24252
2026-08-30T05:06:52Z,11508,1878,1,24252
2026-08-30T05:06:53Z,18420,1878,1,24252
2026-08-30T05:06:54Z,26644,1878,1,24252
2026-08-30T05:06:55Z,34836,1878,1,24252
2026-08-30T05:06:56Z,40468,1878,1,24252
2026-08-30T05:06:57Z,48820,1878,1,24252
2026-08-30T05:06:58Z,55764,1878,1,24252
2026-08-30T05:06:59Z,64020,1878,1,24252
2026-08-30T05:07:00Z,70740,1878,1,24252
2026-08-30T05:07:01Z,77812,1878,1,24252
2026-08-30T05:07:02Z,84724,1878,1,24252
2026-08-30T05:07:04Z,88660,6038,1,24252
2026-08-30T05:07:05Z,88660,14390,1,24252
2026-08-30T05:07:06Z,88660,20022,1,24252
2026-08-30T05:07:07Z,88660,27094,1,24252
2026-08-30T05:07:08Z,88660,35030,1,24252
2026-08-30T05:07:09Z,88660,43382,1,24252
2026-08-30T05:07:10Z,88660,47702,1,24252
2026-08-30T05:07:11Z,88660,56086,1,24252
2026-08-30T05:07:12Z,88660,64214,1,24252
2026-08-30T05:07:13Z,88660,71062,1,24252
2026-08-30T05:07:14Z,88660,79414,1,24252
2026-08-30T05:07:15Z,88660,85046,1,24252
2026-08-30T05:07:16Z,88660,88950,1,24252
2026-08-30T05:07:17Z,88660,88950,1,24252
2026-08-30T05:07:18Z,88660,88950,1,24252
2026-08-30T05:07:19Z,88660,88950,1,24252
