timestamp, temperature.gpu, clocks.current.sm [MHz], power.draw [W], memory.used [MiB]
2026/09/09 11:23:00.848, 33, 195 MHz, 3.50 W, 2 MiB
2026/09/09 11:23:01.104, 33, 195 MHz, 4.71 W, 510 MiB
2026/09/09 11:23:01.354, 33, 195 MHz, 4.71 W, 510 MiB
2026/09/09 11:23:01.604, 43, 2962 MHz, 80.35 W, 510 MiB
2026/09/09 11:23:01.854, 43, 2962 MHz, 80.35 W, 510 MiB
2026/09/09 11:23:02.105, 44, 2962 MHz, 239.90 W, 510 MiB
2026/09/09 11:23:02.355, 44, 2962 MHz, 239.90 W, 510 MiB
2026/09/09 11:23:02.605, 45, 2947 MHz, 283.80 W, 510 MiB
2026/09/09 11:23:02.855, 45, 2947 MHz, 283.80 W, 510 MiB
2026/09/09 11:23:03.105, 45, 2955 MHz, 286.04 W, 510 MiB
2026/09/09 11:23:03.355, 45, 2955 MHz, 286.04 W, 510 MiB
2026/09/09 11:23:03.605, 45, 2955 MHz, 281.09 W, 510 MiB
2026/09/09 11:23:03.855, 45, 2955 MHz, 281.09 W, 510 MiB
2026/09/09 11:23:04.105, 45, 2955 MHz, 280.24 W, 510 MiB
2026/09/09 11:23:04.356, 45, 2955 MHz, 280.24 W, 510 MiB
2026/09/09 11:23:04.606, 45, 2955 MHz, 280.40 W, 510 MiB
2026/09/09 11:23:04.856, 45, 2955 MHz, 280.40 W, 510 MiB
2026/09/09 11:23:05.106, 46, 2955 MHz, 287.40 W, 510 MiB
2026/09/09 11:23:05.356, 46, 2955 MHz, 287.40 W, 510 MiB
2026/09/09 11:23:05.606, 46, 2955 MHz, 293.11 W, 510 MiB
2026/09/09 11:23:05.856, 46, 2955 MHz, 293.11 W, 510 MiB
2026/09/09 11:23:06.106, 46, 2955 MHz, 290.11 W, 510 MiB
2026/09/09 11:23:06.357, 46, 2955 MHz, 290.11 W, 510 MiB
2026/09/09 11:23:06.607, 46, 2955 MHz, 285.08 W, 510 MiB
2026/09/09 11:23:06.857, 46, 2955 MHz, 285.08 W, 510 MiB
2026/09/09 11:23:07.107, 46, 2955 MHz, 284.51 W, 510 MiB
2026/09/09 11:23:07.357, 46, 2955 MHz, 284.51 W, 510 MiB
2026/09/09 11:23:07.607, 46, 2955 MHz, 285.62 W, 510 MiB
2026/09/09 11:23:07.857, 46, 2955 MHz, 285.62 W, 510 MiB
2026/09/09 11:23:08.107, 46, 2955 MHz, 287.77 W, 510 MiB
2026/09/09 11:23:08.357, 46, 2955 MHz, 287.77 W, 510 MiB
2026/09/09 11:23:08.608, 46, 2955 MHz, 288.10 W, 510 MiB
2026/09/09 11:23:08.858, 46, 2955 MHz, 288.10 W, 510 MiB
2026/09/09 11:23:09.108, 46, 2955 MHz, 287.78 W, 510 MiB
2026/09/09 11:23:09.358, 46, 2955 MHz, 287.78 W, 510 MiB
2026/09/09 11:23:09.608, 47, 2955 MHz, 287.32 W, 510 MiB
2026/09/09 11:23:09.858, 47, 2955 MHz, 287.32 W, 510 MiB
2026/09/09 11:23:10.108, 47, 2955 MHz, 292.94 W, 510 MiB
2026/09/09 11:23:10.358, 47, 2955 MHz, 292.94 W, 510 MiB
2026/09/09 11:23:10.608, 48, 2955 MHz, 302.92 W, 510 MiB
2026/09/09 11:23:10.859, 48, 2955 MHz, 302.92 W, 2 MiB
