gpu_uuid, pid, process_name, used_gpu_memory [MiB]
GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 2187086, /home/memra-five/owners/issue-542/src-33144df6/target/release/kernel-check, 716 MiB
GPU-9aac15ee-fcda-a1e3-367f-f9517f7376ff, 2187239, /home/memra-five/owners/issue-542/build-33144df6/target/release/rewrite_identity_gate, 586 MiB
GPU-0ef61756-6a47-f49f-7c77-4ea56a37dd41, 2187237, /home/memra-five/owners/issue-542/build-33144df6/target/release/tier-transfer-gate, 614 MiB
