timestamp, uuid, name, index, memory.total [MiB], memory.used [MiB], utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], temperature.gpu
2026/09/21 14:02:30.544, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 97887 MiB, 725 MiB, 0 %, 91.44 W, 2362 MHz, 33
2026/09/21 14:02:30.546, GPU-9aac15ee-fcda-a1e3-367f-f9517f7376ff, NVIDIA RTX PRO 6000 Blackwell Server Edition, 1, 97887 MiB, 595 MiB, 0 %, 65.21 W, 2317 MHz, 33
2026/09/21 14:02:30.548, GPU-0ef61756-6a47-f49f-7c77-4ea56a37dd41, NVIDIA RTX PRO 6000 Blackwell Server Edition, 2, 97887 MiB, 623 MiB, 0 %, 90.54 W, 2355 MHz, 34
2026/09/21 14:02:30.549, GPU-09f40640-fcd1-6793-8acf-5fef0a021ddf, NVIDIA RTX PRO 6000 Blackwell Server Edition, 3, 97887 MiB, 0 MiB, 0 %, 36.55 W, 180 MHz, 32
2026/09/21 14:02:30.804, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 97887 MiB, 725 MiB, 0 %, 91.44 W, 2362 MHz, 33
2026/09/21 14:02:30.804, GPU-9aac15ee-fcda-a1e3-367f-f9517f7376ff, NVIDIA RTX PRO 6000 Blackwell Server Edition, 1, 97887 MiB, 595 MiB, 0 %, 80.13 W, 2317 MHz, 33
2026/09/21 14:02:30.804, GPU-0ef61756-6a47-f49f-7c77-4ea56a37dd41, NVIDIA RTX PRO 6000 Blackwell Server Edition, 2, 97887 MiB, 623 MiB, 0 %, 90.57 W, 2355 MHz, 34
2026/09/21 14:02:30.804, GPU-09f40640-fcd1-6793-8acf-5fef0a021ddf, NVIDIA RTX PRO 6000 Blackwell Server Edition, 3, 97887 MiB, 0 MiB, 0 %, 36.58 W, 180 MHz, 32
2026/09/21 14:02:31.055, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 97887 MiB, 725 MiB, 0 %, 91.36 W, 2362 MHz, 33
2026/09/21 14:02:31.055, GPU-9aac15ee-fcda-a1e3-367f-f9517f7376ff, NVIDIA RTX PRO 6000 Blackwell Server Edition, 1, 97887 MiB, 627 MiB, 0 %, 87.99 W, 2317 MHz, 33
2026/09/21 14:02:31.055, GPU-0ef61756-6a47-f49f-7c77-4ea56a37dd41, NVIDIA RTX PRO 6000 Blackwell Server Edition, 2, 97887 MiB, 623 MiB, 0 %, 90.57 W, 2355 MHz, 34
