2026-09-24T12:24:29Z label=pool tree=ba5da705d81d89cc25ac141eed3952ce5c6b1c66 binary=3d2b8c34d51eb877 runs_per_arm=100
2026-09-24T12:24:29Z hold taken (fd 9)
2026-09-24T12:25:59Z pair run 43 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.49s
2026-09-24T12:26:01Z pair run 44 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.39s
2026-09-24T12:26:03Z pair run 45 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.40s
2026-09-24T12:26:05Z pair run 46 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.49s
2026-09-24T12:26:07Z pair run 47 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.35s
2026-09-24T12:26:09Z pair run 48 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.43s
2026-09-24T12:26:11Z pair run 49 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.40s
2026-09-24T12:26:13Z pair run 50 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.48s
2026-09-24T12:26:15Z pair run 51 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.29s
2026-09-24T12:26:17Z pair run 52 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.49s
2026-09-24T12:26:19Z pair run 53 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.32s
2026-09-24T12:26:21Z pair run 54 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.28s
2026-09-24T12:26:23Z pair run 55 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.54s
2026-09-24T12:26:25Z pair run 56 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.56s
2026-09-24T12:26:27Z pair run 57 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.47s
2026-09-24T12:26:29Z pair run 58 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.41s
2026-09-24T12:26:32Z pair run 59 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.52s
2026-09-24T12:26:34Z pair run 60 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.51s
2026-09-24T12:26:36Z pair run 61 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.27s
2026-09-24T12:26:38Z pair run 62 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.53s
2026-09-24T12:26:40Z pair run 63 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.55s
2026-09-24T12:26:42Z pair run 64 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.53s
2026-09-24T12:26:44Z pair run 65 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.55s
2026-09-24T12:26:46Z pair run 66 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.47s
2026-09-24T12:26:48Z pair run 67 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.35s
2026-09-24T12:26:51Z pair run 68 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.49s
2026-09-24T12:26:53Z pair run 69 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.41s
2026-09-24T12:26:55Z pair run 70 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.43s
2026-09-24T12:26:56Z pair run 71 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.26s
2026-09-24T12:26:58Z pair run 72 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.24s
2026-09-24T12:27:00Z pair run 73 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.34s
2026-09-24T12:27:02Z pair run 74 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.42s
2026-09-24T12:27:05Z pair run 75 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.54s
2026-09-24T12:27:07Z pair run 76 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.49s
2026-09-24T12:27:09Z pair run 77 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.52s
2026-09-24T12:27:11Z pair run 78 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.53s
2026-09-24T12:27:13Z pair run 79 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.50s
2026-09-24T12:27:16Z pair run 80 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.50s
2026-09-24T12:27:17Z pair run 81 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.28s
2026-09-24T12:27:20Z pair run 82 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.52s
2026-09-24T12:27:22Z pair run 83 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.54s
2026-09-24T12:27:24Z pair run 84 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.46s
2026-09-24T12:27:26Z pair run 85 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.46s
2026-09-24T12:27:28Z pair run 86 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.39s
2026-09-24T12:27:30Z pair run 87 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.49s
2026-09-24T12:27:32Z pair run 88 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.46s
2026-09-24T12:27:34Z pair run 89 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.51s
2026-09-24T12:27:36Z pair run 90 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.28s
2026-09-24T12:27:38Z pair run 91 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.47s
2026-09-24T12:27:40Z pair run 92 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.41s
2026-09-24T12:27:42Z pair run 93 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.47s
2026-09-24T12:27:45Z pair run 94 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.54s
2026-09-24T12:27:47Z pair run 95 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.49s
2026-09-24T12:27:49Z pair run 96 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.29s
2026-09-24T12:27:51Z pair run 97 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.56s
2026-09-24T12:27:53Z pair run 98 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.52s
2026-09-24T12:27:55Z pair run 99 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.53s
2026-09-24T12:27:57Z pair run 100 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.40s
2026-09-24T12:28:00Z all run 1 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.29s
2026-09-24T12:28:03Z all run 2 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.07s
2026-09-24T12:28:06Z all run 3 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.29s
2026-09-24T12:28:08Z all run 4 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.08s
2026-09-24T12:28:11Z all run 5 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.34s
2026-09-24T12:28:14Z all run 6 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.31s
2026-09-24T12:28:17Z all run 7 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.08s
2026-09-24T12:28:20Z all run 8 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.06s
2026-09-24T12:28:22Z all run 9 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.07s
2026-09-24T12:28:25Z all run 10 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.25s
2026-09-24T12:28:28Z all run 11 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.08s
2026-09-24T12:28:31Z all run 12 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.25s
2026-09-24T12:28:34Z all run 13 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.08s
2026-09-24T12:28:37Z all run 14 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.38s
2026-09-24T12:28:40Z all run 15 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.33s
2026-09-24T12:28:43Z all run 16 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.37s
2026-09-24T12:28:46Z all run 17 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.31s
2026-09-24T12:28:48Z all run 18 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.20s
2026-09-24T12:28:51Z all run 19 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.28s
2026-09-24T12:28:54Z all run 20 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.32s
2026-09-24T12:28:57Z all run 21 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.30s
2026-09-24T12:29:00Z all run 22 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.30s
2026-09-24T12:29:03Z all run 23 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.22s
2026-09-24T12:29:06Z all run 24 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.33s
2026-09-24T12:29:09Z all run 25 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.19s
2026-09-24T12:29:12Z all run 26 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.30s
2026-09-24T12:29:15Z all run 27 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.19s
2026-09-24T12:29:18Z all run 28 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.29s
2026-09-24T12:29:20Z all run 29 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.28s
2026-09-24T12:29:23Z all run 30 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.35s
2026-09-24T12:29:26Z all run 31 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.24s
2026-09-24T12:29:29Z all run 32 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.09s
2026-09-24T12:29:32Z all run 33 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.35s
2026-09-24T12:29:35Z all run 34 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.34s
2026-09-24T12:29:38Z all run 35 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.13s
2026-09-24T12:29:41Z all run 36 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.20s
2026-09-24T12:29:43Z all run 37 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.28s
2026-09-24T12:29:46Z all run 38 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.35s
2026-09-24T12:29:49Z all run 39 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.34s
2026-09-24T12:29:52Z all run 40 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.25s
2026-09-24T12:29:55Z all run 41 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.09s
2026-09-24T12:29:58Z all run 42 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.32s
2026-09-24T12:30:01Z all run 43 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.27s
2026-09-24T12:30:04Z all run 44 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.34s
2026-09-24T12:30:07Z all run 45 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.32s
