timestamp, temperature.gpu, clocks.current.sm [MHz], power.draw [W], memory.used [MiB]
2026/09/09 11:18:40.928, 32, 195 MHz, 3.54 W, 2 MiB
2026/09/09 11:18:41.184, 32, 195 MHz, 3.54 W, 510 MiB
2026/09/09 11:18:41.434, 32, 195 MHz, 3.54 W, 510 MiB
2026/09/09 11:18:41.685, 41, 1672 MHz, 61.09 W, 510 MiB
2026/09/09 11:18:41.935, 41, 1672 MHz, 61.09 W, 2 MiB
