# qwen4exp_real_gate	label=dt4-defer-thinkon	binary_sha256=2f64b2cdae19edf32c146f045262c057cb28ec3d876740320fc99be334fa8491	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# defer-ab k=5 draft_head_rows=248320 pmin=0.3 adapt=Some(1): host vs deferred round readback, interleaved, fresh states per arm per rep
rep	arm	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len	chain_ms_per_round	verify_ms_per_round	guard_stops	zero_draft
0	host	256	11.79	84.85	0.615	1.94	2.28	19.97	36	27
0	defer	256	11.86	84.32	0.615	1.94	2.48	19.95	36	27
0	defer-gsync	256	11.68	85.60	0.615	1.94	2.28	19.81	36	27
1	host	256	11.52	86.77	0.615	1.94	2.28	19.49	36	27
1	defer	256	11.52	86.81	0.615	1.94	2.48	19.29	36	27
1	defer-gsync	256	11.31	88.39	0.615	1.94	2.28	19.09	36	27
2	host	256	11.50	86.98	0.615	1.94	2.28	19.44	36	27
2	defer	256	11.46	87.26	0.615	1.94	2.48	19.17	36	27
2	defer-gsync	256	11.32	88.34	0.615	1.94	2.28	19.10	36	27
3	host	256	11.39	87.81	0.615	1.94	2.28	19.22	36	27
3	defer	256	11.45	87.34	0.615	1.94	2.48	19.16	36	27
3	defer-gsync	256	11.33	88.26	0.615	1.94	2.28	19.12	36	27
4	host	256	11.34	88.21	0.615	1.94	2.28	19.12	36	27
4	defer	256	11.44	87.38	0.615	1.94	2.48	19.14	36	27
4	defer-gsync	256	11.34	88.20	0.615	1.94	2.27	19.14	36	27
# arm host	reps=5	median_ms=11.497	spread_abs_ms=0.449	spread_rel=3.9095%	mean_ms=11.506	tok_per_s=86.98
# arm defer	reps=5	median_ms=11.460	spread_abs_ms=0.416	spread_rel=3.6261%	mean_ms=11.547	tok_per_s=87.26
# arm defer-gsync	reps=5	median_ms=11.330	spread_abs_ms=0.369	spread_rel=3.2611%	mean_ms=11.397	tok_per_s=88.26
# escalation	pair=host-vs-defer	rule=a+b	reps 3->5	spread_rel_host=2.5074%	spread_rel_arm=3.4755%	verdict_ms=0.006	pooled_spread_ms=0.345
# escalation	pair=host-vs-defer-gsync	rule=a+b	reps 3->5	spread_rel_host=2.5074%	spread_rel_arm=3.2638%	verdict_ms=0.205	pooled_spread_ms=0.329
# speedup_defer_over_host	1.0032	(decision medians)
# identity	PASS
